wavelength, flux, error 
407,0.464,0.023
407.1,0.271,0.014
407.2,0.154,0.008
407.3,0.567,0.028
407.4,0.583,0.029
407.5,0.447,0.022
407.6,0.524,0.026
407.7,0.31,0.015
407.8,0.36,0.018
407.9,0.582,0.029
408,0.502,0.025
408.1,0.751,0.038
408.2,0.684,0.034
408.3,0.508,0.025
408.4,0.437,0.022
408.5,0.464,0.023
408.6,0.659,0.033
408.7,0.681,0.034
408.8,0.778,0.039
408.9,0.743,0.037
409,0.626,0.031
409.1,0.699,0.035
409.2,0.688,0.034
409.3,0.7,0.035
409.4,0.72,0.036
409.5,0.567,0.028
409.6,0.446,0.022
409.7,0.572,0.029
409.8,0.614,0.031
409.9,0.679,0.034
410,0.56,0.028
410.1,0.464,0.023
410.2,0.405,0.02
410.3,0.528,0.026
410.4,0.549,0.027
410.5,0.445,0.022
410.6,0.692,0.035
410.7,0.621,0.031
410.8,0.565,0.028
410.9,0.624,0.031
411,0.575,0.029
411.1,0.592,0.03
411.2,0.492,0.025
411.3,0.526,0.026
411.4,0.665,0.033
411.5,0.506,0.025
411.6,0.596,0.03
411.7,0.697,0.035
411.8,0.56,0.028
411.9,0.383,0.019
412,0.543,0.027
412.1,0.592,0.03
412.2,0.656,0.033
412.3,0.524,0.026
412.4,0.591,0.03
412.5,0.768,0.038
412.6,0.516,0.026
412.7,0.608,0.03
412.8,0.252,0.013
412.9,0.553,0.028
413,0.598,0.03
413.1,0.516,0.026
413.2,0.268,0.013
413.3,0.434,0.022
413.4,0.39,0.02
413.5,0.463,0.023
413.6,0.644,0.032
413.7,0.382,0.019
413.8,0.556,0.028
413.9,0.59,0.03
414,0.504,0.025
414.1,0.616,0.031
414.2,0.387,0.019
414.3,0.245,0.012
414.4,0.14,0.007
414.5,0.454,0.023
414.6,0.499,0.025
414.7,0.639,0.032
414.8,0.441,0.022
414.9,0.485,0.024
415,0.374,0.019
415.1,0.583,0.029
415.2,0.446,0.022
415.3,0.624,0.031
415.4,0.305,0.015
415.5,0.455,0.023
415.6,0.553,0.028
415.7,0.452,0.023
415.8,0.384,0.019
415.9,0.593,0.03
416,0.538,0.027
416.1,0.612,0.031
416.2,0.546,0.027
416.3,0.581,0.029
416.4,0.52,0.026
416.5,0.462,0.023
416.6,0.614,0.031
416.7,0.407,0.02
416.8,0.473,0.024
416.9,0.611,0.031
417,0.54,0.027
417.1,0.558,0.028
417.2,0.351,0.018
417.3,0.403,0.02
417.4,0.471,0.024
417.5,0.401,0.02
417.6,0.365,0.018
417.7,0.484,0.024
417.8,0.437,0.022
417.9,0.566,0.028
418,0.564,0.028
418.1,0.492,0.025
418.2,0.422,0.021
418.3,0.502,0.025
418.4,0.683,0.034
418.5,0.518,0.026
418.6,0.482,0.024
418.7,0.301,0.015
418.8,0.393,0.02
418.9,0.518,0.026
419,0.515,0.026
419.1,0.443,0.022
419.2,0.438,0.022
419.3,0.649,0.032
419.4,0.561,0.028
419.5,0.421,0.021
419.6,0.364,0.018
419.7,0.399,0.02
419.8,0.362,0.018
419.9,0.286,0.014
420,0.393,0.02
420.1,0.418,0.021
420.2,0.185,0.009
420.3,0.427,0.021
420.4,0.504,0.025
420.5,0.5,0.025
420.6,0.606,0.03
420.7,0.489,0.024
420.8,0.786,0.039
420.9,0.678,0.034
421,0.376,0.019
421.1,0.586,0.029
421.2,0.549,0.027
421.3,0.453,0.023
421.4,0.481,0.024
421.5,0.476,0.024
421.6,0.221,0.011
421.7,0.536,0.027
421.8,0.528,0.026
421.9,0.571,0.029
422,0.625,0.031
422.1,0.728,0.036
422.2,0.471,0.024
422.3,0.521,0.026
422.4,0.381,0.019
422.5,0.317,0.016
422.6,0.153,0.008
422.7,0.057,0.003
422.8,0.257,0.013
422.9,0.46,0.023
423,0.567,0.028
423.1,0.669,0.033
423.2,0.551,0.028
423.3,0.531,0.027
423.4,0.515,0.026
423.5,0.614,0.031
423.6,0.312,0.016
423.7,0.526,0.026
423.8,0.633,0.032
423.9,0.502,0.025
424,0.475,0.024
424.1,0.587,0.029
424.2,0.47,0.023
424.3,0.488,0.024
424.4,0.67,0.033
424.5,0.583,0.029
424.6,0.734,0.037
424.7,0.47,0.024
424.8,0.5,0.025
424.9,0.541,0.027
425,0.353,0.018
425.1,0.247,0.012
425.2,0.553,0.028
425.3,0.596,0.03
425.4,0.24,0.012
425.5,0.315,0.016
425.6,0.5,0.025
425.7,0.744,0.037
425.8,0.587,0.029
425.9,0.54,0.027
426,0.336,0.017
426.1,0.366,0.018
426.2,0.511,0.026
426.3,0.541,0.027
426.4,0.579,0.029
426.5,0.639,0.032
426.6,0.621,0.031
426.7,0.593,0.03
426.8,0.467,0.023
426.9,0.445,0.022
427,0.352,0.018
427.1,0.264,0.013
427.2,0.192,0.01
427.3,0.302,0.015
427.4,0.352,0.018
427.5,0.162,0.008
427.6,0.512,0.026
427.7,0.534,0.027
427.8,0.676,0.034
427.9,0.618,0.031
428,0.365,0.018
428.1,0.395,0.02
428.2,0.482,0.024
428.3,0.428,0.021
428.4,0.596,0.03
428.5,0.425,0.021
428.6,0.369,0.018
428.7,0.516,0.026
428.8,0.58,0.029
428.9,0.314,0.016
429,0.23,0.011
429.1,0.422,0.021
429.2,0.434,0.022
429.3,0.612,0.031
429.4,0.386,0.019
429.5,0.44,0.022
429.6,0.572,0.029
429.7,0.361,0.018
429.8,0.427,0.021
429.9,0.252,0.013
430,0.333,0.017
430.1,0.284,0.014
430.2,0.304,0.015
430.3,0.285,0.014
430.4,0.394,0.02
430.5,0.365,0.018
430.6,0.261,0.013
430.7,0.258,0.013
430.8,0.077,0.004
430.9,0.216,0.011
431,0.295,0.015
431.1,0.329,0.016
431.2,0.36,0.018
431.3,0.4,0.02
431.4,0.526,0.026
431.5,0.417,0.021
431.6,0.859,0.043
431.7,0.79,0.04
431.8,0.854,0.043
431.9,0.607,0.03
432,0.713,0.036
432.1,0.549,0.027
432.2,0.717,0.036
432.3,0.445,0.022
432.4,0.308,0.015
432.5,0.265,0.013
432.6,0.14,0.007
432.7,0.37,0.019
432.8,0.636,0.032
432.9,0.695,0.035
433,0.57,0.029
433.1,0.615,0.031
433.2,0.791,0.04
433.3,0.602,0.03
433.4,0.747,0.037
433.5,0.716,0.036
433.6,0.919,0.046
433.7,0.563,0.028
433.8,0.514,0.026
433.9,0.507,0.025
434,0.493,0.025
434.1,0.516,0.026
434.2,0.722,0.036
434.3,0.709,0.035
434.4,0.526,0.026
434.5,0.63,0.032
434.6,0.725,0.036
434.7,0.626,0.031
434.8,0.539,0.027
434.9,0.676,0.034
435,0.644,0.032
435.1,0.538,0.027
435.2,0.342,0.017
435.3,0.527,0.026
435.4,0.678,0.034
435.5,0.615,0.031
435.6,0.586,0.029
435.7,0.707,0.035
435.8,0.757,0.038
435.9,0.512,0.026
436,0.53,0.027
436.1,0.68,0.034
436.2,0.756,0.038
436.3,0.566,0.028
436.4,0.676,0.034
436.5,0.789,0.039
436.6,0.732,0.037
436.7,0.641,0.032
436.8,0.432,0.022
436.9,0.813,0.041
437,0.609,0.03
437.1,0.509,0.025
437.2,0.716,0.036
437.3,0.679,0.034
437.4,0.523,0.026
437.5,0.644,0.032
437.6,0.414,0.021
437.7,0.53,0.027
437.8,0.659,0.033
437.9,0.615,0.031
438,0.672,0.034
438.1,0.558,0.028
438.2,0.619,0.031
438.3,0.164,0.008
438.4,0.192,0.01
438.5,0.289,0.014
438.6,0.655,0.033
438.7,0.564,0.028
438.8,0.541,0.027
438.9,0.698,0.035
439,0.476,0.024
439.1,0.599,0.03
439.2,0.563,0.028
439.3,0.66,0.033
439.4,0.571,0.029
439.5,0.484,0.024
439.6,0.639,0.032
439.7,0.622,0.031
439.8,0.659,0.033
439.9,0.687,0.034
440,0.48,0.024
440.1,0.515,0.026
440.2,0.736,0.037
440.3,0.673,0.034
440.4,0.416,0.021
440.5,0.248,0.012
440.6,0.62,0.031
440.7,0.662,0.033
440.8,0.395,0.02
440.9,0.662,0.033
441,0.691,0.035
441.1,0.741,0.037
441.2,0.702,0.035
441.3,0.804,0.04
441.4,0.571,0.029
441.5,0.333,0.017
441.6,0.587,0.029
441.7,0.555,0.028
441.8,0.701,0.035
441.9,0.756,0.038
442,0.707,0.035
442.1,0.706,0.035
442.2,0.545,0.027
442.3,0.627,0.031
442.4,0.623,0.031
442.5,0.668,0.033
442.6,0.547,0.027
442.7,0.538,0.027
442.8,0.739,0.037
442.9,0.778,0.039
443,0.533,0.027
443.1,0.644,0.032
443.2,0.737,0.037
443.3,0.637,0.032
443.4,0.682,0.034
443.5,0.436,0.022
443.6,0.493,0.025
443.7,0.838,0.042
443.8,0.644,0.032
443.9,0.856,0.043
444,0.656,0.033
444.1,0.691,0.035
444.2,0.501,0.025
444.3,0.595,0.03
444.4,0.589,0.029
444.5,0.854,0.043
444.6,0.831,0.042
444.7,0.725,0.036
444.8,0.699,0.035
444.9,0.727,0.036
445,0.632,0.032
445.1,0.763,0.038
445.2,0.802,0.04
445.3,0.616,0.031
445.4,0.633,0.032
445.5,0.328,0.016
445.6,0.526,0.026
445.7,0.603,0.03
445.8,0.587,0.029
445.9,0.495,0.025
446,0.684,0.034
446.1,0.585,0.029
446.2,0.312,0.016
446.3,0.752,0.038
446.4,0.809,0.04
446.5,0.606,0.03
446.6,0.702,0.035
446.7,0.615,0.031
446.8,0.733,0.037
446.9,0.638,0.032
447,0.575,0.029
447.1,0.694,0.035
447.2,0.765,0.038
447.3,0.703,0.035
447.4,0.706,0.035
447.5,0.781,0.039
447.6,0.633,0.032
447.7,0.867,0.043
447.8,0.865,0.043
447.9,0.889,0.044
448,0.613,0.031
448.1,0.755,0.038
448.2,0.571,0.029
448.3,0.667,0.033
448.4,0.722,0.036
448.5,0.811,0.041
448.6,0.789,0.039
448.7,0.737,0.037
448.8,0.739,0.037
448.9,0.722,0.036
449,0.62,0.031
449.1,0.741,0.037
449.2,0.891,0.045
449.3,0.773,0.039
449.4,0.714,0.036
449.5,0.608,0.03
449.6,0.672,0.034
449.7,0.705,0.035
449.8,0.816,0.041
449.9,0.693,0.035
450,0.871,0.044
450.1,0.8,0.04
450.2,0.735,0.037
450.3,0.917,0.046
450.4,0.944,0.047
450.5,0.852,0.043
450.6,0.877,0.044
450.7,0.812,0.041
450.8,0.895,0.045
450.9,0.853,0.043
451,0.946,0.047
451.1,0.799,0.04
451.2,0.821,0.041
451.3,0.771,0.039
451.4,0.838,0.042
451.5,0.746,0.037
451.6,0.797,0.04
451.7,0.826,0.041
451.8,0.533,0.027
451.9,0.783,0.039
452,0.723,0.036
452.1,0.831,0.042
452.2,0.877,0.044
452.3,0.669,0.033
452.4,0.905,0.045
452.5,0.616,0.031
452.6,0.674,0.034
452.7,0.631,0.032
452.8,0.718,0.036
452.9,0.568,0.028
453,0.812,0.041
453.1,0.49,0.024
453.2,0.836,0.042
453.3,0.662,0.033
453.4,0.723,0.036
453.5,0.65,0.033
453.6,0.449,0.022
453.7,0.923,0.046
453.8,0.802,0.04
453.9,0.855,0.043
454,0.848,0.042
454.1,0.577,0.029
454.2,0.76,0.038
454.3,0.881,0.044
454.4,0.802,0.04
454.5,0.58,0.029
454.6,0.695,0.035
454.7,0.763,0.038
454.8,0.767,0.038
454.9,0.741,0.037
455,0.685,0.034
