wavelength, flux 
420.9,0.9
421,0.827
421.1,0.952
421.2,0.95
421.3,0.957
421.4,0.909
421.5,0.909
421.6,0.693
421.7,0.894
421.8,0.906
421.9,0.877
422,0.89
422.1,0.987
422.2,0.874
422.3,0.962
422.4,0.858
422.5,0.835
422.6,0.804
422.7,0.607
422.8,0.939
422.9,0.931
423,0.952
423.1,0.972
423.2,0.959
423.3,0.825
423.4,0.848
423.5,0.895
423.6,0.802
423.7,0.963
423.8,0.899
423.9,0.847
424,0.795
424.1,0.919
424.2,0.901
424.3,0.907
424.4,0.941
424.5,0.846
424.6,0.915
424.7,0.739
424.8,0.91
424.9,0.96
425,0.851
425.1,0.805
425.2,0.951
425.3,0.925
425.4,0.838
425.5,0.952
425.6,0.933
425.7,0.981
425.8,0.856
425.9,0.96
426,0.764
426.1,0.882
426.2,0.887
426.3,0.86
426.4,0.921
426.5,0.925
426.6,0.943
426.7,0.951
426.8,0.912
426.9,0.864
427,0.91
427.1,0.823
427.2,0.749
427.3,0.891
427.4,0.905
427.5,0.823
427.6,0.92
427.7,0.915
427.8,0.887
427.9,0.952
428,0.897
428.1,0.903
428.2,0.855
428.3,0.838
428.4,0.914
428.5,0.865
428.6,0.897
428.7,0.87
428.8,0.823
428.9,0.824
429,0.623
429.1,0.87
429.2,0.912
429.3,0.947
429.4,0.828
429.5,0.867
429.6,0.893
429.7,0.843
429.8,0.886
429.9,0.705
430,0.761
430.1,0.802
430.2,0.766
430.3,0.751
430.4,0.898
430.5,0.83
430.6,0.791
430.7,0.883
430.8,0.639
430.9,0.79
431,0.814
431.1,0.904
431.2,0.905
431.3,0.809
431.4,0.768
431.5,0.737
431.6,0.932
431.7,0.863
431.8,0.916
431.9,0.827
432,0.895
432.1,0.721
432.2,0.86
432.3,0.863
432.4,0.837
432.5,0.738
432.6,0.632
432.7,0.741
432.8,0.781
432.9,0.818
433,0.75
433.1,0.719
433.2,0.752
433.3,0.725
433.4,0.707
433.5,0.692
433.6,0.664
433.7,0.563
433.8,0.481
433.9,0.457
434,0.301
434.1,0.309
434.2,0.472
434.3,0.553
434.4,0.534
434.5,0.636
434.6,0.697
434.7,0.706
434.8,0.726
434.9,0.76
435,0.784
435.1,0.756
435.2,0.615
435.3,0.757
435.4,0.83
435.5,0.813
435.6,0.862
435.7,0.874
435.8,0.869
435.9,0.847
436,0.834
436.1,0.887
436.2,0.902
436.3,0.893
436.4,0.919
436.5,0.93
436.6,0.918
436.7,0.927
436.8,0.78
436.9,0.92
437,0.863
437.1,0.875
437.2,0.939
437.3,0.939
437.4,0.837
437.5,0.784
437.6,0.866
437.7,0.911
437.8,0.95
437.9,0.92
438,0.935
438.1,0.958
438.2,0.957
438.3,0.814
438.4,0.75
438.5,0.752
438.6,0.961
438.7,0.895
438.8,0.829
438.9,0.963
439,0.907
439.1,0.85
439.2,0.942
439.3,0.946
439.4,0.889
439.5,0.801
439.6,0.888
439.7,0.973
439.8,0.843
439.9,0.977
440,0.763
440.1,0.866
440.2,0.925
440.3,0.953
440.4,0.961
440.5,0.806
440.6,0.981
440.7,0.973
440.8,0.792
440.9,0.877
441,0.939
441.1,0.908
441.2,0.905
441.3,0.976
441.4,0.914
441.5,0.796
441.6,0.918
441.7,0.867
441.8,0.804
441.9,0.967
442,0.959
442.1,0.913
442.2,0.865
442.3,0.889
442.4,0.895
442.5,0.913
442.6,0.945
442.7,0.867
442.8,0.962
442.9,0.967
443,0.904
443.1,0.877
443.2,0.948
443.3,0.874
443.4,0.929
443.5,0.853
443.6,0.858
443.7,0.968
443.8,0.949
443.9,0.98
444,0.946
444.1,0.937
444.2,0.82
444.3,0.85
444.4,0.798
444.5,0.932
444.6,0.948
444.7,0.939
444.8,0.904
444.9,0.954
445,0.852
445.1,0.923
445.2,0.932
445.3,0.919
445.4,0.903
445.5,0.725
445.6,0.837
445.7,0.884
445.8,0.862
445.9,0.823
446,0.952
446.1,0.857
446.2,0.778
446.3,0.955
446.4,0.925
446.5,0.889
446.6,0.943
446.7,0.867
446.8,0.917
446.9,0.789
447,0.896
447.1,0.876
447.2,0.95
447.3,0.938
447.4,0.952
447.5,0.983
447.6,0.837
447.7,0.988
447.8,0.978
447.9,0.965
448,0.897
448.1,0.723
448.2,0.829
448.3,0.909
448.4,0.888
448.5,0.98
448.6,0.927
448.7,0.947
448.8,0.87
448.9,0.912
449,0.907
449.1,0.842
449.2,0.973
449.3,0.942
449.4,0.936
449.5,0.872
449.6,0.939
449.7,0.891
449.8,0.958
449.9,0.914
450,0.953
450.1,0.85
450.2,0.957
450.3,0.991
450.4,0.978
450.5,0.981
450.6,0.979
450.7,0.962
450.8,0.883
450.9,0.986
451,0.986
451.1,0.969
451.2,0.97
451.3,0.962
451.4,0.97
451.5,0.878
451.6,0.946
451.7,0.967
451.8,0.853
451.9,0.99
452,0.895
452.1,0.98
452.2,0.957
452.3,0.817
452.4,0.982
452.5,0.8
452.6,0.945
452.7,0.893
452.8,0.938
452.9,0.775
453,0.961
