wavelength, flux 
420.9,0.825
421,0.663
421.1,0.802
421.2,0.848
421.3,0.775
421.4,0.759
421.5,0.793
421.6,0.494
421.7,0.683
421.8,0.784
421.9,0.714
422,0.791
422.1,0.919
422.2,0.766
422.3,0.805
422.4,0.693
422.5,0.661
422.6,0.532
422.7,0.277
422.8,0.741
422.9,0.823
423,0.763
423.1,0.863
423.2,0.829
423.3,0.697
423.4,0.728
423.5,0.812
423.6,0.531
423.7,0.703
423.8,0.783
423.9,0.678
424,0.61
424.1,0.779
424.2,0.743
424.3,0.636
424.4,0.811
424.5,0.757
424.6,0.834
424.7,0.63
424.8,0.683
424.9,0.707
425,0.606
425.1,0.588
425.2,0.845
425.3,0.78
425.4,0.615
425.5,0.705
425.6,0.692
425.7,0.936
425.8,0.73
425.9,0.732
426,0.547
426.1,0.637
426.2,0.69
426.3,0.721
426.4,0.711
426.5,0.745
426.6,0.83
426.7,0.745
426.8,0.671
426.9,0.733
427,0.573
427.1,0.541
427.2,0.37
427.3,0.709
427.4,0.617
427.5,0.498
427.6,0.743
427.7,0.723
427.8,0.791
427.9,0.817
428,0.555
428.1,0.636
428.2,0.708
428.3,0.655
428.4,0.803
428.5,0.613
428.6,0.58
428.7,0.65
428.8,0.73
428.9,0.574
429,0.449
429.1,0.563
429.2,0.661
429.3,0.757
429.4,0.678
429.5,0.563
429.6,0.743
429.7,0.49
429.8,0.627
429.9,0.415
430,0.443
430.1,0.439
430.2,0.501
430.3,0.418
430.4,0.502
430.5,0.46
430.6,0.546
430.7,0.513
430.8,0.241
430.9,0.433
431,0.43
431.1,0.453
431.2,0.516
431.3,0.578
431.4,0.616
431.5,0.62
431.6,0.938
431.7,0.836
431.8,0.928
431.9,0.804
432,0.859
432.1,0.696
432.2,0.859
432.3,0.626
432.4,0.485
432.5,0.547
432.6,0.396
432.7,0.668
432.8,0.788
432.9,0.824
433,0.765
433.1,0.73
433.2,0.84
433.3,0.744
433.4,0.765
433.5,0.777
433.6,0.855
433.7,0.645
433.8,0.557
433.9,0.561
434,0.413
434.1,0.425
434.2,0.632
434.3,0.674
434.4,0.6
434.5,0.745
434.6,0.8
434.7,0.723
434.8,0.653
434.9,0.788
435,0.772
435.1,0.693
435.2,0.478
435.3,0.677
435.4,0.833
435.5,0.739
435.6,0.734
435.7,0.847
435.8,0.847
435.9,0.7
436,0.669
436.1,0.83
436.2,0.877
436.3,0.716
436.4,0.792
436.5,0.892
436.6,0.847
436.7,0.776
436.8,0.647
436.9,0.895
437,0.708
437.1,0.691
437.2,0.86
437.3,0.813
437.4,0.649
437.5,0.709
437.6,0.696
437.7,0.728
437.8,0.812
437.9,0.8
438,0.826
438.1,0.796
438.2,0.846
438.3,0.435
438.4,0.461
438.5,0.506
438.6,0.836
438.7,0.727
438.8,0.67
438.9,0.807
439,0.647
439.1,0.699
439.2,0.726
439.3,0.803
439.4,0.717
439.5,0.624
439.6,0.757
439.7,0.789
439.8,0.758
439.9,0.831
440,0.596
440.1,0.677
440.2,0.839
440.3,0.79
440.4,0.757
440.5,0.523
440.6,0.853
440.7,0.823
440.8,0.595
440.9,0.751
441,0.805
441.1,0.83
441.2,0.819
441.3,0.895
441.4,0.775
441.5,0.606
441.6,0.831
441.7,0.733
441.8,0.757
441.9,0.88
442,0.862
442.1,0.827
442.2,0.721
442.3,0.781
442.4,0.786
442.5,0.831
442.6,0.807
442.7,0.765
442.8,0.886
442.9,0.892
443,0.743
443.1,0.798
443.2,0.883
443.3,0.779
443.4,0.839
443.5,0.682
443.6,0.735
443.7,0.896
443.8,0.833
443.9,0.921
444,0.836
444.1,0.8
444.2,0.705
444.3,0.708
444.4,0.69
444.5,0.877
444.6,0.862
444.7,0.813
444.8,0.833
444.9,0.856
445,0.758
445.1,0.842
445.2,0.868
445.3,0.764
445.4,0.81
445.5,0.558
445.6,0.697
445.7,0.768
445.8,0.747
445.9,0.719
446,0.814
446.1,0.713
446.2,0.644
446.3,0.871
446.4,0.884
446.5,0.772
446.6,0.85
446.7,0.762
446.8,0.854
446.9,0.696
447,0.745
447.1,0.791
447.2,0.879
447.3,0.84
447.4,0.879
447.5,0.924
447.6,0.76
447.7,0.947
447.8,0.918
447.9,0.93
448,0.748
448.1,0.775
448.2,0.737
448.3,0.798
448.4,0.78
448.5,0.929
448.6,0.872
448.7,0.844
448.8,0.804
448.9,0.825
449,0.808
449.1,0.774
449.2,0.927
449.3,0.866
449.4,0.85
449.5,0.784
449.6,0.826
449.7,0.825
449.8,0.889
449.9,0.795
450,0.895
450.1,0.812
450.2,0.873
450.3,0.967
450.4,0.943
450.5,0.929
450.6,0.936
450.7,0.89
450.8,0.872
450.9,0.951
451,0.957
451.1,0.904
451.2,0.918
451.3,0.888
451.4,0.908
451.5,0.841
451.6,0.877
451.7,0.919
451.8,0.733
451.9,0.955
452,0.833
452.1,0.942
452.2,0.913
452.3,0.74
452.4,0.953
452.5,0.723
452.6,0.852
452.7,0.75
452.8,0.853
452.9,0.651
453,0.919
453.1,0.706
453.2,0.898
453.3,0.845
453.4,0.767
453.5,0.828
453.6,0.674
453.7,0.939
453.8,0.897
453.9,0.909
454,0.901
454.1,0.772
454.2,0.853
454.3,0.942
454.4,0.881
454.5,0.761
454.6,0.852
454.7,0.834
454.8,0.847
454.9,0.797
455,0.743
455.1,0.96
455.2,0.864
455.3,0.938
455.4,0.794
455.5,0.819
455.6,0.737
455.7,0.93
455.8,0.922
455.9,0.882
456,0.89
456.1,0.912
456.2,0.963
456.3,0.95
456.4,0.829
456.5,0.848
456.6,0.856
456.7,0.916
456.8,0.918
456.9,0.877
457,0.915
457.1,0.817
457.2,0.709
457.3,0.915
457.4,0.948
457.5,0.901
457.6,0.869
457.7,0.922
457.8,0.891
457.9,0.835
458,0.795
458.1,0.776
458.2,0.861
458.3,0.84
458.4,0.788
458.5,0.872
458.6,0.738
458.7,0.914
458.8,0.834
458.9,0.885
459,0.848
459.1,0.842
459.2,0.831
459.3,0.823
459.4,0.875
459.5,0.836
459.6,0.779
459.7,0.888
459.8,0.809
459.9,0.936
460,0.845
460.1,0.711
460.2,0.778
460.3,0.808
460.4,0.944
460.5,0.806
460.6,0.916
460.7,0.93
460.8,0.882
460.9,0.909
461,0.937
461.1,0.806
461.2,0.923
461.3,0.771
461.4,0.851
461.5,0.949
461.6,0.811
461.7,0.845
461.8,0.885
461.9,0.754
462,0.879
462.1,0.923
462.2,0.873
462.3,0.862
462.4,0.971
462.5,0.886
462.6,0.821
462.7,0.895
462.8,0.953
462.9,0.855
463,0.897
463.1,0.928
463.2,0.95
463.3,0.837
463.4,0.818
463.5,0.93
463.6,0.842
463.7,0.883
463.8,0.808
463.9,0.928
464,0.848
464.1,0.976
464.2,0.972
464.3,0.889
464.4,0.949
464.5,0.898
464.6,0.865
464.7,0.856
464.8,0.917
464.9,0.801
465,0.921
465.1,0.884
465.2,0.877
465.3,0.933
465.4,0.901
465.5,0.826
465.6,0.834
465.7,0.831
465.8,0.958
465.9,0.932
466,0.974
466.1,0.938
466.2,0.901
466.3,0.896
466.4,0.917
466.5,0.881
466.6,0.889
466.7,0.755
466.8,0.695
466.9,0.83
467,0.863
467.1,0.97
467.2,0.962
467.3,0.807
467.4,0.973
467.5,0.817
467.6,0.903
467.7,0.931
467.8,0.914
467.9,0.807
468,0.84
468.1,0.902
468.2,0.819
468.3,0.932
468.4,0.956
468.5,0.823
468.6,0.844
468.7,0.916
468.8,0.935
468.9,0.923
469,0.844
469.1,0.801
469.2,0.951
469.3,0.944
469.4,0.938
469.5,0.916
469.6,0.945
469.7,0.916
469.8,0.895
469.9,0.844
470,0.942
470.1,0.866
470.2,0.854
470.3,0.77
470.4,0.876
470.5,0.888
470.6,0.935
470.7,0.801
470.8,0.89
470.9,0.818
471,0.787
471.1,0.921
471.2,0.943
471.3,0.956
471.4,0.824
471.5,0.91
471.6,0.878
471.7,0.955
471.8,0.93
471.9,0.938
472,0.958
472.1,0.9
472.2,0.869
472.3,0.887
472.4,0.925
472.5,0.972
472.6,0.959
472.7,0.814
472.8,0.867
472.9,0.834
473,0.852
473.1,0.871
473.2,0.782
473.3,0.905
473.4,0.861
473.5,0.964
473.6,0.882
473.7,0.796
473.8,0.94
473.9,0.886
474,0.881
474.1,0.928
474.2,0.891
474.3,0.885
474.4,0.95
474.5,0.901
474.6,0.881
474.7,0.977
474.8,0.922
474.9,0.983
475,0.913
475.1,0.973
475.2,0.876
475.3,0.977
475.4,0.876
475.5,0.913
475.6,0.862
475.7,0.916
475.8,0.847
475.9,0.909
476,0.957
476.1,0.936
476.2,0.851
476.3,0.893
476.4,0.867
476.5,0.928
476.6,0.819
476.7,0.907
476.8,0.862
476.9,0.926
477,0.921
477.1,0.955
477.2,0.919
477.3,0.839
477.4,0.967
477.5,0.982
477.6,0.863
477.7,0.99
477.8,0.978
477.9,0.962
478,0.907
478.1,0.955
478.2,0.934
478.3,0.857
478.4,0.948
478.5,0.964
478.6,0.855
478.7,0.855
478.8,0.945
478.9,0.802
479,0.878
479.1,0.93
479.2,0.864
479.3,0.911
479.4,0.962
479.5,0.975
479.6,0.929
479.7,0.957
479.8,0.88
479.9,0.883
480,0.93
480.1,0.86
480.2,0.913
480.3,0.917
480.4,0.977
480.5,0.843
480.6,0.955
480.7,0.908
480.8,0.892
480.9,0.9
481,0.925
481.1,0.899
481.2,0.891
481.3,0.881
481.4,0.943
481.5,0.938
481.6,0.946
481.7,0.929
481.8,0.824
481.9,0.967
482,0.893
482.1,0.916
482.2,0.962
482.3,0.87
482.4,0.833
482.5,0.935
482.6,0.942
482.7,0.948
482.8,0.97
482.9,0.832
483,0.97
483.1,0.895
483.2,0.934
483.3,0.866
483.4,0.95
483.5,0.925
483.6,0.818
483.7,0.944
483.8,0.9
483.9,0.858
484,0.708
484.1,0.875
484.2,0.9
484.3,0.81
484.4,0.9
484.5,0.947
484.6,0.88
484.7,0.903
484.8,0.88
484.9,0.87
485,0.943
485.1,0.908
485.2,0.865
485.3,0.854
485.4,0.895
485.5,0.774
485.6,0.731
485.7,0.837
485.8,0.819
485.9,0.747
486,0.616
486.1,0.427
486.2,0.557
486.3,0.731
486.4,0.67
486.5,0.815
486.6,0.757
486.7,0.857
486.8,0.804
486.9,0.858
487,0.866
487.1,0.678
487.2,0.737
487.3,0.871
487.4,0.88
487.5,0.893
487.6,0.78
487.7,0.933
487.8,0.716
487.9,0.918
488,0.941
488.1,0.922
488.2,0.781
488.3,0.969
488.4,0.908
488.5,0.826
488.6,0.873
488.7,0.76
488.8,0.9
488.9,0.786
489,0.956
489.1,0.611
489.2,0.856
489.3,0.888
489.4,0.922
489.5,0.955
489.6,0.942
489.7,0.948
489.8,0.977
489.9,0.977
490,0.859
490.1,0.954
490.2,0.862
490.3,0.786
490.4,0.891
490.5,0.97
490.6,0.978
490.7,0.933
490.8,0.875
490.9,0.92
491,0.803
491.1,0.85
491.2,0.85
491.3,0.94
491.4,0.874
491.5,0.916
491.6,0.956
491.7,0.9
491.8,0.841
491.9,0.726
492,0.793
492.1,0.798
492.2,0.863
492.3,0.98
492.4,0.837
492.5,0.765
492.6,0.924
492.7,0.89
492.8,0.943
492.9,0.984
493,0.924
493.1,0.973
493.2,0.97
493.3,0.838
493.4,0.8
493.5,0.954
493.6,0.853
493.7,0.907
493.8,0.885
493.9,0.756
494,0.813
494.1,0.934
494.2,0.885
494.3,0.899
494.4,0.959
494.5,0.952
494.6,0.825
494.7,0.964
494.8,0.939
494.9,0.917
495,0.918
495.1,0.97
495.2,0.972
495.3,0.91
495.4,0.969
495.5,0.862
495.6,0.947
495.7,0.733
