wavelength, flux, error 
401.1,0.908,0.045
401.2,0.76,0.038
401.3,0.949,0.047
401.4,0.84,0.042
401.5,0.807,0.04
401.6,0.927,0.046
401.7,0.926,0.046
401.8,0.779,0.039
401.9,0.95,0.047
402,0.897,0.045
402.1,0.948,0.047
402.2,0.841,0.042
402.3,0.887,0.044
402.4,0.931,0.047
402.5,0.726,0.036
402.6,0.914,0.046
402.7,0.914,0.046
402.8,0.905,0.045
402.9,0.88,0.044
403,0.765,0.038
403.1,0.671,0.034
403.2,0.854,0.043
403.3,0.764,0.038
403.4,0.903,0.045
403.5,0.903,0.045
403.6,0.754,0.038
403.7,0.889,0.044
403.8,1,0.05
403.9,0.892,0.045
404,0.928,0.046
404.1,0.821,0.041
404.2,0.892,0.045
404.3,0.978,0.049
404.4,0.87,0.044
404.5,0.885,0.044
404.6,0.689,0.034
404.7,0.939,0.047
404.8,1.01,0.05
404.9,0.829,0.041
405,0.964,0.048
405.1,0.915,0.046
405.2,0.849,0.042
405.3,0.939,0.047
405.4,0.817,0.041
405.5,0.793,0.04
405.6,0.888,0.044
405.7,0.874,0.044
405.8,0.773,0.039
405.9,0.943,0.047
406,0.941,0.047
406.1,0.91,0.045
406.2,0.883,0.044
406.3,0.771,0.039
406.4,0.746,0.037
406.5,0.908,0.045
406.6,0.896,0.045
406.7,0.715,0.036
406.8,0.912,0.046
406.9,0.854,0.043
407,0.812,0.041
407.1,0.791,0.04
407.2,0.806,0.04
407.3,0.96,0.048
407.4,0.879,0.044
407.5,0.85,0.042
407.6,0.816,0.041
407.7,0.704,0.035
407.8,0.643,0.032
407.9,0.774,0.039
408,0.735,0.037
408.1,0.888,0.044
408.2,0.857,0.043
408.3,0.838,0.042
408.4,0.74,0.037
408.5,0.771,0.039
408.6,0.751,0.038
408.7,0.83,0.042
408.8,0.777,0.039
408.9,0.749,0.037
409,0.772,0.039
409.1,0.702,0.035
409.2,0.74,0.037
409.3,0.754,0.038
409.4,0.736,0.037
409.5,0.69,0.035
409.6,0.605,0.03
409.7,0.578,0.029
409.8,0.548,0.027
409.9,0.543,0.027
410,0.387,0.019
410.1,0.362,0.018
410.2,0.186,0.009
410.3,0.335,0.017
410.4,0.449,0.022
410.5,0.5,0.025
410.6,0.568,0.028
410.7,0.666,0.033
410.8,0.682,0.034
410.9,0.701,0.035
411,0.652,0.033
411.1,0.662,0.033
411.2,0.67,0.033
411.3,0.752,0.038
411.4,0.834,0.042
411.5,0.78,0.039
411.6,0.88,0.044
411.7,0.838,0.042
411.8,0.807,0.04
411.9,0.718,0.036
412,0.816,0.041
412.1,0.875,0.044
412.2,0.907,0.045
412.3,0.818,0.041
412.4,0.846,0.042
412.5,0.892,0.045
412.6,0.783,0.039
412.7,0.941,0.047
412.8,0.695,0.035
412.9,0.788,0.039
413,0.891,0.045
413.1,0.81,0.041
413.2,0.753,0.038
413.3,0.855,0.043
413.4,0.876,0.044
413.5,0.805,0.04
413.6,0.919,0.046
413.7,0.825,0.041
413.8,0.938,0.047
413.9,0.96,0.048
414,0.924,0.046
414.1,0.957,0.048
414.2,0.836,0.042
414.3,0.863,0.043
414.4,0.786,0.039
414.5,0.98,0.049
414.6,0.881,0.044
414.7,0.924,0.046
414.8,0.851,0.043
414.9,0.851,0.043
415,0.911,0.046
415.1,0.883,0.044
415.2,0.943,0.047
415.3,0.986,0.049
415.4,0.772,0.039
415.5,0.823,0.041
415.6,0.893,0.045
415.7,0.851,0.043
415.8,0.884,0.044
415.9,0.873,0.044
416,0.94,0.047
416.1,0.862,0.043
416.2,0.827,0.041
416.3,0.916,0.046
416.4,0.892,0.045
416.5,0.975,0.049
416.6,0.993,0.05
416.7,0.882,0.044
416.8,0.937,0.047
416.9,0.973,0.049
417,0.945,0.047
417.1,0.916,0.046
417.2,0.709,0.035
417.3,0.762,0.038
417.4,0.798,0.04
417.5,0.929,0.046
417.6,0.894,0.045
417.7,0.84,0.042
417.8,0.781,0.039
417.9,0.854,0.043
418,0.936,0.047
418.1,0.906,0.045
418.2,0.859,0.043
418.3,0.934,0.047
418.4,0.966,0.048
418.5,0.867,0.043
418.6,0.964,0.048
418.7,0.84,0.042
418.8,0.833,0.042
418.9,0.903,0.045
419,0.939,0.047
419.1,0.876,0.044
419.2,0.855,0.043
419.3,0.966,0.048
419.4,0.978,0.049
419.5,0.89,0.044
419.6,0.778,0.039
419.7,0.996,0.05
419.8,0.793,0.04
419.9,0.774,0.039
420,0.975,0.049
420.1,0.925,0.046
420.2,0.791,0.04
420.3,0.936,0.047
420.4,0.891,0.045
420.5,0.806,0.04
420.6,0.88,0.044
420.7,0.868,0.043
420.8,0.951,0.048
420.9,0.904,0.045
421,0.834,0.042
421.1,0.975,0.049
421.2,0.935,0.047
421.3,0.934,0.047
421.4,0.938,0.047
421.5,0.923,0.046
421.6,0.736,0.037
421.7,0.9,0.045
421.8,0.907,0.045
421.9,0.914,0.046
422,0.917,0.046
422.1,0.947,0.047
422.2,0.936,0.047
422.3,0.941,0.047
422.4,0.87,0.044
422.5,0.874,0.044
422.6,0.849,0.042
422.7,0.693,0.035
422.8,0.964,0.048
422.9,0.912,0.046
423,0.947,0.047
423.1,0.963,0.048
423.2,0.981,0.049
423.3,0.774,0.039
423.4,0.941,0.047
423.5,0.852,0.043
423.6,0.808,0.04
423.7,0.958,0.048
423.8,0.91,0.046
423.9,0.841,0.042
424,0.783,0.039
424.1,0.902,0.045
424.2,0.886,0.044
424.3,0.926,0.046
424.4,0.95,0.047
424.5,0.849,0.042
424.6,0.901,0.045
424.7,0.793,0.04
424.8,0.927,0.046
424.9,0.989,0.049
425,0.828,0.041
425.1,0.81,0.041
425.2,0.98,0.049
425.3,0.923,0.046
425.4,0.831,0.042
425.5,0.987,0.049
425.6,1.001,0.05
425.7,1.004,0.05
425.8,0.916,0.046
425.9,0.946,0.047
426,0.817,0.041
426.1,0.893,0.045
426.2,0.882,0.044
426.3,0.879,0.044
426.4,0.984,0.049
426.5,0.946,0.047
426.6,0.987,0.049
426.7,0.959,0.048
426.8,0.934,0.047
426.9,0.862,0.043
427,0.963,0.048
427.1,0.902,0.045
427.2,0.764,0.038
427.3,0.893,0.045
427.4,0.92,0.046
427.5,0.8,0.04
427.6,0.969,0.048
427.7,0.924,0.046
427.8,0.921,0.046
427.9,0.99,0.049
428,0.941,0.047
428.1,0.898,0.045
428.2,0.895,0.045
428.3,0.786,0.039
428.4,0.907,0.045
428.5,0.928,0.046
428.6,0.902,0.045
428.7,0.918,0.046
428.8,0.874,0.044
428.9,0.847,0.042
429,0.608,0.03
429.1,0.895,0.045
429.2,0.92,0.046
429.3,0.965,0.048
429.4,0.863,0.043
429.5,0.894,0.045
429.6,0.875,0.044
429.7,0.833,0.042
429.8,0.948,0.047
429.9,0.694,0.035
430,0.796,0.04
430.1,0.817,0.041
430.2,0.772,0.039
430.3,0.755,0.038
430.4,0.946,0.047
430.5,0.901,0.045
430.6,0.799,0.04
430.7,0.906,0.045
430.8,0.659,0.033
430.9,0.811,0.041
431,0.82,0.041
431.1,0.945,0.047
431.2,0.873,0.044
431.3,0.815,0.041
431.4,0.811,0.041
431.5,0.802,0.04
431.6,0.878,0.044
431.7,0.845,0.042
431.8,0.913,0.046
431.9,0.771,0.039
432,0.852,0.043
432.1,0.674,0.034
432.2,0.851,0.043
432.3,0.817,0.041
432.4,0.837,0.042
432.5,0.759,0.038
432.6,0.653,0.033
432.7,0.7,0.035
432.8,0.801,0.04
432.9,0.822,0.041
433,0.75,0.037
433.1,0.676,0.034
433.2,0.704,0.035
433.3,0.695,0.035
433.4,0.714,0.036
433.5,0.621,0.031
433.6,0.648,0.032
433.7,0.511,0.026
433.8,0.48,0.024
433.9,0.406,0.02
434,0.259,0.013
434.1,0.29,0.014
434.2,0.436,0.022
434.3,0.49,0.024
434.4,0.565,0.028
434.5,0.623,0.031
434.6,0.7,0.035
434.7,0.713,0.036
434.8,0.699,0.035
434.9,0.69,0.034
435,0.782,0.039
435.1,0.825,0.041
435.2,0.652,0.033
435.3,0.72,0.036
435.4,0.778,0.039
435.5,0.839,0.042
435.6,0.8,0.04
435.7,0.898,0.045
435.8,0.893,0.045
435.9,0.864,0.043
436,0.845,0.042
436.1,0.857,0.043
436.2,0.872,0.044
436.3,0.873,0.044
436.4,0.941,0.047
436.5,0.971,0.049
436.6,0.901,0.045
436.7,0.913,0.046
436.8,0.856,0.043
436.9,0.938,0.047
437,0.886,0.044
437.1,0.895,0.045
437.2,0.938,0.047
437.3,0.908,0.045
437.4,0.817,0.041
437.5,0.738,0.037
437.6,0.886,0.044
437.7,0.946,0.047
437.8,0.962,0.048
437.9,0.944,0.047
438,0.963,0.048
438.1,0.95,0.047
438.2,1.004,0.05
438.3,0.874,0.044
438.4,0.799,0.04
438.5,0.817,0.041
438.6,0.977,0.049
438.7,0.878,0.044
438.8,0.854,0.043
438.9,0.988,0.049
439,0.887,0.044
439.1,0.854,0.043
439.2,0.94,0.047
439.3,0.979,0.049
439.4,0.918,0.046
439.5,0.864,0.043
439.6,0.877,0.044
439.7,0.982,0.049
439.8,0.887,0.044
439.9,0.97,0.049
440,0.847,0.042
440.1,0.882,0.044
440.2,0.957,0.048
440.3,0.969,0.048
440.4,1.018,0.051
440.5,0.832,0.042
440.6,0.977,0.049
440.7,1.001,0.05
440.8,0.909,0.045
440.9,0.939,0.047
441,0.907,0.045
441.1,0.927,0.046
441.2,0.933,0.047
441.3,1.026,0.051
441.4,0.944,0.047
441.5,0.849,0.042
441.6,0.959,0.048
441.7,0.863,0.043
441.8,0.796,0.04
441.9,0.999,0.05
442,1.006,0.05
442.1,0.956,0.048
442.2,0.858,0.043
442.3,0.904,0.045
442.4,0.915,0.046
442.5,0.865,0.043
442.6,0.924,0.046
442.7,0.895,0.045
442.8,0.931,0.047
442.9,0.987,0.049
443,0.872,0.044
443.1,0.864,0.043
443.2,0.934,0.047
443.3,0.868,0.043
443.4,0.892,0.045
443.5,0.876,0.044
443.6,0.883,0.044
443.7,0.96,0.048
443.8,0.944,0.047
443.9,1.004,0.05
444,0.931,0.047
444.1,0.943,0.047
444.2,0.823,0.041
444.3,0.854,0.043
444.4,0.84,0.042
444.5,0.942,0.047
444.6,0.979,0.049
444.7,0.989,0.049
444.8,0.905,0.045
444.9,0.956,0.048
445,0.875,0.044
445.1,0.948,0.047
445.2,0.95,0.048
445.3,0.938,0.047
445.4,0.925,0.046
445.5,0.696,0.035
445.6,0.917,0.046
445.7,0.888,0.044
445.8,0.893,0.045
445.9,0.87,0.043
446,0.974,0.049
446.1,0.9,0.045
446.2,0.784,0.039
446.3,0.943,0.047
446.4,0.914,0.046
446.5,0.884,0.044
446.6,0.967,0.048
446.7,0.892,0.045
446.8,0.9,0.045
446.9,0.826,0.041
447,1.001,0.05
447.1,0.921,0.046
447.2,0.926,0.046
447.3,0.942,0.047
447.4,0.91,0.045
447.5,0.967,0.048
447.6,0.877,0.044
447.7,1.006,0.05
447.8,0.974,0.049
447.9,0.953,0.048
448,0.907,0.045
448.1,0.728,0.036
448.2,0.797,0.04
448.3,0.878,0.044
448.4,0.933,0.047
448.5,1.021,0.051
448.6,0.883,0.044
448.7,0.956,0.048
448.8,0.896,0.045
448.9,0.941,0.047
449,0.899,0.045
449.1,0.849,0.042
449.2,1.002,0.05
449.3,0.955,0.048
449.4,0.924,0.046
449.5,0.929,0.046
449.6,0.888,0.044
449.7,0.899,0.045
449.8,0.964,0.048
449.9,0.932,0.047
450,0.901,0.045
450.1,0.848,0.042
450.2,0.964,0.048
450.3,0.967,0.048
450.4,0.981,0.049
450.5,0.957,0.048
450.6,0.999,0.05
450.7,0.957,0.048
450.8,0.829,0.041
450.9,1.029,0.051
451,0.996,0.05
451.1,0.984,0.049
451.2,0.964,0.048
451.3,0.966,0.048
451.4,0.963,0.048
451.5,0.894,0.045
451.6,1.025,0.051
451.7,0.975,0.049
451.8,0.873,0.044
451.9,0.996,0.05
452,0.94,0.047
452.1,0.947,0.047
452.2,0.956,0.048
452.3,0.814,0.041
452.4,0.962,0.048
452.5,0.84,0.042
452.6,0.963,0.048
452.7,0.94,0.047
452.8,0.933,0.047
452.9,0.809,0.04
453,0.979,0.049
453.1,0.833,0.042
453.2,0.969,0.048
453.3,0.924,0.046
453.4,0.856,0.043
453.5,0.974,0.049
453.6,0.899,0.045
453.7,0.979,0.049
453.8,1.002,0.05
453.9,0.942,0.047
454,0.99,0.05
454.1,0.938,0.047
454.2,0.889,0.044
454.3,0.99,0.049
454.4,0.961,0.048
454.5,0.88,0.044
454.6,0.851,0.043
454.7,0.885,0.044
454.8,0.91,0.046
454.9,0.868,0.043
455,0.778,0.039
455.1,0.958,0.048
455.2,0.938,0.047
455.3,0.963,0.048
455.4,0.872,0.044
455.5,0.884,0.044
455.6,0.79,0.04
455.7,0.987,0.049
455.8,0.954,0.048
455.9,0.865,0.043
456,0.977,0.049
456.1,0.941,0.047
456.2,0.947,0.047
456.3,0.959,0.048
456.4,0.897,0.045
456.5,0.958,0.048
456.6,0.951,0.048
456.7,1.005,0.05
456.8,0.918,0.046
456.9,0.969,0.048
457,0.971,0.049
457.1,0.925,0.046
457.2,0.875,0.044
457.3,1.002,0.05
457.4,0.996,0.05
457.5,0.967,0.048
457.6,0.936,0.047
457.7,0.963,0.048
457.8,0.991,0.05
457.9,0.914,0.046
458,0.894,0.045
458.1,0.863,0.043
458.2,0.942,0.047
458.3,0.89,0.045
458.4,0.78,0.039
458.5,0.886,0.044
458.6,0.839,0.042
458.7,0.989,0.049
458.8,0.893,0.045
458.9,0.934,0.047
459,0.887,0.044
459.1,0.994,0.05
459.2,0.906,0.045
459.3,0.893,0.045
459.4,0.947,0.047
459.5,0.972,0.049
459.6,0.922,0.046
459.7,0.967,0.048
459.8,0.97,0.049
459.9,0.917,0.046
460,0.954,0.048
460.1,0.866,0.043
460.2,0.929,0.046
460.3,0.911,0.046
460.4,0.984,0.049
460.5,0.925,0.046
460.6,0.979,0.049
460.7,0.97,0.049
460.8,0.965,0.048
460.9,0.927,0.046
461,0.998,0.05
461.1,0.895,0.045
461.2,0.926,0.046
461.3,0.929,0.046
461.4,0.989,0.049
461.5,1.016,0.051
461.6,0.885,0.044
461.7,0.932,0.047
461.8,0.942,0.047
461.9,0.85,0.043
462,0.955,0.048
462.1,0.911,0.046
462.2,0.922,0.046
462.3,0.979,0.049
462.4,0.968,0.048
462.5,0.944,0.047
462.6,0.93,0.046
462.7,0.934,0.047
462.8,0.927,0.046
462.9,0.885,0.044
463,0.984,0.049
463.1,1.011,0.051
463.2,0.979,0.049
463.3,0.93,0.047
463.4,0.836,0.042
463.5,0.923,0.046
463.6,0.959,0.048
463.7,0.958,0.048
463.8,0.895,0.045
463.9,0.963,0.048
464,0.969,0.048
464.1,1.032,0.052
464.2,0.989,0.049
464.3,0.864,0.043
464.4,0.909,0.045
464.5,0.943,0.047
464.6,0.938,0.047
464.7,0.937,0.047
464.8,0.932,0.047
464.9,0.874,0.044
465,0.96,0.048
465.1,0.933,0.047
465.2,0.961,0.048
465.3,0.986,0.049
465.4,0.944,0.047
465.5,0.949,0.047
465.6,0.982,0.049
465.7,0.866,0.043
465.8,0.976,0.049
465.9,0.985,0.049
466,0.98,0.049
466.1,0.953,0.048
466.2,1.008,0.05
466.3,0.989,0.049
466.4,1.011,0.051
466.5,0.963,0.048
466.6,0.976,0.049
466.7,0.794,0.04
466.8,0.8,0.04
466.9,0.915,0.046
467,0.919,0.046
467.1,0.928,0.046
467.2,0.949,0.047
467.3,0.936,0.047
467.4,1.056,0.053
467.5,1,0.05
467.6,0.999,0.05
467.7,0.928,0.046
467.8,0.98,0.049
467.9,0.911,0.046
468,0.939,0.047
468.1,0.936,0.047
468.2,0.923,0.046
468.3,1.041,0.052
468.4,0.968,0.048
468.5,0.949,0.047
468.6,0.953,0.048
468.7,1.003,0.05
468.8,0.946,0.047
468.9,0.977,0.049
469,0.898,0.045
469.1,0.924,0.046
469.2,1.013,0.051
469.3,0.987,0.049
469.4,0.995,0.05
469.5,0.964,0.048
469.6,0.968,0.048
469.7,0.991,0.05
469.8,0.931,0.047
469.9,0.953,0.048
470,0.972,0.049
470.1,0.935,0.047
470.2,0.919,0.046
470.3,0.831,0.042
470.4,0.968,0.048
470.5,0.908,0.045
470.6,1.03,0.051
470.7,0.896,0.045
470.8,0.956,0.048
470.9,0.914,0.046
471,0.949,0.047
471.1,0.931,0.047
471.2,0.972,0.049
471.3,0.99,0.05
471.4,0.981,0.049
471.5,1.018,0.051
471.6,0.946,0.047
471.7,0.908,0.045
471.8,1.017,0.051
471.9,1.041,0.052
472,0.964,0.048
472.1,0.966,0.048
472.2,0.902,0.045
472.3,1.031,0.052
472.4,1.006,0.05
472.5,0.949,0.047
472.6,0.974,0.049
472.7,0.927,0.046
472.8,0.975,0.049
472.9,0.964,0.048
473,0.899,0.045
473.1,0.876,0.044
473.2,0.911,0.046
473.3,1.02,0.051
473.4,0.937,0.047
473.5,0.952,0.048
473.6,0.996,0.05
473.7,0.916,0.046
473.8,1.003,0.05
473.9,0.929,0.046
474,0.993,0.05
474.1,1.009,0.05
474.2,0.987,0.049
474.3,0.979,0.049
474.4,1,0.05
474.5,0.987,0.049
474.6,0.901,0.045
474.7,0.994,0.05
474.8,0.976,0.049
474.9,1.022,0.051
475,1.025,0.051
475.1,0.982,0.049
475.2,0.981,0.049
475.3,0.99,0.049
475.4,0.914,0.046
475.5,0.957,0.048
475.6,0.904,0.045
475.7,0.989,0.049
475.8,1.033,0.052
475.9,0.973,0.049
476,1.019,0.051
476.1,0.923,0.046
476.2,0.945,0.047
476.3,0.943,0.047
476.4,0.938,0.047
476.5,0.946,0.047
476.6,0.92,0.046
476.7,0.938,0.047
476.8,0.944,0.047
476.9,1.004,0.05
477,0.981,0.049
477.1,0.994,0.05
477.2,0.963,0.048
477.3,1,0.05
477.4,1.01,0.051
477.5,1.016,0.051
477.6,0.872,0.044
477.7,0.997,0.05
477.8,0.975,0.049
477.9,1.027,0.051
478,0.911,0.046
478.1,1,0.05
478.2,0.994,0.05
478.3,0.997,0.05
478.4,1.015,0.051
478.5,0.945,0.047
478.6,0.891,0.045
478.7,0.932,0.047
478.8,0.988,0.049
478.9,0.923,0.046
479,0.945,0.047
479.1,0.987,0.049
479.2,0.987,0.049
479.3,0.972,0.049
479.4,0.998,0.05
479.5,0.946,0.047
479.6,1.002,0.05
479.7,1.012,0.051
479.8,1.016,0.051
479.9,0.973,0.049
480,0.939,0.047
480.1,0.988,0.049
480.2,1.042,0.052
480.3,0.994,0.05
480.4,1.005,0.05
480.5,0.866,0.043
480.6,1.054,0.053
480.7,0.995,0.05
480.8,1.004,0.05
480.9,1.057,0.053
481,0.945,0.047
481.1,0.965,0.048
481.2,0.973,0.049
481.3,0.977,0.049
481.4,0.962,0.048
481.5,0.992,0.05
481.6,0.968,0.048
481.7,0.958,0.048
481.8,0.883,0.044
481.9,0.962,0.048
482,0.887,0.044
482.1,1.016,0.051
482.2,0.956,0.048
482.3,0.953,0.048
482.4,0.825,0.041
482.5,1.003,0.05
482.6,0.974,0.049
482.7,0.964,0.048
482.8,0.989,0.049
482.9,0.988,0.049
483,0.966,0.048
483.1,0.921,0.046
483.2,0.989,0.049
483.3,0.878,0.044
483.4,0.934,0.047
483.5,0.901,0.045
483.6,0.89,0.045
483.7,0.918,0.046
483.8,0.912,0.046
483.9,0.926,0.046
484,0.872,0.044
484.1,0.855,0.043
484.2,0.866,0.043
484.3,0.85,0.043
484.4,0.894,0.045
484.5,0.866,0.043
484.6,0.869,0.043
484.7,0.89,0.044
484.8,0.779,0.039
484.9,0.842,0.042
485,0.827,0.041
485.1,0.793,0.04
485.2,0.734,0.037
485.3,0.78,0.039
485.4,0.77,0.039
485.5,0.726,0.036
485.6,0.659,0.033
485.7,0.644,0.032
485.8,0.609,0.03
485.9,0.541,0.027
486,0.489,0.024
486.1,0.325,0.016
486.2,0.447,0.022
486.3,0.538,0.027
486.4,0.562,0.028
486.5,0.634,0.032
486.6,0.646,0.032
486.7,0.735,0.037
486.8,0.705,0.035
486.9,0.697,0.035
487,0.773,0.039
487.1,0.743,0.037
487.2,0.747,0.037
487.3,0.812,0.041
487.4,0.838,0.042
487.5,0.847,0.042
487.6,0.799,0.04
487.7,0.878,0.044
487.8,0.758,0.038
487.9,0.883,0.044
488,0.849,0.042
488.1,0.905,0.045
488.2,0.848,0.042
488.3,0.893,0.045
488.4,0.886,0.044
488.5,0.878,0.044
488.6,0.903,0.045
488.7,0.843,0.042
488.8,0.917,0.046
488.9,0.869,0.043
489,1.003,0.05
489.1,0.826,0.041
489.2,0.924,0.046
489.3,0.936,0.047
489.4,0.952,0.048
489.5,0.997,0.05
489.6,0.954,0.048
489.7,0.968,0.048
489.8,0.986,0.049
489.9,0.951,0.048
490,0.896,0.045
490.1,0.991,0.05
490.2,0.95,0.048
490.3,0.895,0.045
490.4,0.918,0.046
490.5,0.946,0.047
490.6,1.001,0.05
490.7,1.022,0.051
490.8,0.96,0.048
490.9,0.934,0.047
491,0.908,0.045
491.1,0.872,0.044
491.2,0.914,0.046
491.3,1.054,0.053
491.4,0.971,0.049
491.5,0.932,0.047
491.6,0.99,0.049
491.7,0.936,0.047
491.8,0.929,0.046
491.9,0.835,0.042
492,0.898,0.045
492.1,0.919,0.046
492.2,0.973,0.049
492.3,1.015,0.051
492.4,0.846,0.042
492.5,0.88,0.044
492.6,0.977,0.049
492.7,0.935,0.047
492.8,0.981,0.049
492.9,1.013,0.051
493,0.969,0.048
493.1,0.934,0.047
493.2,0.961,0.048
493.3,0.9,0.045
493.4,0.866,0.043
493.5,0.99,0.049
493.6,0.943,0.047
493.7,0.912,0.046
493.8,0.977,0.049
493.9,0.816,0.041
494,0.89,0.045
494.1,0.954,0.048
494.2,0.976,0.049
494.3,0.922,0.046
494.4,0.989,0.049
494.5,0.999,0.05
494.6,0.949,0.047
494.7,0.975,0.049
494.8,1.038,0.052
494.9,0.969,0.048
495,0.951,0.048
495.1,0.994,0.05
495.2,0.98,0.049
495.3,0.99,0.05
495.4,1.032,0.052
495.5,0.92,0.046
495.6,0.97,0.048
495.7,0.872,0.044
495.8,0.841,0.042
495.9,0.968,0.048
496,0.985,0.049
496.1,0.958,0.048
496.2,0.965,0.048
496.3,1.002,0.05
496.4,0.963,0.048
496.5,0.995,0.05
496.6,0.974,0.049
496.7,1.047,0.052
496.8,0.957,0.048
496.9,0.952,0.048
497,0.957,0.048
497.1,0.932,0.047
497.2,1.02,0.051
497.3,0.933,0.047
497.4,1,0.05
497.5,0.992,0.05
497.6,1.022,0.051
497.7,0.986,0.049
497.8,0.907,0.045
497.9,0.926,0.046
498,0.998,0.05
498.1,0.932,0.047
498.2,0.876,0.044
498.3,0.848,0.042
498.4,0.878,0.044
