wavelength, flux, error 
380,0.426,0.021
380.1,0.605,0.03
380.2,0.583,0.029
380.3,0.732,0.037
380.4,0.698,0.035
380.5,0.73,0.037
380.6,0.754,0.038
380.7,0.565,0.028
380.8,0.811,0.041
380.9,0.792,0.04
381,0.925,0.046
381.1,0.767,0.038
381.2,0.886,0.044
381.3,0.79,0.04
381.4,0.785,0.039
381.5,0.847,0.042
381.6,0.688,0.034
381.7,0.909,0.045
381.8,0.8,0.04
381.9,0.919,0.046
382,0.78,0.039
382.1,0.756,0.038
382.2,0.782,0.039
382.3,0.859,0.043
382.4,0.636,0.032
382.5,0.699,0.035
382.6,0.663,0.033
382.7,0.724,0.036
382.8,0.648,0.032
382.9,0.547,0.027
383,0.604,0.03
383.1,0.642,0.032
383.2,0.375,0.019
383.3,0.427,0.021
383.4,0.369,0.018
383.5,0.28,0.014
383.6,0.35,0.017
383.7,0.475,0.024
383.8,0.335,0.017
383.9,0.537,0.027
384,0.613,0.031
384.1,0.548,0.027
384.2,0.699,0.035
384.3,0.614,0.031
384.4,0.692,0.035
384.5,0.707,0.035
384.6,0.718,0.036
384.7,0.793,0.04
384.8,0.839,0.042
384.9,0.806,0.04
385,0.722,0.036
385.1,0.832,0.042
385.2,0.826,0.041
385.3,0.916,0.046
385.4,0.922,0.046
385.5,0.842,0.042
385.6,0.666,0.033
385.7,0.903,0.045
385.8,0.803,0.04
385.9,0.735,0.037
386,0.748,0.037
386.1,0.807,0.04
386.2,0.942,0.047
386.3,0.76,0.038
386.4,0.749,0.037
386.5,0.884,0.044
386.6,0.805,0.04
386.7,0.709,0.035
386.8,0.822,0.041
386.9,0.869,0.043
387,0.712,0.036
387.1,0.865,0.043
387.2,0.774,0.039
387.3,0.654,0.033
387.4,0.786,0.039
387.5,0.738,0.037
387.6,0.735,0.037
387.7,0.779,0.039
387.8,0.48,0.024
387.9,0.55,0.027
388,0.755,0.038
388.1,0.766,0.038
388.2,0.667,0.033
388.3,0.631,0.032
388.4,0.597,0.03
388.5,0.556,0.028
388.6,0.433,0.022
388.7,0.471,0.024
388.8,0.359,0.018
388.9,0.252,0.013
389,0.349,0.017
389.1,0.416,0.021
389.2,0.534,0.027
389.3,0.558,0.028
389.4,0.512,0.026
389.5,0.617,0.031
389.6,0.561,0.028
389.7,0.737,0.037
389.8,0.592,0.03
389.9,0.612,0.031
390,0.638,0.032
390.1,0.788,0.039
390.2,0.758,0.038
390.3,0.703,0.035
390.4,0.648,0.032
390.5,0.72,0.036
390.6,0.707,0.035
390.7,0.709,0.035
390.8,0.861,0.043
390.9,0.839,0.042
391,0.86,0.043
391.1,0.876,0.044
391.2,0.881,0.044
391.3,0.857,0.043
391.4,0.725,0.036
391.5,0.909,0.045
391.6,0.799,0.04
391.7,0.815,0.041
391.8,0.811,0.041
391.9,0.732,0.037
392,0.798,0.04
392.1,0.858,0.043
392.2,0.906,0.045
392.3,0.716,0.036
392.4,0.901,0.045
392.5,0.88,0.044
392.6,0.758,0.038
392.7,0.945,0.047
392.8,0.701,0.035
392.9,0.759,0.038
393,0.602,0.03
393.1,0.615,0.031
393.2,0.435,0.022
393.3,0.255,0.013
393.4,0.197,0.01
393.5,0.422,0.021
393.6,0.528,0.026
393.7,0.739,0.037
393.8,0.593,0.03
393.9,0.804,0.04
394,0.86,0.043
394.1,0.808,0.04
394.2,0.827,0.041
394.3,0.777,0.039
394.4,0.712,0.036
394.5,0.671,0.034
394.6,0.987,0.049
394.7,0.772,0.039
394.8,0.743,0.037
394.9,0.719,0.036
395,0.759,0.038
395.1,0.78,0.039
395.2,0.803,0.04
395.3,0.792,0.04
395.4,0.83,0.042
395.5,0.784,0.039
395.6,0.659,0.033
395.7,0.663,0.033
395.8,0.76,0.038
395.9,0.746,0.037
396,0.706,0.035
396.1,0.648,0.032
396.2,0.583,0.029
396.3,0.634,0.032
396.4,0.572,0.029
396.5,0.559,0.028
396.6,0.426,0.021
396.7,0.331,0.017
396.8,0.221,0.011
396.9,0.15,0.007
397,0.258,0.013
397.1,0.379,0.019
397.2,0.448,0.022
397.3,0.541,0.027
397.4,0.44,0.022
397.5,0.528,0.026
397.6,0.582,0.029
397.7,0.572,0.029
397.8,0.648,0.032
397.9,0.69,0.035
398,0.694,0.035
398.1,0.751,0.038
398.2,0.608,0.03
398.3,0.792,0.04
398.4,0.727,0.036
398.5,0.772,0.039
398.6,0.732,0.037
398.7,0.746,0.037
398.8,0.935,0.047
398.9,0.867,0.043
399,0.831,0.042
399.1,0.783,0.039
399.2,0.885,0.044
399.3,0.888,0.044
399.4,0.764,0.038
399.5,0.821,0.041
399.6,0.887,0.044
399.7,0.843,0.042
399.8,0.897,0.045
399.9,0.794,0.04
400,0.937,0.047
400.1,0.97,0.049
400.2,0.849,0.042
400.3,0.847,0.042
400.4,0.925,0.046
400.5,0.755,0.038
400.6,0.861,0.043
400.7,0.874,0.044
400.8,0.938,0.047
400.9,0.987,0.049
401,0.802,0.04
