Star ID,V (mag),B-V color (mag),Parallax (milliarcsec),Parallax Uncertainty (milliarcsec)
1415.00,6.58,0.72,17.6,150.0
1415.00,7.19,0.73,17.6,150.0
1416.00,12.15,1.45,38.9,109.0
1417.00,5.47,0.08,12.8,127.0
1418.00,5.32,1.34,3.3,84.0
1419.00,13.34,1.50,40.6,241.0
1419.01,9.68,1.22,34.2,160.0
1420.00,6.82,-0.18,2.9,111.0
1421.00,7.43,0.77,38.1,76.0
1421.10,11.55,1.46,32.8,96.0
1422.00,12.26,1.41,24.0,114.0
1423.00,5.50,-0.01,10.0,127.0
1424.00,5.50,0.00,14.8,149.0
1425.00,8.46,0.85,40.7,97.0
1426.00,10.48,1.40,97.9,39.0
1426.01,12.77,1.39,19.8,24.0
1427.00,5.05,1.25,11.4,173.0
1427.02,15.80,-0.10,7.8,54.0
1430.00,8.14,1.50,172.6,56.0
1431.00,6.87,0.63,44.8,50.0
1435.00,6.45,0.67,56.6,65.0
1436.00,4.80,0.03,10.9,60.0
1438.01,14.65,1.59,30.1,31.0
1440.00,9.29,0.95,43.7,150.0
1441.00,9.09,0.91,33.7,97.0
1442.00,7.38,0.96,6.2,82.0
1443.00,4.98,1.83,5.1,84.0
1444.00,3.28,1.60,15.6,80.0
1448.00,4.35,1.02,25.0,88.0
1449.00,5.20,0.44,37.9,111.0
1450.00,9.22,0.78,28.8,103.0
1450.01,13.20,1.53,37.8,33.0
1450.02,13.39,-0.17,27.7,22.0
1451.00,9.10,0.80,26.5,105.0
1452.00,3.98,1.32,13.0,66.0
1455.00,9.37,1.07,32.7,101.0
1456.00,5.65,0.50,36.1,66.0
1457.00,11.35,1.46,42.6,106.0
1458.00,4.48,0.01,36.4,75.0
1459.00,5.04,0.42,43.0,98.0
1460.00,5.01,1.62,6.3,75.0
1460.01,15.04,1.55,22.6,31.0
1461.00,5.39,0.10,14.5,76.0
1462.00,8.80,0.72,15.8,150.0
1463.00,5.71,0.61,50.0,96.0
1463.10,6.83,0.46,9.6,106.0
1465.00,6.07,0.56,16.5,150.0
1466.00,4.37,1.00,24.3,137.0
1467.00,5.14,1.30,15.9,137.0
1468.00,5.09,0.72,114.3,110.0
1468.10,8.64,0.93,25.6,150.0
1468.20,5.36,0.43,24.6,84.0
1469.00,7.27,0.24,3.1,85.0
1469.01,9.94,1.18,19.3,96.0
1470.01,15.69,1.66,24.1,45.0
1470.10,13.06,1.70,68.2,89.0
1471.00,6.43,0.59,42.0,150.0
1472.00,4.90,1.60,1.9,65.0
1472.01,16.37,0.55,44.2,42.0
1474.00,3.02,-0.19,2.7,150.0
1475.00,2.88,1.64,18.6,53.0
1476.00,4.91,1.97,3.5,84.0
1476.10,8.51,0.90,33.2,150.0
1476.11,14.59,1.78,44.8,47.0
1477.00,6.60,0.66,39.4,150.0
1477.10,10.76,1.44,21.9,101.0
1477.20,8.37,0.74,25.1,150.0
1478.01,13.00,0.99,17.5,33.0
1479.00,5.64,0.24,22.7,72.0
1480.00,5.21,1.53,5.0,60.0
1481.00,1.98,-0.23,18.0,106.0
1482.00,4.44,0.18,26.4,65.0
1483.00,3.85,0.88,17.5,78.0
1484.00,13.06,1.76,119.4,23.0
1485.00,5.22,1.24,15.9,72.0
1487.00,5.98,1.22,5.7,56.0
1488.00,5.87,0.56,26.3,150.0
1489.00,6.76,0.94,66.4,45.0
1492.00,9.49,0.55,34.4,110.0
1493.00,7.88,0.70,14.7,150.0
1495.00,6.67,0.68,36.1,97.0
1497.00,-0.72,0.15,17.8,65.0
1498.00,7.12,0.62,34.8,111.0
1499.00,5.88,0.94,24.1,86.0
1500.00,5.55,0.68,7.7,45.0
1501.00,5.20,1.18,3.9,62.0
1502.00,5.90,1.44,15.5,150.0
1503.01,6.58,0.51,24.0,285.0
1504.00,8.63,0.92,27.5,98.0
1505.00,4.15,-0.13,5.5,46.0
1507.00,6.07,0.53,43.7,150.0
1508.00,4.60,-0.10,21.8,93.0
1509.00,11.14,1.69,244.2,37.0
1510.00,4.48,-0.17,12.3,150.0
1511.00,7.79,0.65,35.1,105.0
1512.00,5.73,1.47,17.1,141.0
1512.01,9.32,1.01,20.9,96.0
1513.00,6.59,0.33,3.8,134.0
1514.00,6.24,0.38,37.3,120.0
1514.01,6.20,1.16,8.0,50.0
1514.10,10.75,1.35,38.3,150.0
1515.00,5.23,0.15,11.6,84.0
1516.00,7.72,0.79,2.9,150.0
1517.00,5.38,0.97,5.7,149.0
1518.00,10.07,0.85,18.8,76.0
1519.00,10.19,0.45,18.5,150.0
1520.00,5.15,1.27,21.8,161.0
1523.00,5.27,0.41,25.5,161.0
1524.00,4.50,0.00,6.6,51.0
1525.00,5.22,1.09,7.9,149.0
1525.10,11.41,1.37,67.2,150.0
1526.00,5.94,0.89,34.1,118.0
1527.00,5.24,1.00,15.0,137.0
1528.00,10.59,1.48,58.3,150.0
1530.00,5.45,0.50,47.1,61.0
1531.00,6.54,0.71,11.2,64.0
1535.00,7.14,0.57,23.9,38.0
1535.00,6.89,0.65,23.9,38.0
1536.00,5.42,1.44,29.0,161.0
1536.01,14.22,1.65,54.7,24.0
1537.00,4.54,-0.05,23.2,149.0
1537.01,10.18,1.20,34.9,114.0
1537.02,14.79,1.58,29.4,35.0
1537.03,10.18,1.20,13.4,72.0
1538.00,9.63,1.50,101.7,39.0
1539.00,1.93,0.00,36.0,37.0
1541.01,15.43,1.53,26.2,56.0
1541.02,13.45,1.46,24.5,24.0
1542.00,4.79,1.23,3.5,60.0
1543.00,3.95,1.06,54.7,81.0
1544.00,11.62,1.50,71.0,150.0
1545.00,8.27,0.79,29.1,113.0
1546.00,10.95,1.48,41.4,67.0
1548.00,7.66,0.69,29.4,150.0
1549.00,4.43,1.15,11.4,149.0
1551.00,5.27,1.18,17.5,101.0
1552.00,11.14,0.75,1.6,150.0
1553.00,9.91,0.79,4.3,150.0
1556.00,9.62,1.46,69.7,150.0
1558.00,8.12,1.04,59.1,39.0
1561.00,5.02,1.48,18.2,72.0
1561.10,5.71,1.14,18.2,150.0
1562.00,4.93,0.87,10.9,186.0
1562.01,12.44,1.59,52.3,42.0
1565.00,5.19,1.53,30.3,127.0
1566.00,6.84,1.59,0.2,81.0
1567.00,2.98,1.40,10.0,96.0
1567.10,10.32,0.43,11.6,79.0
1569.00,4.49,1.16,5.9,65.0
1570.00,10.53,0.40,15.6,150.0
1571.00,5.25,0.56,68.2,83.0
1572.00,8.77,0.96,40.7,127.0
1573.00,3.36,0.43,53.4,96.0
1574.00,6.28,0.47,31.2,83.0
1575.00,5.14,-0.17,9.3,120.0
1577.00,-1.46,0.00,381.6,22.0
1579.00,12.05,-0.09,66.2,21.0
1580.00,6.45,0.54,60.4,150.0
1581.00,8.52,0.69,13.4,150.0
1581.01,8.58,1.24,52.4,36.0
1584.00,5.32,0.07,23.6,149.0
1585.00,6.15,0.07,14.7,222.0
1586.00,5.92,0.48,48.3,97.0
1587.00,10.37,1.11,29.9,150.0
1588.00,4.77,1.40,9.7,64.0
1588.01,13.34,1.35,44.3,56.0
1588.02,15.68,0.32,54.2,55.0
1588.03,13.77,1.66,75.0,22.0
1588.04,9.80,0.77,22.3,67.0
1589.00,4.47,1.11,15.4,93.0
1591.00,5.12,-0.13,0.2,107.0
1592.00,7.93,0.60,16.1,133.0
1593.01,16.64,0.52,30.0,52.0
1593.10,9.00,1.23,48.3,48.0
1594.00,5.33,0.65,3.2,141.0
1596.00,5.40,1.34,15.5,127.0
1596.01,11.06,1.54,84.0,48.0
1597.00,4.55,1.36,24.5,95.0
1598.00,5.27,-0.02,12.4,84.0
1599.00,5.77,0.39,33.5,73.0
1601.00,3.60,0.10,22.2,102.0
1603.00,9.74,0.90,5.5,150.0
1604.00,5.14,0.45,44.8,114.0
1605.10,3.27,0.21,50.8,150.0
1606.00,6.59,1.06,111.1,21.0
1607.00,4.40,0.92,23.1,161.0
1608.01,12.47,1.60,58.0,69.0
1609.00,9.87,1.57,174.5,32.0
1611.00,4.35,0.85,16.2,50.0
1611.01,13.69,1.71,87.4,23.0
1612.01,10.92,1.25,22.8,120.0
1613.00,4.65,0.30,41.0,89.0
1613.02,5.73,0.57,52.7,117.0
1614.00,10.55,1.24,40.2,88.0
1615.00,5.45,0.18,7.5,173.0
1616.00,9.12,1.12,37.2,42.0
1617.00,4.07,1.43,15.9,25.0
1619.00,6.04,0.71,41.1,101.0
1621.00,3.87,1.73,1.5,137.0
1621.01,14.93,1.32,13.3,54.0
1623.00,4.90,0.03,8.3,84.0
1624.00,9.72,1.36,72.7,178.0
1625.00,7.12,0.56,9.5,74.0
1626.00,4.68,0.37,33.5,108.0
1627.00,7.42,0.69,31.5,54.0
1630.00,4.37,-0.07,4.4,150.0
1630.01,16.22,0.09,26.0,37.0
1632.00,6.10,0.46,24.0,84.0
1632.10,8.17,0.78,69.6,150.0
1632.11,16.00,0.70,14.4,65.0
1633.00,10.26,0.79,22.4,150.0
1634.00,5.46,0.36,14.8,137.0
1635.00,9.05,0.57,29.3,85.0
1635.01,14.83,1.93,128.8,35.0
1637.00,5.07,1.63,1.6,160.0
1638.00,6.23,0.46,68.3,150.0
1638.01,9.15,1.16,33.9,86.0
1639.00,11.96,1.53,66.9,78.0
1640.00,8.00,0.99,35.4,68.0
1641.00,7.43,0.59,32.7,117.0
1641.01,16.67,0.96,53.5,9.0
1641.10,10.84,1.67,118.3,100.0
1641.20,10.16,1.02,25.5,150.0
1642.00,6.94,0.46,25.5,150.0
1642.01,13.30,1.84,108.5,21.0
1643.00,7.65,0.53,40.9,150.0
1645.00,5.18,0.94,12.5,72.0
1645.01,15.27,0.88,81.0,242.0
1646.10,6.71,0.90,67.4,150.0
1647.00,5.93,0.60,41.0,47.0
1648.01,11.97,1.07,12.7,120.0
1649.00,3.47,1.73,22.2,161.0
1649.01,10.49,1.27,17.8,120.0
1649.02,8.38,1.08,62.7,52.0
1650.00,5.13,1.39,5.7,84.0
1652.00,7.46,0.14,33.6,150.0
1654.10,6.81,0.80,61.5,150.0
1655.00,8.22,0.74,14.3,47.0
1656.00,10.22,1.32,36.1,63.0
1657.00,5.55,0.91,35.8,134.0
1658.00,11.30,1.54,60.0,76.0
1659.00,5.17,1.40,35.4,101.0
1660.00,8.66,1.17,54.9,150.0
1661.00,5.20,0.20,23.1,127.0
1662.00,5.54,0.64,54.1,75.0
1664.00,4.93,0.13,18.8,137.0
1664.01,9.84,1.29,44.8,72.0
1667.00,5.44,1.03,5.1,66.0
1668.00,11.47,1.72,165.2,21.0
1669.00,7.09,0.70,28.4,125.0
1670.00,10.54,1.17,39.4,150.0
1670.01,8.86,0.96,35.2,101.0
1670.03,14.57,1.69,41.2,24.0
1671.00,10.71,1.08,30.4,163.0
1671.01,12.21,1.43,30.5,32.0
1672.00,6.43,0.89,25.3,66.0
1674.00,9.55,0.50,24.8,92.0
1675.00,4.90,1.45,22.8,98.0
1676.00,4.41,1.26,7.8,60.0
1677.00,4.92,1.03,25.0,67.0
1678.00,5.47,1.67,3.9,104.0
1679.00,9.94,1.35,36.5,101.0
1679.10,5.45,0.29,22.4,72.0
1681.00,6.43,0.49,27.0,68.0
1682.00,4.15,-0.01,18.1,52.0
1683.00,5.20,1.07,34.4,98.0
1683.01,14.93,1.70,24.6,45.0
1684.00,5.00,1.66,9.0,98.0
1685.00,8.41,0.85,36.6,77.0
1686.00,5.14,1.24,32.5,110.0
1687.00,5.58,0.58,40.6,88.0
1688.00,10.74,0.72,19.1,150.0
1689.00,7.53,0.71,25.7,113.0
1690.00,5.31,0.06,8.9,122.0
1690.01,16.64,0.52,16.7,33.0
1692.00,3.78,1.04,15.8,89.0
1693.00,5.71,1.63,7.7,128.0
1694.00,4.49,0.32,46.1,127.0
1695.01,14.48,1.75,66.9,41.0
1695.02,10.83,1.54,87.6,80.0
1695.03,12.38,0.49,10.2,108.0
1696.00,4.96,1.66,1.1,61.0
1698.00,4.89,-0.02,8.7,127.0
1698.01,15.47,1.73,17.7,30.0
1699.00,5.10,1.56,18.1,113.0
1699.01,12.80,1.56,22.9,184.0
1701.00,5.05,0.08,11.0,72.0
1702.00,8.96,0.62,3.4,107.0
1705.00,7.74,0.62,40.8,77.0
1706.12,12.80,1.56,47.1,22.0
1707.00,5.46,0.08,22.2,110.0
1707.20,10.08,1.14,21.7,150.0
1707.30,9.10,1.25,52.9,97.0
1708.00,3.58,0.11,45.5,66.0
1709.00,4.79,1.71,17.6,161.0
1710.00,6.80,0.49,7.6,137.0
1711.00,4.64,1.60,9.7,161.0
1712.00,9.09,0.66,45.4,150.0
1713.00,7.65,0.61,14.5,150.0
1714.00,12.10,1.44,43.6,163.0
1715.00,9.17,1.40,60.4,74.0
1716.00,2.70,1.62,16.0,76.0
1718.00,3.53,0.34,57.9,59.0
1722.00,6.68,0.99,81.7,97.0
1722.00,7.15,0.99,81.7,97.0
1725.00,5.28,0.96,15.5,117.0
1726.00,5.70,0.35,27.6,74.0
1727.00,5.25,0.01,13.0,127.0
1728.00,5.13,1.08,21.1,82.0
1729.01,11.92,1.28,7.8,81.0
1729.02,10.53,1.59,61.9,38.0
1729.03,10.84,1.41,24.9,85.0
1730.00,5.10,1.52,1.3,72.0
1730.10,7.15,0.51,9.7,150.0
1730.21,13.34,1.50,42.2,33.0
1731.00,10.03,1.07,28.5,73.0
1732.00,3.98,0.79,3.0,127.0
1733.00,5.19,1.23,5.2,60.0
1734.00,8.72,0.76,17.1,84.0
1735.00,5.03,0.90,22.5,72.0
1735.01,15.07,1.37,7.0,41.0
1738.00,9.16,0.82,16.7,100.0
1739.00,6.05,0.42,36.9,106.0
1741.00,4.64,-0.02,12.2,73.0
1743.00,5.30,0.10,12.6,72.0
1745.00,5.38,1.53,10.7,149.0
1747.00,5.64,1.11,9.3,95.0
1748.00,5.78,0.42,35.5,137.0
1749.00,6.54,0.46,29.5,37.0
1750.01,11.03,1.17,7.0,120.0
1751.01,11.20,1.49,51.7,24.0
1752.00,7.37,0.92,13.8,150.0
1753.00,2.90,-0.09,22.2,86.0
1753.10,10.79,1.59,53.0,150.0
1754.00,5.22,0.39,30.8,72.0
1755.00,9.82,1.56,265.4,26.0
1756.00,10.18,0.92,24.5,150.0
1757.00,5.36,0.45,44.7,98.0
1758.00,7.74,0.94,48.4,64.0
1760.00,4.18,0.32,59.7,59.0
1762.00,4.32,1.43,17.7,58.0
1763.00,5.25,0.22,10.5,63.0
1764.00,5.05,0.11,7.8,72.0
1766.00,7.03,0.48,23.6,106.0
1766.01,13.56,1.71,90.0,10.0
1767.00,5.01,1.11,16.2,84.0
1767.02,11.48,1.42,91.6,27.0
1769.00,5.10,1.06,5.7,199.0
1770.00,4.54,1.28,26.6,96.0
1771.00,8.51,0.51,7.8,150.0
1772.00,6.05,0.47,30.3,106.0
1773.00,6.74,0.70,56.5,150.0
1774.00,10.48,1.48,84.9,25.0
1774.01,10.49,1.55,70.5,51.0
1774.02,8.98,1.10,46.2,60.0
1777.00,5.82,1.18,0.8,84.0
1778.00,3.25,1.51,17.6,101.0
1778.10,10.81,1.07,18.3,150.0
1778.11,11.02,1.38,40.4,61.0
1779.00,4.65,0.93,20.4,149.0
1780.00,5.25,0.22,13.7,72.0
1780.01,11.09,0.77,5.2,165.0
1783.01,16.46,1.60,40.2,10.0
1784.00,5.25,0.05,12.2,72.0
1785.00,1.58,0.03,74.7,25.0
1785.00,1.98,0.03,74.7,25.0
1785.01,13.08,1.47,28.1,33.0
1785.02,11.93,1.47,68.7,26.0
1787.00,8.87,0.70,25.8,150.0
1788.00,4.06,1.54,13.4,107.0
1789.00,4.45,0.51,48.7,106.0
1790.00,11.09,0.65,18.9,87.0
1791.00,5.83,0.44,22.0,110.0
1791.01,14.16,0.11,10.7,105.0
1791.02,13.67,1.10,14.8,30.0
1792.00,7.16,0.57,39.1,150.0
1794.00,10.47,0.61,34.5,150.0
1794.11,5.91,0.60,26.6,98.0
1795.00,10.18,0.88,5.2,55.0
1795.01,13.10,1.33,18.2,28.0
1796.00,13.85,1.48,39.9,212.0
1797.00,11.26,1.33,11.8,150.0
1798.00,5.13,0.44,27.4,66.0
1800.00,4.90,0.40,19.2,87.0
1801.01,11.81,1.47,28.0,21.0
1802.00,4.94,1.40,10.2,149.0
1802.01,13.09,1.69,80.3,30.0
1803.00,5.05,1.56,2.8,72.0
1803.01,9.61,1.44,70.5,41.0
1804.00,5.56,1.01,9.2,98.0
1805.00,0.38,0.42,286.7,21.0
1805.01,9.73,1.19,46.5,167.0
1806.00,4.99,0.08,18.9,84.0
1807.00,9.25,0.82,19.0,106.0
1808.00,6.02,-0.04,12.6,137.0
1809.00,7.20,0.96,73.8,43.0
1812.00,4.94,1.56,3.5,127.0
1813.00,13.04,0.24,112.4,27.0
1814.00,8.25,0.48,20.4,150.0
1815.00,5.56,1.64,5.7,141.0
1816.00,5.27,0.00,16.1,72.0
1817.00,3.93,1.02,22.6,20.0
1818.00,8.66,0.64,25.2,163.0
1819.00,7.09,0.67,32.7,88.0
1822.00,5.31,1.54,5.2,72.0
1823.00,6.77,0.54,24.4,72.0
1824.00,3.57,0.93,24.6,77.0
1825.00,8.64,0.34,12.7,150.0
1826.00,1.14,1.00,97.6,42.0
1827.00,11.20,1.59,164.7,44.0
1827.10,7.68,0.60,32.8,150.0
1828.00,4.59,1.63,16.3,137.0
1829.00,6.56,0.73,65.6,59.0
1830.00,3.96,0.18,24.1,173.0
1830.01,10.20,1.37,36.2,117.0
1831.00,5.06,0.78,54.2,110.0
1833.00,4.88,1.45,15.3,65.0
1834.00,5.17,1.10,24.0,97.0
1835.00,8.89,1.10,25.8,91.0
1836.00,5.30,0.01,20.4,84.0
1837.00,5.14,1.60,14.0,65.0
1838.00,5.04,0.33,28.6,127.0
1839.00,6.64,0.52,27.0,106.0
1840.00,3.61,1.73,4.0,132.0
1840.01,12.06,1.41,14.4,120.0
1841.00,5.37,0.60,64.0,94.0
1844.00,11.42,1.51,66.8,23.0
1845.00,11.50,1.41,46.4,69.0
1845.01,11.87,1.12,15.4,120.0
1847.00,3.95,1.04,16.3,186.0
1848.00,7.93,0.54,29.1,150.0
1849.00,5.33,0.76,33.7,137.0
1850.00,7.54,0.65,27.0,150.0
1850.01,16.69,1.12,54.7,7.0
1850.10,7.39,0.76,12.4,150.0
1851.00,3.34,1.24,1.0,127.0
1852.00,4.71,1.06,4.6,137.0
1853.00,8.10,0.75,24.2,150.0
1855.00,5.14,-0.12,10.1,98.0
1855.01,14.75,1.82,62.7,31.0
1855.10,9.76,0.80,13.2,150.0
1855.11,13.26,1.68,114.0,33.0
1856.00,5.72,0.57,60.2,31.0
1856.00,5.17,0.60,60.2,31.0
1857.00,8.34,0.61,39.5,20.0
1859.00,7.50,0.68,42.3,163.0
1859.01,15.08,0.08,28.4,38.0
1861.00,5.41,1.42,20.9,120.0
1863.00,10.06,1.22,46.5,150.0
1864.00,5.06,0.43,69.7,77.0
1864.00,5.01,0.44,69.7,77.0
1867.00,3.73,1.04,29.1,149.0
1867.01,16.07,0.26,29.5,43.0
1868.00,5.42,-0.06,18.8,76.0
1869.00,7.78,0.95,35.8,44.0
1869.10,4.49,-0.19,11.2,150.0
1871.00,5.43,1.16,33.4,161.0
1872.00,7.44,0.73,46.2,64.0
1873.00,5.35,-0.04,7.6,72.0
1875.01,12.04,1.63,124.2,30.0
1877.00,7.54,0.69,13.7,150.0
1877.10,9.36,0.84,27.3,150.0
1877.20,6.35,0.50,11.1,47.0
1879.00,7.99,0.63,28.9,150.0
1880.00,11.15,0.74,9.8,97.0
1881.00,4.20,0.72,20.4,101.0
1882.00,14.09,0.66,141.2,84.0
1883.00,5.63,1.30,7.9,149.0
1883.01,8.06,1.04,52.9,70.0
1884.00,5.29,0.92,25.9,93.0
1885.00,8.17,0.82,36.6,150.0
1886.00,7.69,0.81,29.9,92.0
1887.00,4.79,0.15,24.2,137.0
1888.00,8.42,1.05,54.4,78.0
1888.10,3.47,-0.18,2.4,150.0
1889.00,7.00,0.71,54.2,39.0
1891.00,6.49,0.62,34.8,148.0
1892.00,10.30,1.28,56.0,163.0
1893.00,4.93,1.21,10.0,70.0
1894.00,5.17,1.27,7.7,127.0
1896.00,10.07,0.50,0.8,122.0
1897.00,7.95,0.74,41.4,97.0
1898.00,7.00,0.98,18.9,150.0
1899.00,4.61,0.08,19.2,127.0
1899.01,11.35,1.49,28.8,50.0
1900.00,8.50,0.56,13.6,150.0
1903.00,5.24,0.39,36.4,127.0
1903.01,17.93,1.68,12.9,7.0
1904.00,4.68,1.49,8.1,73.0
1905.00,9.66,1.32,58.2,110.0
1906.00,8.28,0.60,24.7,150.0
1906.10,10.16,1.10,12.6,178.0
1906.11,15.12,1.79,28.5,39.0
1908.00,4.39,1.25,21.8,76.0
1909.00,8.20,0.62,29.7,65.0
1911.00,9.83,1.27,19.3,208.0
1912.00,4.94,1.12,14.4,84.0
1913.00,6.33,0.62,4.4,208.0
1915.00,9.29,0.79,8.1,80.0
1916.00,7.78,0.85,32.9,38.0
1916.01,15.56,0.06,24.0,30.0
1916.02,10.14,1.35,54.5,120.0
1917.00,7.53,0.66,22.3,150.0
1917.10,5.12,0.01,21.9,84.0
1918.00,6.57,0.58,46.0,107.0
1919.00,5.31,1.91,22.0,108.0
1922.01,10.25,1.22,35.4,60.0
1923.00,5.30,0.63,32.8,73.0
1924.00,5.53,1.34,18.8,149.0
1925.00,10.03,1.33,35.4,150.0
1926.00,5.32,1.04,21.2,72.0
1928.00,6.81,0.60,51.3,97.0
1930.00,2.81,0.43,36.3,90.0
1933.00,6.61,0.53,22.0,72.0
1935.00,6.73,0.96,24.3,150.0
1936.00,5.73,0.81,26.5,85.0
1937.00,6.81,0.69,43.8,70.0
1938.00,9.62,0.60,9.9,110.0
1939.00,5.54,0.49,48.1,56.0
1940.01,1.78,-0.22,15.3,117.0
1941.00,5.44,0.54,41.7,25.0
1942.00,12.83,1.77,146.3,31.0
1943.00,4.72,0.95,30.2,73.0
1944.00,5.36,0.89,10.6,161.0
1946.00,4.76,0.43,53.2,84.0
1947.00,8.78,0.91,19.1,150.0
1948.00,11.77,1.50,43.6,123.0
1951.00,7.93,0.90,41.4,193.0
1952.00,7.50,0.75,19.7,81.0
1953.00,4.75,0.18,2.7,137.0
1953.10,12.10,1.60,169.9,150.0
1954.00,9.38,1.42,48.4,45.0
1954.01,14.34,1.57,17.0,29.0
1955.00,8.50,0.60,0.3,93.0
1956.00,4.99,1.07,26.4,137.0
1957.00,8.38,0.84,14.8,85.0
1958.00,8.19,0.62,26.2,150.0
1960.00,9.39,0.82,41.4,150.0
1961.00,6.75,0.61,24.0,150.0
1962.00,6.35,1.06,2.9,120.0
1962.01,13.28,1.46,19.8,17.0
1963.00,4.44,1.17,7.7,173.0
1964.00,5.51,1.61,3.2,186.0
1965.10,6.70,0.28,31.9,150.0
1965.12,10.10,1.53,112.5,56.0
1966.00,7.13,1.56,11.9,94.0
1967.00,3.52,1.48,12.7,45.0
1968.00,10.29,1.10,4.3,150.0
1969.00,9.76,0.48,11.0,116.0
1973.00,8.83,1.14,46.6,63.0
1974.00,7.73,0.39,2.8,197.0
1974.10,7.69,0.58,6.8,137.0
1974.12,14.98,1.65,30.1,40.0
1975.10,7.45,0.86,6.3,150.0
1976.01,13.12,1.52,25.2,25.0
1977.00,5.98,0.76,79.9,73.0
1978.00,5.27,0.08,29.8,137.0
1978.00,5.16,0.09,29.8,137.0
1979.00,5.14,0.47,64.1,99.0
1980.00,6.40,0.98,12.1,104.0
1980.01,9.75,1.71,15.8,120.0
1981.00,4.45,0.22,55.2,127.0
1982.00,9.85,1.26,35.8,178.0
1984.00,4.25,1.55,19.4,89.0
1984.01,15.67,2.09,79.8,44.0
1986.00,5.51,0.11,28.4,84.0
1987.00,8.91,0.88,26.7,54.0
1989.00,5.07,1.15,11.1,127.0
1990.00,4.83,1.45,27.1,127.0
1991.00,9.54,1.18,44.1,80.0
1992.00,5.95,0.17,10.1,72.0
1994.00,7.17,0.71,59.1,150.0
1996.00,10.04,1.07,40.9,122.0
1996.10,8.66,0.61,23.3,150.0
1996.11,9.75,1.06,38.0,89.0
1997.00,7.05,0.60,37.6,82.0
1998.00,5.61,0.46,55.4,59.0
1998.01,10.37,1.07,19.1,120.0
1999.00,6.14,0.41,35.6,125.0
1999.01,12.92,1.57,81.8,108.0
2000.00,5.13,0.94,16.2,96.0
2001.00,6.32,0.62,47.1,86.0
2002.00,8.67,1.26,3.5,150.0
2003.00,3.90,-0.02,22.7,68.0
2003.01,15.82,-0.40,5.4,94.0
2004.00,5.28,1.48,28.0,161.0
2006.00,4.07,0.39,55.5,113.0
2006.01,10.87,1.42,36.6,117.0
2007.00,5.50,1.60,29.2,141.0
2007.01,10.31,1.39,23.2,120.0
2008.00,5.59,0.22,25.4,75.0
2009.00,7.81,0.67,53.2,150.0
2010.00,3.36,0.84,6.5,82.0
2010.10,10.75,1.55,57.6,83.0
2011.01,13.08,1.48,45.2,32.0
2012.01,12.73,1.22,18.2,120.0
2013.00,5.29,0.01,8.0,161.0
2014.00,7.31,1.16,8.8,150.0
2015.00,4.35,1.16,33.6,137.0
2016.01,14.81,2.06,275.8,30.0
2017.00,9.43,1.08,12.0,150.0
2017.01,15.73,0.29,44.9,38.0
2018.00,7.43,0.63,16.9,98.0
2019.00,11.92,0.92,18.2,36.0
2020.00,3.77,1.13,39.8,127.0
2021.00,5.09,0.25,19.2,117.0
2023.01,12.41,1.06,30.9,120.0
2026.00,5.47,0.18,14.9,98.0
2028.01,11.67,1.57,77.6,45.0
2029.00,5.90,1.11,13.1,98.0
2031.00,6.24,0.36,32.2,89.0
2032.00,5.33,1.25,14.3,84.0
2033.00,5.42,-0.06,0.2,137.0
2034.00,9.50,0.77,13.6,150.0
2035.00,6.36,1.02,26.1,179.0
2036.00,10.34,1.11,27.0,150.0
2037.00,9.26,1.41,66.7,39.0
2039.00,6.15,1.02,14.2,107.0
2040.00,8.78,0.92,38.2,106.0
2041.00,6.19,0.27,14.4,150.0
2042.00,6.38,0.79,83.4,101.0
2043.00,10.80,1.21,53.0,150.0
2044.01,12.73,1.62,73.4,96.0
2045.00,7.17,0.76,39.0,150.0
2047.10,5.64,0.62,69.2,15.0
2048.00,5.99,0.52,49.7,54.0
2050.00,4.60,1.17,13.6,94.0
2051.00,5.01,1.33,6.8,127.0
2051.01,14.68,1.68,40.8,32.0
2051.02,8.70,0.33,5.7,8.0
2051.03,7.80,0.22,4.4,4.0
2052.00,7.56,0.62,25.0,154.0
2053.00,4.16,0.00,30.7,64.0
2055.01,8.10,0.21,5.6,10.0
2055.10,6.77,0.65,41.2,150.0
2056.00,4.86,1.00,14.9,213.0
2057.00,8.04,0.68,11.9,81.0
2057.11,15.05,1.93,99.8,34.0
2058.00,9.80,0.66,28.3,150.0
2059.00,4.44,1.21,34.3,115.0
2060.00,5.27,-0.04,33.4,106.0
2062.00,8.96,0.74,25.3,150.0
2062.01,7.73,0.22,5.8,10.0
2062.02,6.66,0.25,7.7,4.0
2062.03,9.32,1.08,62.9,120.0
2062.04,9.66,1.12,37.8,98.0
2063.00,5.37,0.99,14.7,84.0
2064.00,4.14,0.11,16.3,149.0
2065.00,7.64,0.83,54.7,40.0
2066.00,7.24,0.60,8.0,64.0
2067.00,5.05,0.73,62.1,84.0
2067.01,17.68,2.02,71.1,10.0
2067.02,9.87,1.40,40.1,94.0
2068.00,4.98,1.42,24.1,67.0
2069.00,6.33,1.57,9.5,106.0
2071.00,5.47,1.02,18.7,137.0
2072.00,4.89,0.90,19.4,137.0
2074.00,9.67,0.44,8.8,21.0
2075.00,3.97,0.94,15.7,149.0
2076.00,14.11,1.63,39.2,96.0
2076.10,11.98,1.52,94.2,125.0
2076.11,13.64,1.60,32.4,43.0
