Star ID,V (mag),B-V color (mag),Parallax (milliarcsec),Parallax Uncertainty (milliarcsec)
132.00,10.86,1.03,2.5,249.0
133.00,9.25,0.67,18.2,257.0
133.01,10.93,1.34,42.3,120.0
134.00,2.04,1.02,55.5,93.0
135.02,12.84,1.00,19.4,104.0
137.00,4.36,0.00,31.0,101.0
138.00,4.76,1.01,21.3,186.0
138.01,13.29,1.00,9.5,46.0
139.00,5.90,1.16,8.2,161.0
140.00,10.78,1.44,56.4,163.0
141.00,7.79,0.67,39.8,163.0
142.00,5.42,0.04,11.3,98.0
143.00,5.24,0.33,46.3,137.0
144.00,8.01,1.00,43.2,150.0
145.00,6.54,0.65,54.1,117.0
145.01,16.70,1.61,14.7,40.0
146.00,8.48,1.17,80.3,106.0
146.01,5.80,0.64,48.1,186.0
147.00,5.50,0.98,24.0,117.0
147.01,12.31,1.19,9.9,236.0
148.00,5.38,1.65,14.6,141.0
149.00,8.64,0.64,33.1,150.0
150.01,15.78,1.63,28.4,29.0
151.00,4.06,1.12,35.5,96.0
152.20,6.54,0.50,21.5,111.0
152.21,12.56,1.25,4.2,234.0
152.22,12.13,0.43,2.4,239.0
153.00,7.85,0.54,41.2,110.0
154.00,7.74,0.51,38.4,150.0
155.00,3.44,0.57,171.7,18.0
156.00,5.75,0.88,136.1,20.0
156.02,10.70,0.58,7.7,235.0
157.00,7.76,0.90,16.7,105.0
157.01,12.14,0.70,19.4,234.0
158.00,4.43,1.50,17.6,94.0
159.00,5.07,0.51,45.5,125.0
160.00,12.38,0.55,232.5,19.0
162.00,7.16,0.78,62.3,101.0
164.00,6.30,0.36,10.3,93.0
164.01,11.74,0.87,21.6,232.0
165.01,10.04,0.61,16.6,234.0
165.02,14.87,1.50,13.6,46.0
166.00,5.19,0.50,63.4,81.0
167.00,5.07,1.37,23.5,137.0
169.00,10.67,1.39,54.7,34.0
169.01,9.60,0.89,5.3,232.0
169.02,11.63,0.53,7.0,238.0
169.03,8.69,0.80,8.2,99.0
169.04,13.08,0.88,6.4,237.0
170.00,9.24,1.21,47.4,68.0
172.00,5.22,0.36,3.5,149.0
172.01,11.35,1.10,1.7,235.0
172.02,15.41,1.68,20.6,86.0
172.03,10.41,1.08,29.2,235.0
173.00,8.96,1.28,69.2,78.0
174.00,4.82,0.53,64.4,150.0
174.11,12.43,1.15,0.9,272.0
174.13,12.05,0.77,25.2,234.0
175.01,12.21,0.94,24.3,236.0
175.02,12.04,1.05,10.6,235.0
175.03,9.73,0.55,53.0,159.0
175.03,9.16,0.58,53.0,159.0
177.00,7.17,0.93,81.8,106.0
177.01,12.40,0.89,30.9,234.0
180.00,8.47,1.40,13.3,62.0
181.00,4.83,1.21,5.0,72.0
181.02,12.23,0.90,19.0,233.0
181.03,10.39,0.66,42.5,180.0
182.01,12.34,0.58,14.7,236.0
183.00,5.79,-0.02,12.9,162.0
183.10,7.38,0.65,38.2,78.0
183.11,12.74,1.03,18.3,235.0
183.12,12.19,0.60,3.7,234.0
184.00,9.10,1.03,43.4,61.0
184.01,11.89,1.48,18.1,234.0
185.00,2.47,-0.15,14.8,89.0
186.00,4.63,0.96,35.4,67.0
186.01,11.83,1.15,6.4,234.0
187.00,12.36,1.51,61.6,150.0
187.01,9.48,1.18,27.9,233.0
188.00,5.31,1.52,5.6,91.0
189.00,3.87,0.13,33.8,79.0
190.00,5.45,1.09,33.8,186.0
190.01,13.72,1.65,56.4,41.0
