time (years),flux (solar flux units)
2009.104,71.100
2009.107,71.200
2009.110,70.700
2009.112,67.600
2009.115,70.300
2009.118,69.700
2009.121,70.100
2009.123,70.100
2009.126,69.600
2009.129,69.500
2009.132,70.600
2009.134,69.800
2009.137,68.900
2009.140,69.200
2009.143,70.600
2009.145,70.300
2009.148,70.800
2009.151,71.000
2009.153,70.700
2009.156,69.900
2009.159,68.900
2009.162,70.600
2009.164,69.400
2009.167,69.200
2009.170,69.100
2009.173,69.700
2009.175,69.200
2009.178,69.100
2009.181,69.100
2009.184,68.900
2009.186,68.100
2009.189,68.800
2009.192,68.900
2009.195,68.700
2009.197,68.200
2009.200,68.500
2009.203,68.400
2009.206,69.400
2009.208,68.800
2009.211,68.400
2009.214,69.100
2009.216,68.700
2009.219,70.100
2009.222,68.700
2009.225,68.000
2009.227,69.100
2009.230,68.500
2009.233,69.100
2009.236,71.600
2009.238,70.600
2009.241,70.900
2009.244,70.900
2009.247,71.200
2009.249,70.800
2009.252,70.600
2009.255,70.400
2009.258,70.100
2009.260,70.400
2009.263,68.800
2009.266,70.200
2009.269,70.000
2009.271,70.100
2009.274,69.400
2009.277,69.300
2009.280,69.300
2009.282,68.400
2009.285,69.400
2009.288,69.400
2009.290,69.900
2009.293,69.800
2009.296,69.900
2009.299,70.100
2009.301,69.800
2009.304,71.000
2009.307,71.100
2009.310,70.600
2009.312,69.700
2009.315,69.400
2009.318,69.200
2009.321,67.700
2009.323,68.800
2009.326,69.500
2009.329,69.400
2009.332,68.500
2009.334,68.300
2009.337,68.600
2009.340,68.000
2009.343,68.000
2009.345,68.700
2009.348,69.500
2009.351,70.800
2009.353,72.300
2009.356,71.800
2009.359,71.900
2009.362,73.900
2009.364,73.800
2009.367,73.900
2009.370,73.700
2009.373,74.200
2009.375,74.000
2009.378,72.900
2009.381,72.300
2009.384,71.500
2009.386,71.800
2009.389,72.100
2009.392,70.400
2009.395,69.200
2009.397,68.900
2009.400,68.100
2009.403,66.700
2009.406,67.700
2009.408,68.200
2009.411,68.500
2009.414,68.500
2009.416,72.500
2009.419,71.900
2009.422,72.500
2009.425,71.000
2009.427,70.100
2009.430,69.000
2009.433,68.900
2009.436,69.000
2009.438,69.100
2009.441,69.200
2009.444,69.300
2009.447,69.000
2009.449,68.200
2009.452,68.100
2009.455,67.400
2009.458,68.300
2009.460,67.800
2009.463,67.700
2009.466,67.000
2009.469,66.700
2009.471,67.000
2009.474,68.000
2009.477,67.900
2009.480,66.800
2009.482,68.000
2009.485,66.800
2009.488,67.000
2009.490,67.000
2009.493,68.500
2009.496,68.200
2009.499,67.500
2009.501,66.500
2009.504,67.300
2009.507,71.000
2009.510,71.600
2009.512,68.900
2009.515,71.300
2009.518,70.800
2009.521,69.100
2009.523,67.800
2009.526,68.200
2009.529,68.000
2009.532,67.200
2009.534,66.600
2009.537,66.500
2009.540,66.700
2009.543,66.200
2009.545,67.000
2009.548,67.600
2009.551,68.200
2009.553,67.700
2009.556,67.800
2009.559,67.800
2009.562,68.300
2009.564,69.100
2009.567,67.600
2009.570,68.400
2009.573,68.700
2009.575,68.300
2009.578,68.000
2009.581,68.700
2009.584,68.100
2009.586,68.100
2009.589,67.400
2009.592,65.800
2009.595,66.200
2009.597,66.800
2009.600,67.800
2009.603,67.000
2009.606,67.200
2009.608,67.100
2009.611,66.600
2009.614,66.500
2009.616,67.200
2009.619,67.600
2009.622,68.100
2009.625,68.800
2009.627,68.100
2009.630,67.400
2009.633,67.100
2009.636,67.600
2009.638,66.400
2009.641,66.600
2009.644,67.300
2009.647,67.600
2009.649,67.100
2009.652,67.300
2009.655,67.700
2009.658,67.900
2009.660,68.000
2009.663,67.200
2009.666,68.300
2009.669,69.100
2009.671,68.200
2009.674,68.600
2009.677,68.400
2009.680,68.500
2009.682,69.200
2009.685,68.800
2009.688,68.900
2009.690,69.200
2009.693,69.300
2009.696,69.300
2009.699,69.000
2009.701,69.100
2009.704,69.000
2009.707,69.200
2009.710,68.800
2009.712,69.100
2009.715,69.000
2009.718,70.500
2009.721,71.300
2009.723,71.900
2009.726,74.700
2009.729,76.100
2009.732,74.600
2009.734,72.400
2009.737,71.800
2009.740,72.300
2009.743,73.200
2009.745,72.300
2009.748,72.000
2009.751,72.000
2009.753,71.600
2009.756,71.600
2009.759,71.100
2009.762,69.900
2009.764,68.900
2009.767,68.500
2009.770,68.800
2009.773,69.200
2009.775,70.000
2009.778,70.400
2009.781,70.100
2009.784,69.800
2009.786,70.900
2009.789,70.400
2009.792,69.600
2009.795,70.700
2009.797,70.100
2009.800,70.900
2009.803,71.000
2009.806,71.300
2009.808,71.600
2009.811,72.900
2009.814,75.600
2009.816,75.500
2009.819,81.300
2009.822,81.500
2009.825,79.900
2009.827,76.700
2009.830,75.200
2009.833,75.100
2009.836,72.300
2009.838,71.400
2009.841,71.500
2009.844,71.400
2009.847,70.500
2009.849,70.900
2009.852,70.600
2009.855,70.900
2009.858,72.100
2009.860,72.800
2009.863,72.400
2009.866,73.200
2009.869,74.100
2009.871,74.800
2009.874,75.100
2009.877,76.200
2009.880,77.200
2009.882,76.100
2009.885,76.700
2009.888,76.200
2009.890,75.800
2009.893,76.300
2009.896,75.700
2009.899,74.700
2009.901,74.200
2009.904,74.700
2009.907,73.700
2009.910,72.900
2009.912,72.100
2009.915,72.400
2009.918,72.200
2009.921,71.400
2009.923,71.600
2009.926,71.500
2009.929,71.700
2009.932,71.900
2009.934,71.100
2009.937,72.200
2009.940,73.000
2009.943,73.900
2009.945,72.100
2009.948,74.500
2009.951,75.500
2009.953,78.600
2009.956,81.600
2009.959,83.200
2009.962,86.900
2009.964,84.200
2009.967,81.700
2009.970,83.700
2009.973,82.700
2009.975,82.200
2009.978,78.400
2009.981,77.100
2009.984,76.000
2009.986,75.900
2009.989,76.800
2009.992,75.800
2009.995,75.100
2009.997,76.900
2010.000,79.900
2010.003,75.200
2010.006,78.000
2010.008,76.400
2010.011,73.000
2010.014,76.800
2010.016,77.300
2010.019,78.100
2010.022,77.400
2010.025,81.700
2010.027,84.400
2010.030,89.200
2010.033,93.300
2010.036,90.500
2010.038,89.900
2010.041,85.300
2010.044,84.200
2010.047,82.600
2010.049,81.500
2010.052,84.200
2010.055,81.700
2010.058,82.600
2010.060,82.400
2010.063,84.600
2010.066,84.600
2010.069,81.200
2010.071,79.800
2010.074,77.800
2010.077,76.300
2010.080,73.300
2010.082,75.000
2010.085,75.300
2010.088,75.300
2010.090,75.200
2010.093,74.400
2010.096,73.900
2010.099,77.800
2010.101,87.500
2010.104,90.300
2010.107,93.700
2010.110,91.400
2010.112,91.300
2010.115,94.200
2010.118,95.500
2010.121,94.100
2010.123,89.400
2010.126,87.600
2010.129,86.800
2010.132,86.900
2010.134,85.000
2010.137,83.700
2010.140,83.800
2010.143,83.500
2010.145,83.700
2010.148,84.200
2010.151,82.600
2010.153,82.700
2010.156,80.500
2010.159,78.600
2010.162,78.100
2010.164,77.900
2010.167,79.400
2010.170,80.400
2010.173,81.300
2010.175,79.500
2010.178,78.300
2010.181,76.600
2010.184,76.300
2010.186,77.900
2010.189,80.300
2010.192,84.200
2010.195,89.600
2010.197,91.800
2010.200,89.400
2010.203,86.400
2010.206,85.200
2010.208,86.700
2010.211,85.800
2010.214,84.400
2010.216,83.500
2010.219,84.800
2010.222,82.500
2010.225,83.900
2010.227,84.400
2010.230,87.600
2010.233,85.900
2010.236,88.100
2010.238,86.000
2010.241,83.200
2010.244,82.800
2010.247,81.000
2010.249,79.200
2010.252,76.200
2010.255,77.400
2010.258,78.700
2010.260,79.300
2010.263,77.500
2010.266,76.300
2010.269,75.700
2010.271,76.000
2010.274,75.000
2010.277,74.600
2010.280,74.500
2010.282,74.900
2010.285,75.100
2010.288,74.500
2010.290,74.800
2010.293,73.900
2010.296,74.700
2010.299,75.400
2010.301,75.600
2010.304,76.100
2010.307,76.100
2010.310,75.000
2010.312,74.200
2010.315,75.400
2010.318,76.000
2010.321,74.800
2010.323,76.100
2010.326,76.200
2010.329,78.600
2010.332,77.800
2010.334,79.500
2010.337,80.300
2010.340,81.700
2010.343,83.200
2010.345,79.100
2010.348,79.000
2010.351,78.800
2010.353,75.400
2010.356,73.600
2010.359,73.500
2010.362,71.200
2010.364,69.400
2010.367,69.700
2010.370,70.300
2010.373,68.500
2010.375,69.200
2010.378,68.700
2010.381,68.600
2010.384,68.800
2010.386,70.900
2010.389,72.500
2010.392,74.500
2010.395,72.600
2010.397,73.200
2010.400,72.400
2010.403,72.700
2010.406,73.200
2010.408,73.700
2010.411,73.000
2010.414,72.000
2010.416,72.700
2010.419,74.000
2010.422,74.600
2010.425,71.900
2010.427,70.300
2010.430,68.000
2010.433,68.500
2010.436,71.900
2010.438,71.500
2010.441,72.900
2010.444,74.600
2010.447,76.200
2010.449,76.300
2010.452,72.800
2010.455,70.100
2010.458,71.600
2010.460,70.400
2010.463,70.500
2010.466,68.900
2010.469,70.000
2010.471,72.000
2010.474,73.300
2010.477,74.000
2010.480,74.400
2010.482,74.500
2010.485,74.500
2010.488,72.900
2010.490,73.900
2010.493,73.600
2010.496,73.800
2010.499,73.000
2010.501,73.400
2010.504,72.400
2010.507,71.600
2010.510,72.700
2010.512,72.700
2010.515,74.100
2010.518,75.600
2010.521,80.000
2010.523,79.900
2010.526,82.600
2010.529,80.000
2010.532,78.500
2010.534,77.700
2010.537,75.900
2010.540,76.600
2010.543,78.700
2010.545,76.900
2010.548,79.800
2010.551,87.000
2010.553,89.100
2010.556,87.700
2010.559,86.400
2010.562,85.200
2010.564,85.200
2010.567,84.400
2010.570,82.600
2010.573,85.300
2010.575,84.600
2010.578,83.200
2010.581,81.500
2010.584,79.700
2010.586,79.100
2010.589,80.600
2010.592,80.800
2010.595,82.700
2010.597,82.000
2010.600,90.500
2010.603,82.600
2010.606,84.100
2010.608,83.500
2010.611,85.800
2010.614,83.800
2010.616,83.700
2010.619,85.200
2010.622,85.600
2010.625,84.700
2010.627,81.100
2010.630,79.800
2010.633,77.900
2010.636,77.100
2010.638,75.500
2010.641,74.600
2010.644,74.900
2010.647,73.600
2010.649,73.500
2010.652,73.400
2010.655,73.200
2010.658,71.900
2010.660,73.900
2010.663,75.000
2010.666,74.600
2010.669,76.300
2010.671,77.000
2010.674,77.200
2010.677,82.200
2010.680,82.100
2010.682,79.700
2010.685,76.200
2010.688,74.500
2010.690,73.700
2010.693,75.300
2010.696,78.000
2010.699,78.300
2010.701,79.500
2010.704,80.700
2010.707,81.200
2010.710,82.500
2010.712,82.200
2010.715,82.100
2010.718,81.200
2010.721,82.600
2010.723,84.600
2010.726,84.800
2010.729,84.300
2010.732,82.600
2010.734,82.900
2010.737,83.900
2010.740,83.000
2010.743,83.200
2010.745,90.700
2010.748,89.900
2010.751,86.700
2010.753,85.000
2010.756,80.000
2010.759,76.100
2010.762,75.400
2010.764,74.200
2010.767,75.100
2010.770,74.900
2010.773,76.400
2010.775,75.900
2010.778,75.300
2010.781,75.200
2010.784,78.100
2010.786,80.400
2010.789,82.200
2010.792,86.900
2010.795,83.600
2010.797,90.600
2010.800,86.600
2010.803,83.900
2010.806,83.500
2010.808,82.200
2010.811,84.300
2010.814,82.100
2010.816,86.200
2010.819,86.100
2010.822,87.600
2010.825,86.400
2010.827,85.700
2010.830,84.800
2010.833,81.200
2010.836,79.100
2010.838,78.900
2010.841,78.500
2010.844,79.200
2010.847,83.000
2010.849,88.600
2010.852,85.000
2010.855,83.700
2010.858,84.100
2010.860,85.600
2010.863,84.500
2010.866,85.400
2010.869,85.400
2010.871,86.400
2010.874,90.800
2010.877,91.800
2010.880,91.200
2010.882,86.500
2010.885,84.000
2010.888,79.800
2010.890,77.600
2010.893,74.800
2010.896,75.300
2010.899,75.800
2010.901,77.900
2010.904,76.200
2010.907,76.500
2010.910,80.100
2010.912,82.500
2010.915,86.400
2010.918,86.500
2010.921,86.500
2010.923,86.800
2010.926,87.400
2010.929,87.900
2010.932,88.500
2010.934,87.100
2010.937,87.200
2010.940,86.800
2010.943,88.400
2010.945,86.900
2010.948,89.400
2010.951,87.700
2010.953,90.300
2010.956,86.900
2010.959,84.100
2010.962,81.600
2010.964,80.500
2010.967,80.900
2010.970,77.900
2010.973,77.900
2010.975,77.700
2010.978,80.100
2010.981,78.600
2010.984,79.400
2010.986,80.500
2010.989,80.100
2010.992,80.700
2010.995,82.600
2010.997,82.900
2011.000,90.900
2011.006,91.100
2011.008,92.100
2011.011,90.600
2011.014,87.700
2011.016,86.800
2011.019,86.400
2011.022,84.800
2011.025,82.700
2011.027,83.300
2011.030,82.600
2011.033,80.000
2011.036,79.500
2011.038,79.300
2011.041,80.200
2011.044,80.300
2011.047,81.800
2011.049,81.000
2011.052,80.800
2011.055,82.300
2011.058,87.500
2011.060,87.700
2011.063,84.300
2011.066,82.500
2011.069,80.500
2011.071,80.000
2011.074,80.500
2011.077,80.600
2011.080,81.400
2011.082,82.600
2011.085,81.300
2011.088,79.900
2011.090,79.200
2011.093,80.400
2011.096,82.100
2011.099,81.000
2011.101,80.200
2011.104,82.300
2011.107,89.700
2011.110,88.700
2011.112,91.400
2011.115,91.200
2011.118,95.600
2011.121,106.800
2011.123,112.600
2011.126,112.800
2011.129,114.100
2011.132,110.900
2011.134,124.800
2011.137,109.400
2011.140,104.600
2011.143,96.700
2011.145,90.900
2011.148,89.300
2011.151,88.900
2011.153,88.200
2011.156,90.200
2011.159,90.400
2011.162,95.800
2011.164,110.500
2011.167,113.400
2011.170,120.900
2011.173,126.800
2011.175,134.600
2011.178,142.500
2011.181,938.600
2011.184,166.700
2011.186,143.100
2011.189,131.300
2011.192,123.100
2011.195,120.700
2011.197,112.900
2011.200,107.400
2011.203,101.500
2011.206,104.900
2011.208,90.100
2011.211,87.600
2011.214,88.800
2011.216,92.000
2011.219,101.000
2011.222,99.800
2011.225,104.600
2011.227,107.600
2011.230,112.600
2011.233,114.500
2011.236,115.600
2011.238,118.500
2011.241,116.200
2011.244,117.600
2011.247,113.300
2011.249,108.900
2011.252,107.500
2011.255,114.000
2011.258,112.700
2011.260,109.200
2011.263,117.100
2011.266,112.300
2011.269,108.700
2011.271,105.000
2011.274,104.800
2011.277,105.800
2011.280,110.300
2011.282,117.800
2011.285,118.700
2011.288,129.400
2011.290,119.200
2011.293,114.400
2011.296,111.000
2011.299,110.900
2011.301,117.000
2011.304,113.000
2011.307,114.800
2011.310,119.100
2011.312,117.200
2011.315,112.100
2011.318,109.400
2011.321,107.900
2011.323,110.400
2011.326,109.600
2011.329,109.500
2011.332,106.100
2011.334,109.800
2011.337,107.000
2011.340,106.900
2011.343,104.900
2011.345,101.900
2011.348,102.200
2011.351,102.200
2011.353,103.700
2011.356,97.500
2011.359,94.100
2011.362,92.800
2011.364,91.500
2011.367,91.400
2011.370,94.500
2011.373,92.200
2011.375,91.500
2011.378,90.600
2011.381,84.400
2011.384,83.700
2011.386,83.600
2011.389,84.500
2011.392,84.100
2011.395,81.700
2011.397,80.300
2011.400,82.700
2011.403,89.900
2011.406,100.500
2011.408,110.800
2011.411,111.900
2011.414,112.000
2011.416,113.600
2011.419,111.600
2011.422,107.100
2011.425,102.800
2011.427,102.900
2011.430,100.200
2011.433,96.400
2011.436,90.200
2011.438,87.500
2011.441,86.700
2011.444,84.500
2011.447,84.600
2011.449,86.600
2011.452,99.300
2011.455,101.500
2011.458,103.300
2011.460,104.300
2011.463,99.200
2011.466,99.100
2011.469,96.400
2011.471,95.100
2011.474,92.900
2011.477,96.300
2011.480,96.200
2011.482,93.600
2011.485,90.100
2011.488,89.200
2011.490,86.900
2011.493,87.300
2011.496,89.200
2011.499,87.600
2011.501,85.600
2011.504,86.200
2011.507,85.000
2011.510,84.800
2011.512,84.600
2011.515,85.500
2011.518,85.800
2011.521,85.600
2011.523,90.700
2011.526,90.100
2011.529,91.700
2011.532,94.600
2011.534,94.100
2011.537,93.800
2011.540,93.800
2011.543,103.600
2011.545,102.000
2011.548,100.300
2011.551,100.100
2011.553,96.000
2011.556,92.400
2011.559,88.200
2011.562,86.200
2011.564,87.000
2011.567,93.500
2011.570,99.300
2011.573,107.300
2011.575,111.700
2011.578,112.700
2011.581,118.600
2011.584,124.900
2011.586,121.600
2011.589,119.900
2011.592,116.300
2011.595,109.400
2011.597,110.000
2011.600,105.400
2011.603,101.500
2011.606,97.500
2011.608,90.300
2011.611,84.200
2011.614,83.400
2011.616,83.100
2011.619,88.100
2011.622,90.400
2011.625,93.000
2011.627,97.500
2011.630,97.800
2011.633,98.200
2011.636,100.500
2011.638,100.900
2011.641,108.200
2011.644,103.700
2011.647,104.100
2011.649,104.200
2011.652,104.600
2011.655,103.800
2011.658,101.000
2011.660,101.200
2011.663,101.300
2011.666,109.000
2011.669,111.800
2011.671,115.400
2011.674,118.700
2011.677,119.400
2011.680,118.700
2011.682,111.500
2011.685,112.800
2011.688,110.100
2011.690,111.800
2011.693,116.200
2011.696,121.300
2011.699,123.900
2011.701,129.400
2011.704,142.600
2011.707,140.700
2011.710,143.100
2011.712,144.800
2011.715,150.100
2011.718,140.900
2011.721,144.300
2011.723,144.200
2011.726,150.800
2011.729,158.200
2011.732,190.400
2011.734,168.800
2011.737,148.200
2011.740,139.000
2011.743,133.400
2011.745,136.600
2011.748,138.100
2011.751,136.900
2011.753,130.900
2011.756,128.900
2011.759,130.300
2011.762,126.700
2011.764,123.900
2011.767,122.000
2011.770,118.400
2011.773,121.000
2011.775,126.400
2011.778,130.100
2011.781,134.100
2011.784,137.600
2011.786,136.100
2011.789,137.700
2011.792,151.000
2011.795,152.600
2011.797,146.800
2011.800,147.300
2011.803,159.100
2011.806,167.800
2011.808,164.100
2011.811,155.500
2011.814,145.300
2011.816,138.800
2011.819,132.200
2011.822,131.500
2011.825,133.900
2011.827,123.000
2011.830,126.700
2011.833,138.100
2011.836,138.600
2011.838,153.600
2011.841,160.400
2011.844,163.900
2011.847,171.900
2011.849,176.700
2011.852,182.100
2011.855,181.000
2011.858,180.200
2011.860,178.600
2011.863,173.900
2011.866,168.800
2011.869,155.300
2011.871,161.100
2011.874,148.300
2011.877,142.300
2011.880,147.700
2011.882,144.400
2011.885,139.600
2011.888,139.900
2011.890,141.100
2011.893,142.400
2011.896,140.000
2011.899,137.200
2011.901,135.200
2011.904,132.800
2011.907,135.200
2011.910,137.600
2011.912,140.600
2011.915,144.000
2011.918,152.200
2011.921,157.300
2011.923,164.100
2011.926,163.600
2011.929,158.100
2011.932,151.100
2011.934,148.900
2011.937,144.800
2011.940,143.500
2011.943,140.000
2011.945,134.300
2011.948,131.500
2011.951,133.100
2011.953,132.000
2011.956,124.200
2011.959,121.000
2011.962,119.600
2011.964,127.400
2011.967,128.200
2011.970,137.400
2011.973,144.500
2011.975,145.800
2011.978,138.200
2011.981,142.800
2011.984,144.300
2011.986,145.600
2011.989,140.300
2011.992,144.800
2011.995,147.100
2011.997,141.100
2012.000,132.900
2012.006,134.700
2012.008,134.600
2012.011,136.200
2012.014,141.300
2012.016,135.500
2012.019,140.500
2012.022,135.800
2012.025,142.300
2012.027,128.800
2012.030,120.100
2012.033,116.800
2012.036,124.100
2012.038,132.300
2012.041,133.500
2012.044,139.700
2012.047,139.000
2012.049,148.100
2012.052,157.000
2012.055,141.200
2012.058,141.600
2012.060,141.000
2012.063,144.300
2012.066,135.700
2012.069,126.400
2012.071,128.200
2012.074,141.700
2012.077,114.500
2012.080,109.800
2012.082,114.400
2012.085,116.500
2012.088,117.500
2012.090,118.000
2012.093,111.100
2012.096,107.000
2012.099,102.700
2012.101,112.000
2012.104,107.200
2012.107,97.200
2012.110,99.200
2012.112,110.800
2012.115,112.300
2012.118,110.400
2012.121,108.400
2012.123,107.400
2012.126,104.600
2012.129,103.200
2012.132,103.700
2012.134,104.100
2012.137,105.300
2012.140,111.100
2012.143,103.300
2012.145,104.200
2012.148,103.300
2012.151,108.900
2012.153,108.000
2012.156,107.000
2012.159,105.500
2012.162,103.300
2012.164,102.000
2012.167,103.400
2012.170,108.200
2012.173,116.400
2012.175,120.100
2012.178,131.600
2012.181,138.100
2012.184,135.700
2012.186,139.500
2012.189,145.500
2012.192,148.900
2012.195,131.200
2012.197,114.900
2012.200,140.700
2012.203,118.800
2012.206,110.600
2012.208,98.500
2012.211,102.400
2012.214,102.000
2012.216,101.800
2012.219,99.600
2012.222,99.900
2012.225,102.400
2012.227,104.800
2012.230,102.700
2012.233,101.300
2012.236,102.400
2012.238,105.600
2012.241,107.000
2012.244,111.500
2012.247,110.600
2012.249,110.100
2012.252,107.300
2012.255,105.900
2012.258,103.500
2012.260,102.100
2012.263,100.900
2012.266,97.400
2012.269,98.500
2012.271,93.300
2012.274,94.500
2012.277,93.300
2012.280,93.400
2012.282,95.300
2012.285,97.700
2012.288,98.100
2012.290,101.700
2012.293,107.900
2012.296,113.800
2012.299,121.500
2012.301,137.800
2012.304,141.700
2012.307,149.100
2012.310,147.900
2012.312,141.800
2012.315,133.600
2012.318,127.200
2012.321,119.200
2012.323,117.900
2012.326,121.100
2012.329,116.000
2012.332,114.100
2012.334,109.900
2012.337,115.500
2012.340,114.000
2012.343,114.000
2012.345,116.000
2012.348,117.300
2012.351,121.700
2012.353,122.800
2012.356,127.300
2012.359,130.700
2012.362,136.400
2012.364,129.500
2012.367,130.500
2012.370,130.000
2012.373,129.000
2012.375,130.900
2012.378,136.300
2012.381,132.200
2012.384,130.900
2012.386,130.800
2012.389,125.100
2012.392,121.300
2012.395,117.200
2012.397,115.500
2012.400,117.200
2012.403,110.000
2012.406,110.700
2012.408,110.300
2012.411,106.300
2012.414,111.000
2012.416,117.300
2012.419,128.600
2012.422,129.100
2012.425,129.400
2012.427,128.200
2012.430,138.700
2012.433,151.900
2012.436,128.200
2012.438,124.200
2012.441,128.300
2012.444,128.300
2012.447,133.900
2012.449,141.300
2012.452,142.800
2012.455,148.600
2012.458,144.900
2012.460,134.500
2012.463,124.000
2012.466,118.000
2012.469,109.900
2012.471,103.700
2012.474,97.700
2012.477,88.400
2012.480,84.000
2012.482,85.300
2012.485,88.600
2012.488,99.200
2012.490,106.300
2012.493,119.700
2012.496,117.400
2012.499,124.000
2012.501,133.400
2012.504,165.900
2012.507,145.800
2012.510,163.200
2012.512,164.600
2012.515,157.700
2012.518,158.400
2012.521,177.700
2012.523,173.800
2012.526,173.400
2012.529,161.700
2012.532,165.400
2012.534,147.200
2012.537,147.900
2012.540,140.500
2012.543,154.400
2012.545,127.500
2012.548,109.500
2012.551,100.000
2012.553,92.300
2012.556,89.900
2012.559,93.700
2012.562,96.700
2012.564,102.400
2012.567,105.400
2012.570,114.700
2012.573,123.300
2012.575,126.600
2012.578,131.400
2012.581,136.000
2012.584,139.800
2012.586,150.100
2012.589,134.600
2012.592,139.700
2012.595,138.700
2012.597,134.000
2012.600,134.100
2012.603,128.500
2012.606,133.300
2012.608,131.200
2012.611,125.400
2012.614,119.700
2012.616,112.300
2012.619,108.100
2012.622,105.800
2012.625,100.700
2012.627,98.300
2012.630,95.100
2012.633,97.000
2012.636,96.200
2012.638,96.200
2012.641,94.200
2012.644,94.800
2012.647,96.700
2012.649,104.200
2012.652,105.900
2012.655,113.200
2012.658,111.500
2012.660,111.200
2012.663,118.300
2012.666,127.800
2012.669,130.500
2012.671,145.600
2012.674,142.300
2012.677,141.600
2012.680,137.600
2012.682,132.700
2012.685,128.000
2012.688,133.400
2012.690,128.600
2012.693,123.000
2012.696,111.300
2012.699,105.100
2012.701,102.600
2012.704,99.100
2012.707,100.500
2012.710,97.500
2012.712,97.300
2012.715,101.500
2012.718,104.300
2012.721,109.800
2012.723,117.400
2012.726,116.900
2012.729,124.500
2012.732,133.600
2012.734,136.600
2012.737,139.800
2012.740,139.200
2012.743,133.200
2012.745,137.800
2012.748,136.000
2012.751,135.600
2012.753,128.100
2012.756,118.200
2012.759,111.700
2012.762,109.500
2012.764,106.200
2012.767,98.800
2012.770,98.100
2012.773,103.400
2012.775,106.200
2012.778,112.000
2012.781,116.600
2012.784,121.900
2012.786,124.900
2012.789,132.100
2012.792,136.800
2012.795,137.000
2012.797,135.000
2012.800,137.600
2012.803,141.400
2012.806,151.400
2012.808,144.200
2012.811,155.500
2012.814,141.600
2012.816,135.600
2012.819,130.000
2012.822,130.700
2012.825,121.700
2012.827,117.000
2012.830,108.400
2012.833,106.300
2012.836,104.200
2012.838,98.400
2012.841,96.500
2012.844,93.300
2012.847,95.000
2012.849,96.600
2012.852,98.700
2012.855,101.700
2012.858,104.100
2012.860,115.100
2012.863,122.200
2012.866,133.300
2012.869,143.800
2012.871,146.200
2012.874,142.100
2012.877,141.700
2012.880,138.300
2012.882,135.500
2012.885,141.000
2012.888,133.900
2012.890,141.200
2012.893,140.400
2012.896,127.700
2012.899,126.700
2012.901,118.000
2012.904,121.600
2012.907,121.800
2012.910,117.100
2012.912,114.300
2012.915,113.100
2012.918,110.600
2012.921,101.700
2012.923,97.700
2012.926,96.600
2012.929,96.200
2012.932,95.500
2012.934,97.400
2012.937,97.100
2012.940,101.100
2012.943,103.700
2012.945,104.000
2012.948,103.700
2012.951,111.900
2012.953,116.600
2012.956,119.200
2012.959,122.400
2012.962,119.500
2012.964,115.000
2012.967,116.200
2012.970,113.400
2012.973,114.100
2012.975,114.600
2012.978,115.300
2012.981,114.200
2012.984,113.100
2012.986,113.000
2012.989,109.800
2012.992,106.800
2012.995,105.800
2012.997,104.300
2013.000,106.700
2013.003,113.600
2013.003,117.800
2013.006,119.000
2013.008,128.800
2013.011,143.100
2013.014,145.100
2013.016,142.200
2013.019,149.700
2013.022,155.600
2013.025,169.300
2013.027,173.900
2013.030,172.300
2013.033,168.500
2013.036,156.400
2013.038,154.100
2013.041,139.700
2013.044,137.100
2013.047,122.700
2013.049,115.200
2013.052,106.700
2013.055,106.600
2013.058,108.300
2013.060,110.300
2013.063,104.900
2013.066,103.400
2013.069,100.500
2013.071,99.400
2013.074,97.700
2013.077,97.600
2013.080,95.400
2013.082,96.600
2013.085,102.700
2013.088,103.700
2013.090,111.800
2013.093,111.100
2013.096,106.700
2013.099,105.100
2013.101,103.500
2013.104,102.800
2013.107,104.200
2013.110,107.600
2013.112,105.900
2013.115,105.200
2013.118,101.800
2013.121,100.300
2013.123,99.500
2013.126,100.100
2013.129,103.200
2013.132,105.500
2013.134,104.700
2013.137,112.400
2013.140,113.500
2013.143,108.500
2013.145,107.000
2013.148,99.600
2013.151,94.900
2013.153,95.400
2013.156,98.700
2013.159,102.000
2013.162,105.500
2013.164,112.600
2013.167,111.000
2013.170,112.000
2013.173,114.300
2013.175,118.400
2013.178,114.300
2013.181,113.800
2013.184,115.000
2013.186,116.200
2013.189,119.200
2013.192,119.700
2013.195,123.000
2013.197,122.900
2013.200,122.800
2013.203,123.100
2013.206,126.000
2013.208,125.700
2013.211,117.600
2013.214,110.400
2013.216,107.600
2013.219,106.100
2013.222,100.900
2013.225,98.200
2013.227,96.000
2013.230,92.600
2013.233,92.400
2013.236,93.000
2013.238,98.700
2013.241,105.100
2013.244,108.400
2013.247,113.300
2013.249,119.100
2013.252,122.100
2013.255,127.000
2013.258,128.500
2013.260,134.400
2013.263,137.000
2013.266,137.800
2013.269,139.200
2013.271,146.500
2013.274,148.000
2013.277,137.100
2013.280,137.900
2013.282,125.100
2013.285,116.800
2013.288,113.300
2013.290,113.300
2013.293,108.100
2013.296,105.000
2013.299,99.400
2013.301,104.900
2013.304,109.300
2013.307,112.900
2013.310,117.500
2013.312,114.700
2013.315,119.200
2013.318,121.900
2013.321,127.000
2013.323,131.700
2013.326,142.400
2013.329,154.400
2013.332,159.200
2013.334,149.400
2013.337,147.900
2013.340,141.600
2013.343,137.100
2013.345,130.700
2013.348,128.700
2013.351,126.900
2013.353,128.400
2013.356,124.800
2013.359,136.600
2013.362,147.300
