time (years),flux (solar flux units)
2005.814,73.400
2005.816,73.000
2005.819,72.000
2005.822,71.600
2005.825,73.100
2005.827,74.100
2005.830,75.600
2005.833,77.800
2005.836,77.300
2005.838,78.000
2005.841,76.800
2005.844,77.400
2005.847,79.300
2005.849,81.700
2005.852,79.400
2005.855,79.400
2005.858,78.100
2005.860,77.900
2005.863,78.600
2005.866,83.100
2005.869,87.800
2005.871,92.400
2005.874,100.000
2005.877,94.000
2005.880,100.500
2005.882,101.100
2005.885,102.000
2005.888,96.400
2005.890,94.700
2005.893,92.600
2005.896,89.700
2005.899,86.600
2005.901,79.900
2005.904,80.800
2005.907,80.700
2005.910,81.900
2005.912,84.700
2005.915,94.700
2005.918,98.200
2005.921,106.300
2005.923,101.300
2005.926,95.200
2005.929,91.700
2005.932,89.100
2005.934,89.000
2005.937,89.600
2005.940,89.100
2005.943,91.400
2005.945,93.100
2005.948,88.300
2005.951,87.900
2005.953,89.600
2005.956,87.000
2005.959,85.800
2005.962,85.200
2005.964,85.600
2005.967,89.500
2005.970,87.800
2005.973,86.500
2005.975,87.600
2005.978,93.100
2005.981,91.900
2005.984,91.800
2005.986,92.500
2005.989,92.300
2005.992,89.100
2005.995,90.300
2005.997,89.900
2006.000,87.400
2006.003,87.400
2006.006,84.500
2006.008,84.900
2006.011,84.000
2006.014,83.400
2006.016,82.000
2006.019,79.200
2006.022,78.200
2006.025,77.600
2006.027,77.800
2006.030,77.300
2006.033,76.500
2006.036,76.500
2006.038,77.400
2006.041,80.900
2006.044,83.800
2006.047,82.500
2006.049,85.600
2006.052,88.600
2006.055,90.700
2006.058,93.800
2006.060,92.800
2006.063,92.400
2006.066,92.600
2006.069,89.000
2006.071,86.900
2006.074,83.500
2006.077,80.000
2006.080,79.500
2006.082,78.800
2006.085,77.600
2006.088,77.600
2006.090,77.300
2006.093,78.700
2006.096,77.000
2006.099,76.300
2006.101,74.900
2006.104,74.000
2006.107,74.000
2006.110,74.800
2006.112,75.200
2006.115,76.000
2006.118,76.000
2006.121,76.300
2006.123,77.300
2006.126,78.500
2006.129,79.200
2006.132,79.200
2006.134,78.500
2006.137,76.500
2006.140,76.200
2006.143,75.900
2006.145,76.000
2006.148,75.100
2006.151,76.000
2006.153,76.000
2006.156,76.500
2006.159,77.000
2006.162,77.100
2006.164,77.000
2006.167,76.100
2006.170,75.500
2006.173,75.000
2006.175,74.200
2006.178,73.600
2006.181,74.400
2006.184,72.400
2006.186,72.900
2006.189,72.200
2006.192,74.000
2006.195,73.200
2006.197,72.600
2006.200,73.600
2006.203,74.200
2006.206,72.400
2006.208,72.000
2006.211,72.400
2006.214,75.200
2006.216,76.900
2006.219,76.700
2006.222,75.900
2006.225,76.600
2006.227,75.800
2006.230,75.600
2006.233,73.600
2006.236,74.300
2006.238,79.300
2006.241,81.700
2006.244,83.900
2006.247,86.300
2006.249,87.000
2006.252,91.100
2006.255,100.400
2006.258,99.500
2006.260,99.000
2006.263,98.900
2006.266,94.500
2006.269,91.000
2006.271,89.200
2006.274,88.700
2006.277,89.700
2006.280,81.100
2006.282,80.000
2006.285,78.900
2006.288,78.400
2006.290,76.500
2006.293,77.900
2006.299,75.800
2006.301,78.600
2006.304,79.200
2006.307,82.400
2006.310,86.700
2006.312,92.800
2006.315,95.100
2006.318,100.000
2006.321,100.700
2006.323,100.100
2006.326,101.200
2006.329,99.900
2006.332,93.400
2006.334,89.400
2006.337,89.000
2006.340,91.800
2006.343,86.700
2006.345,87.000
2006.348,86.200
2006.351,84.700
2006.353,82.600
2006.356,78.200
2006.359,76.400
2006.362,75.700
2006.364,73.500
2006.367,72.000
2006.370,71.700
2006.373,71.500
2006.375,72.000
2006.378,73.300
2006.381,75.300
2006.384,76.200
2006.386,77.500
2006.389,83.100
2006.392,84.200
2006.395,83.700
2006.397,83.700
2006.400,81.600
2006.403,83.000
2006.406,84.700
2006.408,81.100
2006.411,80.000
2006.414,78.400
2006.416,77.200
2006.419,75.300
2006.422,75.900
2006.425,75.600
2006.427,77.900
2006.430,78.000
2006.433,82.700
2006.436,80.000
2006.438,77.600
2006.441,76.100
2006.444,74.400
2006.447,74.200
2006.449,77.100
2006.452,75.300
2006.455,76.400
2006.458,75.300
2006.460,73.200
2006.463,73.300
2006.466,73.300
2006.469,72.900
2006.471,72.700
2006.474,72.100
2006.477,71.800
2006.480,73.600
2006.482,74.000
2006.485,76.400
2006.488,78.500
2006.490,83.500
2006.493,85.500
2006.496,86.100
2006.499,85.500
2006.501,87.100
2006.504,85.900
2006.507,92.000
2006.510,84.700
2006.512,85.000
2006.515,79.900
2006.518,77.400
2006.521,74.600
2006.523,72.800
2006.526,71.200
2006.529,70.600
2006.532,69.900
2006.534,70.900
2006.537,70.200
2006.540,70.800
2006.543,71.000
2006.545,71.200
2006.548,71.100
2006.551,72.200
2006.553,72.600
2006.556,73.600
2006.559,76.500
2006.562,77.000
2006.564,75.500
2006.567,74.700
2006.570,74.400
2006.573,72.600
2006.575,73.000
2006.578,73.900
2006.581,72.400
2006.584,72.800
2006.586,72.100
2006.589,71.300
2006.592,69.600
2006.595,69.500
2006.597,69.500
2006.600,69.800
2006.603,71.400
2006.606,74.100
2006.608,80.300
2006.611,83.900
2006.614,84.700
2006.616,85.900
2006.619,86.400
2006.622,85.600
2006.625,100.600
2006.627,85.800
2006.630,88.500
2006.633,88.800
2006.636,88.100
2006.638,87.800
2006.641,80.800
2006.644,78.300
2006.647,78.200
2006.649,77.200
2006.652,75.700
2006.655,78.600
2006.658,76.400
2006.660,73.000
2006.663,74.200
2006.666,83.200
2006.669,76.900
2006.671,75.600
2006.674,76.500
2006.677,79.000
2006.680,80.400
2006.682,84.000
2006.685,86.700
2006.688,87.200
2006.690,85.500
2006.693,87.300
2006.696,84.600
2006.699,84.100
2006.701,82.900
2006.704,82.800
2006.707,80.100
2006.710,79.200
2006.712,78.000
2006.715,74.400
2006.718,73.400
2006.721,70.900
2006.723,71.400
2006.726,72.300
2006.729,70.400
2006.732,69.800
2006.734,70.200
2006.737,70.700
2006.740,72.000
2006.743,73.000
2006.745,76.500
2006.748,77.700
2006.751,78.400
2006.753,77.900
2006.756,76.600
2006.759,76.700
2006.762,77.300
2006.764,76.400
2006.767,76.500
2006.770,75.200
2006.773,75.000
2006.775,75.300
2006.778,73.600
2006.781,73.600
2006.784,73.300
2006.786,72.400
2006.789,71.100
2006.792,69.500
2006.795,69.600
2006.797,69.500
2006.800,69.600
2006.803,71.100
2006.806,74.700
2006.808,75.800
2006.811,76.400
2006.814,74.800
2006.816,74.700
2006.819,71.900
2006.822,72.000
2006.825,74.700
2006.827,73.300
2006.830,75.700
2006.833,80.100
2006.836,86.700
2006.838,88.200
2006.841,87.400
2006.844,85.500
2006.847,84.700
2006.849,83.500
2006.852,87.100
2006.855,86.400
2006.858,89.400
2006.860,91.100
2006.863,97.000
2006.866,96.700
2006.869,95.200
2006.871,94.500
2006.874,96.100
2006.877,94.100
2006.880,89.500
2006.882,88.800
2006.885,84.900
2006.888,80.500
2006.890,77.500
2006.893,76.500
2006.896,76.800
2006.899,77.400
2006.901,78.600
2006.904,78.200
2006.907,82.400
2006.910,85.500
2006.912,85.000
2006.915,84.100
2006.918,84.200
2006.921,87.300
2006.929,102.400
2006.932,573.400
2006.934,124.700
2006.937,96.000
2006.940,92.400
2006.943,90.000
2006.945,92.200
2006.948,104.200
2006.951,94.600
2006.953,94.400
2006.956,88.200
2006.959,82.600
2006.962,82.100
2006.964,75.400
2006.967,74.400
2006.970,72.700
2006.973,74.000
2006.975,74.600
2006.978,73.500
2006.981,74.400
2006.984,76.400
2006.986,75.000
2006.989,73.300
2006.992,76.300
2006.995,78.400
2006.997,80.900
2007.000,85.100
2007.003,88.400
2007.006,91.700
2007.008,87.700
2007.011,91.000
2007.014,89.400
2007.016,88.600
2007.019,88.300
2007.022,88.700
2007.025,92.200
2007.027,86.200
2007.030,83.900
2007.033,83.800
2007.036,81.400
2007.038,82.100
2007.041,82.000
2007.044,78.700
2007.047,78.100
2007.049,76.800
2007.052,76.300
2007.055,78.800
2007.058,78.600
2007.060,78.500
2007.063,79.300
2007.066,80.400
2007.069,79.900
2007.071,79.700
2007.074,80.500
2007.077,81.700
2007.080,86.700
2007.082,87.500
2007.085,89.200
2007.088,89.900
2007.090,90.300
2007.093,87.300
2007.096,83.700
2007.099,83.000
2007.101,81.900
2007.104,82.000
2007.107,78.400
2007.110,76.700
2007.112,75.900
2007.115,74.700
2007.118,73.600
2007.121,72.700
2007.123,72.700
2007.126,73.600
2007.129,74.700
2007.132,75.300
2007.134,75.800
2007.137,74.900
2007.140,74.700
2007.143,74.800
2007.145,75.500
2007.148,75.100
2007.151,75.500
2007.153,76.600
2007.156,75.400
2007.159,74.800
2007.162,75.800
2007.164,74.800
2007.167,75.500
2007.170,73.300
2007.173,72.500
2007.175,71.900
2007.178,71.900
2007.181,72.900
2007.184,72.500
2007.186,71.600
2007.189,71.200
2007.192,71.000
2007.195,71.200
2007.197,71.400
2007.200,70.000
2007.203,69.200
2007.206,68.700
2007.208,69.300
2007.211,70.500
2007.214,70.100
2007.216,72.600
2007.219,72.800
2007.222,72.500
2007.225,72.500
2007.227,72.800
2007.230,73.700
2007.233,73.800
2007.236,73.300
2007.238,74.600
2007.241,73.800
2007.244,74.100
2007.247,73.200
2007.249,71.700
2007.252,71.200
2007.255,70.800
2007.258,70.700
2007.260,70.900
2007.263,71.000
2007.266,71.200
2007.269,71.100
2007.271,69.900
2007.274,69.400
2007.277,69.100
2007.280,68.300
2007.282,68.300
2007.285,68.200
2007.288,69.300
2007.290,69.300
2007.293,69.200
2007.296,68.800
2007.299,68.300
2007.301,68.500
2007.304,68.700
2007.307,68.900
2007.310,69.100
2007.312,73.200
2007.315,76.500
2007.318,80.500
2007.321,82.700
2007.323,84.900
2007.326,84.800
2007.329,87.000
2007.332,86.300
2007.334,87.400
2007.337,83.100
2007.340,82.500
2007.343,81.000
2007.345,78.100
2007.348,75.700
2007.351,73.400
2007.353,72.100
2007.356,71.200
2007.359,71.500
2007.362,71.400
2007.364,73.500
2007.367,72.900
2007.370,76.900
2007.373,77.100
2007.375,76.500
2007.378,75.800
2007.381,74.800
2007.384,74.100
2007.386,73.200
2007.389,72.000
2007.392,70.100
2007.395,69.900
2007.397,68.100
2007.400,67.700
2007.403,67.000
2007.406,68.700
2007.408,69.600
2007.411,70.700
2007.414,74.600
2007.416,79.400
2007.419,83.200
2007.422,87.000
2007.425,85.700
2007.427,81.200
2007.436,84.300
2007.438,78.600
2007.441,75.900
2007.444,73.300
2007.447,70.400
2007.449,70.900
2007.452,68.500
2007.455,69.100
2007.458,68.000
2007.460,66.700
2007.463,66.600
2007.466,66.400
2007.469,65.700
2007.471,65.500
2007.474,65.300
2007.477,65.900
2007.480,66.900
2007.482,67.600
2007.485,70.500
2007.488,73.200
2007.490,74.900
2007.493,75.300
2007.496,74.000
2007.499,74.300
2007.501,72.600
2007.504,71.700
2007.507,72.400
2007.510,71.500
2007.512,71.100
2007.515,73.100
2007.518,75.100
2007.521,77.100
2007.523,78.100
2007.526,78.500
2007.529,76.900
2007.532,78.000
2007.534,75.700
2007.537,74.700
2007.540,72.900
2007.543,72.300
2007.545,69.600
2007.548,68.300
2007.551,67.300
2007.553,66.400
2007.556,66.200
2007.559,67.200
2007.562,68.000
2007.564,68.600
2007.567,68.400
2007.570,68.700
2007.573,69.900
2007.575,69.000
2007.578,68.900
2007.581,68.000
2007.584,68.400
2007.586,69.400
2007.589,70.400
2007.592,69.400
2007.595,68.900
2007.597,70.000
2007.600,69.000
2007.603,69.000
2007.606,67.400
2007.608,67.500
2007.611,67.600
2007.614,68.100
2007.616,67.700
2007.619,68.500
2007.622,67.600
2007.625,67.300
2007.627,67.600
2007.630,67.900
2007.633,67.800
2007.636,69.100
2007.638,69.300
2007.641,70.000
2007.644,70.800
2007.647,71.600
2007.649,71.500
2007.652,70.100
2007.655,69.200
2007.658,70.100
2007.660,69.600
2007.663,71.600
2007.666,70.800
2007.669,70.800
2007.671,69.400
2007.674,68.000
2007.677,68.200
2007.680,67.600
2007.682,66.700
2007.685,67.100
2007.688,66.600
2007.690,66.700
2007.693,66.900
2007.696,66.100
2007.699,65.900
2007.701,66.400
2007.704,66.800
2007.707,67.700
2007.710,67.000
2007.712,66.900
2007.715,66.500
2007.718,66.800
2007.721,66.800
2007.723,66.900
2007.726,66.700
2007.729,66.300
2007.732,66.100
2007.734,66.200
2007.737,66.500
2007.740,67.100
2007.743,67.200
2007.745,67.600
2007.748,65.000
2007.751,67.700
2007.753,66.400
2007.756,67.300
2007.759,67.300
2007.762,67.800
2007.764,69.000
2007.767,68.100
2007.770,68.100
2007.773,68.700
2007.775,68.100
2007.778,68.800
2007.781,68.600
2007.784,67.600
2007.786,67.100
2007.789,67.200
2007.792,67.100
2007.795,67.400
2007.797,68.200
2007.800,67.300
2007.803,66.900
2007.806,67.200
2007.808,66.700
2007.811,67.100
2007.814,67.500
2007.816,67.100
2007.819,67.500
2007.822,67.100
2007.825,67.500
2007.827,67.100
2007.830,67.200
2007.833,67.100
2007.836,67.300
