Phase,Time (years),Teff (K),Luminosity (Lsun)
0,1021256.12,17184.06,532.76
0,1050845.03,17184.50,532.59
0,1081355.48,17183.79,532.39
0,1112747.30,17182.90,532.18
0,1144856.27,17181.94,531.98
0,1178090.91,17180.90,531.79
0,1212291.41,17179.73,531.61
0,1247256.39,17178.45,531.43
0,1283598.32,17176.89,531.26
0,1320639.30,17175.18,531.10
0,1358967.60,17173.33,530.95
0,1398499.48,17171.35,530.82
0,1438340.30,17169.35,530.69
0,1480860.96,17167.24,530.61
0,1523381.62,17165.13,530.52
0,1567375.33,17162.92,530.45
0,1613481.83,17160.58,530.40
0,1659588.33,17158.24,530.35
0,1707549.16,17155.79,530.31
0,1757958.01,17153.20,530.28
0,1808366.86,17150.60,530.26
0,1859603.94,17147.97,530.24
0,1915175.04,17145.20,530.26
0,1970746.13,17142.44,530.27
0,2026317.22,17139.67,530.29
0,2085606.83,17136.80,530.32
0,2147371.90,17133.88,530.36
0,2209136.96,17130.95,530.41
0,2270902.03,17128.02,530.46
0,2338290.55,17125.00,530.53
0,2407487.66,17121.95,530.61
0,2476684.77,17118.90,530.69
0,2545881.88,17115.85,530.77
0,2620782.70,17112.67,530.87
0,2698897.29,17109.42,530.99
0,2777011.89,17106.17,531.10
0,2855126.48,17102.92,531.21
0,2936056.96,17099.65,531.34
0,3024871.90,17096.31,531.49
0,3113686.84,17092.96,531.65
0,3202501.79,17089.62,531.80
0,3291316.73,17086.28,531.96
0,3388402.22,17082.91,532.14
0,3490056.82,17079.53,532.34
0,3591711.42,17076.14,532.55
0,3693366.01,17072.76,532.75
0,3795020.61,17069.37,532.95
0,3909021.54,17065.72,533.18
0,4026081.77,17061.99,533.43
0,4143142.01,17058.27,533.67
0,4260202.24,17054.54,533.91
0,4377262.47,17050.82,534.16
0,4508278.16,17046.88,534.44
0,4643824.01,17042.87,534.74
0,4779369.86,17038.86,535.04
0,4914915.71,17034.85,535.34
0,5050461.56,17030.85,535.64
0,5197564.39,17026.79,535.98
0,5355121.89,17022.69,536.35
0,5512679.39,17018.59,536.72
0,5670236.89,17014.50,537.09
0,5827794.39,17010.40,537.47
0,5990539.76,17006.21,537.85
0,6173317.55,17001.64,538.30
0,6356095.35,16997.07,538.74
0,6538873.14,16992.50,539.18
0,6721650.94,16987.94,539.62
0,6907376.30,16983.32,540.07
0,7117731.57,16978.25,540.60
0,7328086.83,16973.19,541.12
0,7538442.10,16968.13,541.64
0,7748797.37,16963.07,542.17
0,7969159.88,16957.76,542.72
0,8208785.11,16951.97,543.32
0,8448410.33,16946.18,543.93
0,8688035.56,16940.40,544.54
0,8927660.79,16934.61,545.14
0,9196407.70,16928.29,545.84
0,9466383.54,16921.95,546.54
0,9736359.37,16915.62,547.25
0,10006335.20,16909.28,547.95
0,10306283.40,16902.61,548.75
0,10607246.71,16895.94,549.56
0,10908210.02,16889.27,550.37
0,11219546.98,16882.47,551.21
0,11552016.01,16875.44,552.13
0,11884485.03,16868.40,553.04
0,12216954.06,16861.37,553.95
0,12580755.33,16854.02,554.98
0,12945334.76,16846.67,556.01
0,13309914.19,16839.32,557.04
0,13702466.34,16831.62,558.17
0,14099798.06,16823.86,559.32
0,14497129.77,16816.10,560.47
0,14925572.66,16808.03,561.74
0,15356263.86,16799.94,563.02
