Phase,Time (years),Teff (K),Luminosity (Lsun)
0,5453614978.285,5865.37,1.20
0,5500911900.577,5866.18,1.21
0,5548330632.322,5867.00,1.22
0,5596868277.470,5867.79,1.22
0,5645405922.618,5868.57,1.23
0,5693943567.765,5869.36,1.23
0,5743519798.334,5870.10,1.24
0,5793242686.510,5870.84,1.25
0,5842965574.686,5871.57,1.25
0,5893615551.938,5872.30,1.26
0,5944467137.079,5873.03,1.27
0,5995318722.220,5873.75,1.28
0,6047168704.914,5874.45,1.28
0,6099097695.310,5875.14,1.29
0,6151208598.504,5875.83,1.30
0,6204167785.225,5876.47,1.30
0,6257126971.947,5877.11,1.31
0,6310632210.973,5877.70,1.32
0,6364578339.394,5878.26,1.33
0,6418570808.756,5878.82,1.34
0,6473465226.073,5879.29,1.34
0,6528359643.390,5879.76,1.35
0,6583875488.160,5880.15,1.36
0,6639715395.744,5880.50,1.37
0,6695880943.714,5880.77,1.38
0,6752595864.748,5880.94,1.39
0,6809493303.013,5881.07,1.40
0,6867190150.563,5881.08,1.41
0,6924967651.380,5881.07,1.42
0,6983458709.762,5880.88,1.42
0,7042038019.249,5880.67,1.43
0,7101372365.610,5880.23,1.44
0,7160877138.531,5879.74,1.45
0,7221034866.830,5879.04,1.46
0,7281519827.911,5878.23,1.47
0,7342357637.137,5877.29,1.48
0,7403746536.241,5876.17,1.49
0,7465366517.994,5875.00,1.50
0,7527241428.547,5873.78,1.51
0,7589290465.140,5872.54,1.52
0,7651415886.395,5871.34,1.53
0,7713532143.539,5870.18,1.55
0,7775733120.298,5869.05,1.56
0,7838085635.712,5867.95,1.57
0,7900404161.515,5866.84,1.58
0,7962865871.250,5865.73,1.60
0,8025348751.879,5864.60,1.61
0,8088081061.172,5863.35,1.63
0,8150927784.089,5861.85,1.64
0,8213895042.529,5860.38,1.66
0,8276952488.552,5858.77,1.67
0,8340086848.272,5857.03,1.69
0,8403264413.518,5855.18,1.71
0,8466428075.072,5853.15,1.73
0,8529541415.656,5850.91,1.74
0,8592585642.728,5848.46,1.76
0,8655477655.465,5845.84,1.78
0,8718203487.284,5842.98,1.80
0,8780756652.369,5839.77,1.82
0,8843049165.976,5836.37,1.84
0,8904984372.033,5832.71,1.86
0,8966504485.755,5828.71,1.88
0,9027582819.308,5824.44,1.90
0,9088199705.672,5819.73,1.92
0,9148132995.682,5814.67,1.94
0,9207505217.016,5809.31,1.97
0,9266282192.410,5803.60,1.99
0,9324590869.360,5797.27,2.01
0,9382162391.402,5790.52,2.04
0,9438811106.339,5783.42,2.06
0,9494402316.179,5775.75,2.08
0,9548647146.489,5767.68,2.11
0,9601552587.783,5759.11,2.13
0,9653204867.587,5749.97,2.15
0,9703489878.866,5740.31,2.18
0,9752200369.637,5730.10,2.20
0,9797590803.539,5719.21,2.22
0,9838900154.193,5708.08,2.24
0,9879503796.576,5696.34,2.26
2,9919423942.745,5683.98,2.28
2,10004621248.198,5654.30,2.32
2,10083675019.240,5621.85,2.36
2,10155210968.980,5586.99,2.39
2,10219043598.062,5550.01,2.41
2,10275371968.915,5510.97,2.43
2,10324916139.782,5470.20,2.44
2,10368789609.571,5428.01,2.44
2,10407760867.640,5384.10,2.44
2,10443067127.534,5339.22,2.43
2,10475456258.868,5293.24,2.42
2,10505764731.238,5246.43,2.42
2,10534832674.871,5199.34,2.42
2,10563210974.368,5152.18,2.42
2,10591446597.033,5105.81,2.44
2,10619902606.036,5061.65,2.47
2,10648394380.092,5021.20,2.53
2,10676487564.486,4986.02,2.60
2,10703642908.485,4956.78,2.70
2,10729506142.549,4933.11,2.82
2,10754062965.756,4913.68,2.95
2,10777360989.000,4898.11,3.09
2,10799558513.688,4885.30,3.25
2,10820769483.648,4874.20,3.42
2,10841020104.522,4864.85,3.60
2,10860468281.430,4856.45,3.80
2,10879144468.528,4848.77,4.00
2,10897096686.258,4841.83,4.22
2,10914459709.596,4835.30,4.45
2,10930991035.419,4828.64,4.70
2,10946924824.171,4822.16,4.96
2,10962308035.939,4815.50,5.23
2,10977031386.842,4808.74,5.52
2,10991135414.939,4802.18,5.83
2,11004697939.165,4795.23,6.15
2,11017641714.986,4788.16,6.50
2,11030064341.285,4780.84,6.86
2,11041952508.957,4773.21,7.24
2,11053308411.942,4765.09,7.65
2,11064149235.066,4757.06,8.08
2,11074491830.982,4748.64,8.53
2,11084422904.360,4740.05,9.01
2,11093887409.807,4731.23,9.52
2,11102907797.737,4722.10,10.05
2,11111531849.197,4712.64,10.61
2,11119760387.730,4702.92,11.21
2,11127610444.604,4692.96,11.84
2,11135123438.998,4682.60,12.50
2,11142307001.690,4672.20,13.20
2,11149181091.525,4661.38,13.94
2,11155747633.608,4650.31,14.72
2,11162041362.389,4639.28,15.55
2,11168078097.837,4628.00,16.42
2,11173869920.090,4616.36,17.34
2,11179429687.386,4604.67,18.31
2,11184793982.467,4592.62,19.33
2,11189971356.337,4580.42,20.41
2,11194973988.421,4568.07,21.55
2,11199829071.628,4555.51,22.75
2,11204625610.888,4542.79,24.02
2,11209450705.689,4530.07,25.35
2,11214544024.524,4517.21,26.76
2,11220949208.862,4504.70,28.23
2,11231793515.795,4512.68,27.81
2,11235855671.613,4528.51,26.36
2,11241889096.383,4529.43,26.55
2,11246314390.313,4516.17,28.02
2,11250298889.081,4502.56,29.59
2,11254091023.389,4488.69,31.23
2,11257708510.535,4474.51,32.97
2,11261158252.601,4460.24,34.80
2,11264465492.343,4445.82,36.74
2,11267633345.196,4431.31,38.78
2,11270631308.159,4416.78,40.93
2,11273529033.414,4401.91,43.20
2,11276253911.048,4387.01,45.59
2,11278876461.984,4372.06,48.12
2,11281393492.006,4356.85,50.78
2,11283785328.226,4341.57,53.59
2,11286086573.575,4326.21,56.55
2,11288289308.563,4310.61,59.67
2,11290378352.218,4295.08,62.96
2,11292373895.779,4279.35,66.43
2,11294292082.591,4263.59,70.09
2,11296127419.506,4248.11,73.96
2,11297873466.303,4231.86,78.02
2,11299546812.745,4216.00,82.31
2,11301146885.159,4199.58,86.82
2,11302671868.870,4183.18,91.58
2,11304141031.750,4166.72,96.60
2,11305534189.637,4150.21,101.89
2,11306874557.181,4133.52,107.46
2,11308157465.885,4116.86,113.33
2,11309380175.708,4100.05,119.52
2,11310554901.929,4083.29,126.04
2,11311671387.986,4066.30,132.91
2,11312746489.608,4049.32,140.15
2,11313775820.631,4032.20,147.77
2,11314759831.085,4014.96,155.80
2,11315700008.633,3997.55,164.25
2,11316604743.996,3980.20,173.16
2,11317470008.320,3962.79,182.55
2,11318302041.915,3945.36,192.43
2,11319096091.253,3927.90,202.84
2,11319858918.976,3910.35,213.81
2,11320590494.083,3892.78,225.35
2,11321293317.342,3875.19,237.52
2,11321966124.665,3857.45,250.31
2,11322611121.832,3839.55,263.77
2,11323232182.342,3821.63,277.94
2,11323826663.614,3803.73,292.85
2,11324398050.330,3785.96,308.56
2,11324947352.065,3768.04,325.09
2,11325475218.265,3750.29,342.50
2,11325983297.282,3732.58,360.84
2,11326471982.803,3714.64,380.13
2,11326941972.335,3696.71,400.41
2,11327393301.836,3678.96,421.79
2,11327828326.229,3660.77,444.22
2,11328246686.045,3642.81,467.84
2,11328649760.411,3624.83,492.69
2,11329038606.287,3606.97,518.86
2,11329412815.009,3588.86,546.38
2,11329773061.199,3570.88,575.29
2,11330120878.463,3553.07,605.78
2,11330456625.299,3535.09,637.85
2,11330780427.987,3517.39,671.57
2,11331093129.255,3499.59,707.12
2,11331394206.198,3481.63,744.39
2,11331685201.573,3463.74,783.67
2,11331966271.437,3445.84,825.02
2,11332237368.998,3427.92,868.44
2,11332499830.446,3410.07,914.13
2,11332752767.957,3392.20,962.16
2,11332995852.566,3374.50,1012.80
2,11333233210.166,3356.84,1066.02
2,11333462342.379,3339.07,1121.92
2,11333684005.767,3321.34,1180.70
2,11333898529.637,3303.62,1242.49
2,11334106038.558,3286.10,1307.40
2,11334306910.444,3268.28,1375.59
2,11334501799.917,3250.48,1447.35
2,11334690156.620,3232.59,1522.57
2,11334872641.707,3214.66,1601.63
2,11335049055.298,3196.93,1684.38
2,11335220714.971,3178.97,1771.36
2,11335387419.927,3160.98,1862.86
2,11335549540.282,3143.03,1958.86
2,11335706083.095,3124.97,2058.87
2,11335858739.986,3106.84,2163.54
2,11336009402.661,3088.52,2272.96
3,11336176291.479,3070.28,2386.84
3,11336180450.716,3072.97,2369.79
3,11336180545.220,3209.76,1666.05
3,11336180682.858,3359.11,1121.74
3,11336180944.379,3510.48,753.01
3,11336181468.488,3665.13,504.64
3,11336182551.604,3822.17,337.51
3,11336184827.946,3980.79,225.25
3,11336189578.272,4140.51,150.01
3,11336198693.974,4301.86,99.72
3,11336210747.608,4460.54,66.10
3,11336222893.534,4585.24,43.38
3,11336234318.780,4442.63,61.72
3,11336240550.293,4296.16,93.46
3,11336250711.938,4146.89,141.18
3,11336329603.689,4172.72,134.36
3,11336351281.032,4331.64,89.22
3,11336404385.553,4422.31,68.51
3,11336469386.345,4271.76,103.34
3,11336530703.456,4390.76,77.58
3,11336628733.283,4505.22,56.67
3,11336740731.448,4424.45,71.88
3,11336862994.095,4593.46,47.86
3,11337073436.870,4567.18,52.87
3,11337338900.164,4558.52,51.99
3,11337565454.102,4618.36,45.69
3,11337912454.412,4609.72,47.14
3,11337913141.464,4609.78,47.14
3,11337913175.296,4609.78,47.14
3,11337913193.513,4609.78,47.14
3,11337913207.853,4609.78,47.14
3,11337913220.518,4609.78,47.14
3,11337913232.691,4609.79,47.14
3,11337913244.868,4609.79,47.14
3,11337913257.313,4609.79,47.14
3,11337913270.405,4609.79,47.14
3,11337913284.188,4609.79,47.14
3,11337913298.624,4609.79,47.14
3,11337913314.208,4609.79,47.13
3,11337913331.033,4609.79,47.13
3,11337913349.411,4609.80,47.13
3,11337913369.693,4609.80,47.13
3,11337913387.448,4609.80,47.13
3,11337913397.610,4609.80,47.13
3,11337913424.293,4609.80,47.13
3,11337913453.887,4609.81,47.13
3,11337913488.067,4609.81,47.13
3,11337913529.577,4609.81,47.13
3,11337913584.657,4609.82,47.13
3,11337913663.519,4609.82,47.13
3,11337913805.283,4609.84,47.13
3,11337914148.259,4609.86,47.13
3,11337915191.949,4609.95,47.12
3,11337942243.866,4612.27,46.91
3,11338082831.701,4623.20,45.73
3,11339054255.788,4617.00,46.26
3,11341571676.360,4606.17,47.47
3,11350223101.035,4605.00,48.20
3,11360730706.096,4622.09,47.30
3,11372006569.375,4635.59,46.77
3,11384187378.661,4648.13,46.36
3,11402796838.395,4660.40,46.12
3,11416250684.131,4656.95,46.91
3,11423652695.980,4652.89,47.54
3,11427295550.552,4643.22,48.57
3,11430775476.640,4638.10,49.17
3,11432774671.086,4627.87,50.28
3,11434467721.627,4617.54,51.44
3,11436357021.706,4608.50,52.49
3,11437706103.715,4598.67,53.66
3,11438764481.180,4602.42,53.26
3,11439667289.673,4591.97,54.50
3,11440475876.006,4581.47,55.79
3,11441429466.079,4571.88,57.04
3,11442327998.872,4561.52,58.39
3,11442507534.025,4571.41,57.18
3,11442718224.099,4581.58,55.94
3,11443419524.388,4579.92,56.10
3,11443996696.764,4569.49,57.43
3,11444515776.058,4558.93,58.81
3,11444981902.197,4548.35,60.23
3,11445378924.011,4537.92,61.68
3,11445708403.856,4527.11,63.16
3,11445990646.536,4516.76,64.69
3,11446232350.948,4506.15,66.27
3,11446440380.504,4495.72,67.88
3,11446617977.434,4485.15,69.54
3,11446768936.500,4474.55,71.24
3,11446897943.450,4464.17,72.99
3,11447007751.180,4453.84,74.78
3,11447100931.671,4443.17,76.60
3,11447180532.186,4433.03,78.48
3,11447248555.375,4422.76,80.41
3,11447306559.350,4412.30,82.37
3,11447356278.326,4402.06,84.38
3,11447399205.008,4391.97,86.44
3,11447436319.499,4381.66,88.53
3,11447468618.692,4371.59,90.68
3,11447496869.898,4361.78,92.87
3,11447521533.051,4351.73,95.10
3,11447543399.654,4341.78,97.38
3,11447563018.712,4332.07,99.71
4,11447580723.787,4322.49,102.08
4,11447598945.693,4311.35,104.82
4,11447615714.246,4300.66,107.61
4,11447631905.569,4289.50,110.52
4,11447647816.730,4278.69,113.57
4,11447663577.398,4267.62,116.72
4,11447679256.446,4256.48,119.98
4,11447694882.138,4245.30,123.35
4,11447710500.598,4234.06,126.83
4,11447726203.015,4222.64,130.41
4,11447742064.941,4211.59,134.12
4,11447758262.224,4200.34,137.93
4,11447774924.546,4189.08,141.86
4,11447792434.253,4177.93,145.91
4,11447811241.478,4166.60,150.06
4,11447832442.978,4155.52,154.34
4,11447859245.699,4144.26,158.69
4,11447925430.185,4139.00,160.94
4,11447969031.491,4150.43,156.44
4,11448002698.880,4162.24,152.01
4,11448037739.227,4173.60,147.69
4,11448083785.252,4185.41,143.57
4,11448163232.707,4196.24,139.71
4,11448266965.075,4207.09,135.99
4,11448401391.303,4217.85,132.45
4,11448634504.563,4227.30,129.45
4,11449103641.686,4230.16,128.59
4,11449691702.203,4225.46,130.25
4,11450458765.383,4224.75,130.52
4,11451373641.051,4222.56,131.11
4,11451971018.263,4212.32,134.48
4,11452464225.718,4201.35,138.14
4,11452909951.447,4190.32,141.99
4,11453319512.763,4179.11,145.98
4,11453698835.005,4167.72,150.10
4,11454055526.904,4156.42,154.36
4,11454393195.257,4145.22,158.77
4,11454714713.811,4133.57,163.29
4,11455019073.229,4122.39,167.97
4,11455302037.249,4111.01,172.79
4,11455569714.827,4099.76,177.76
4,11455825233.930,4088.29,182.85
4,11456068097.934,4076.94,188.10
4,11456299359.066,4065.74,193.51
4,11456520924.025,4054.56,199.08
4,11456734193.087,4043.27,204.80
4,11456935064.620,4031.71,210.67
4,11457124818.603,4020.61,216.74
4,11457306487.126,4009.12,222.95
4,11457481638.462,3997.82,229.36
4,11457650094.120,3986.40,235.94
4,11457812957.524,3975.13,242.72
4,11457968710.367,3963.64,249.68
4,11458118318.290,3952.49,256.86
4,11458262662.303,3941.26,264.24
4,11458403075.912,3929.99,271.82
4,11458539623.086,3918.61,279.60
4,11458673120.128,3907.37,287.60
4,11458803779.908,3896.10,295.82
4,11458932217.870,3885.11,304.30
4,11459057714.652,3873.98,313.00
4,11459180378.040,3862.75,321.91
4,11459300387.300,3851.59,331.08
4,11459417911.661,3840.80,340.55
4,11459531763.877,3829.70,350.24
4,11459642163.833,3818.65,360.20
4,11459748478.899,3807.68,370.46
4,11459850447.384,3796.75,381.03
4,11459946826.323,3785.39,391.84
4,11460038397.729,3774.54,403.06
4,11460124266.269,3763.57,414.60
4,11460204612.319,3752.39,426.45
4,11460280088.777,3741.23,438.67
4,11460351465.467,3730.09,451.26
4,11460419686.974,3718.95,464.22
4,11460485330.631,3707.97,477.59
4,11460548377.686,3696.63,491.27
4,11460608993.580,3685.57,505.42
4,11460666700.898,3674.50,519.98
4,11460721527.179,3663.57,535.01
4,11460773269.057,3652.28,550.40
4,11460822844.913,3641.41,566.34
4,11460869818.615,3630.20,582.67
4,11460914847.270,3619.17,599.52
4,11460958265.358,3608.12,616.86
4,11460999907.760,3597.06,634.70
4,11461040135.284,3585.95,653.04
4,11461079004.222,3574.86,671.92
4,11461116905.056,3563.86,691.37
4,11461153718.991,3552.72,711.33
4,11461189687.983,3541.71,731.91
4,11461225041.958,3530.67,753.07
4,11461259576.478,3519.38,774.73
4,11461293857.733,3508.57,797.20
4,11461326698.853,3497.66,820.28
4,11461358340.393,3486.72,844.01
4,11461391952.297,3475.86,868.44
4,11461426530.204,3464.97,893.52
4,11461462031.558,3454.15,919.34
4,11461498525.635,3443.42,945.92
4,11461535545.489,3432.77,973.28
5,11461572796.892,3421.94,1001.32
5,11461617270.380,3408.84,1036.69
5,11461660499.963,3395.72,1073.30
5,11461704479.525,3382.74,1111.23
5,11461748768.448,3369.69,1150.43
5,11461794107.903,3356.68,1191.00
5,11461840243.094,3343.66,1232.94
5,11461887306.541,3330.68,1276.31
5,11461935556.480,3317.44,1320.98
5,11461984645.767,3304.25,1367.19
5,11462034988.817,3291.21,1415.10
5,11462086547.676,3278.10,1464.54
5,11462140128.739,3264.84,1515.49
5,11462188095.338,3251.43,1568.15
5,11462237610.316,3238.44,1622.14
5,11462253381.451,3225.33,1679.25
5,11462272910.145,3230.84,1652.71
5,11462276789.938,3243.92,1596.37
5,11462279037.300,3256.85,1541.77
5,11462280573.861,3269.87,1489.10
5,11462281720.405,3283.17,1438.42
5,11462282635.497,3296.50,1389.43
5,11462283408.108,3309.65,1341.94
5,11462284107.617,3322.99,1296.21
5,11462284817.462,3336.10,1251.82
5,11462285849.601,3349.41,1209.01
5,11462288406.594,3341.83,1234.28
5,11462289726.223,3328.63,1278.04
5,11462290970.043,3315.39,1323.28
5,11462292246.411,3302.10,1370.05
5,11462293610.612,3288.89,1418.48
5,11462295087.667,3275.50,1468.44
5,11462296709.313,3262.37,1520.33
5,11462298494.131,3249.37,1574.12
5,11462300454.831,3236.22,1629.63
5,11462302618.795,3222.99,1686.96
5,11462305026.475,3209.96,1746.45
5,11462307687.284,3196.59,1807.61
5,11462310644.785,3183.44,1871.11
5,11462313880.410,3170.06,1936.49
5,11462317428.064,3156.82,2004.27
5,11462321273.092,3143.37,2074.07
5,11462325465.070,3129.85,2146.10
5,11462330057.496,3116.37,2220.60
5,11462335093.305,3102.46,2296.94
5,11462340700.323,3088.48,2375.69
5,11462346961.557,3074.16,2456.42
5,11462354063.800,3059.87,2539.59
5,11462362224.650,3045.20,2624.62
5,11462371859.676,3029.94,2710.92
5,11462383898.063,3014.06,2797.12
5,11462405384.599,3003.77,2829.88
5,11462408894.871,3017.11,2736.40
5,11462409164.414,3023.64,2691.78
5,11462409179.692,3037.25,2603.89
5,11462409192.123,3051.29,2518.20
5,11462409201.710,3065.19,2434.86
5,11462409210.043,3078.90,2353.84
5,11462409217.782,3092.71,2275.61
5,11462409225.153,3105.88,2198.93
5,11462409232.435,3119.66,2125.60
5,11462409239.555,3132.97,2054.00
5,11462409246.652,3146.31,1984.78
5,11462409253.759,3159.89,1918.13
5,11462409260.876,3173.19,1853.30
5,11462409268.024,3186.29,1790.39
5,11462409275.219,3199.33,1729.49
5,11462409282.540,3212.75,1671.00
5,11462409289.824,3225.96,1614.21
5,11462409297.190,3238.89,1559.09
5,11462409304.600,3252.15,1506.08
5,11462409312.088,3265.55,1454.93
5,11462409319.600,3278.39,1405.02
5,11462409327.243,3292.30,1357.64
5,11462409334.874,3305.03,1310.92
5,11462409342.637,3318.56,1266.34
5,11462409350.466,3331.72,1222.99
5,11462409358.367,3344.79,1181.02
5,11462409366.390,3358.07,1140.59
5,11462409374.554,3371.48,1101.59
5,11462409382.870,3384.45,1063.64
5,11462409391.393,3397.38,1026.96
5,11462409400.275,3410.94,991.84
5,11462409409.593,3423.61,957.46
5,11462409419.910,3436.35,924.30
5,11462409433.297,3449.69,892.54
5,11462409459.078,3448.70,892.99
5,11462409466.251,3435.36,924.79
5,11462409472.873,3422.06,957.72
5,11462409477.245,3408.72,991.77
5,11462409481.616,3395.44,1027.04
5,11462409485.916,3382.20,1063.55
5,11462409489.471,3368.79,1101.23
5,11462409493.025,3355.44,1140.25
5,11462409496.569,3342.15,1180.65
5,11462409499.762,3329.10,1222.62
5,11462409502.954,3316.11,1266.08
5,11462409506.096,3303.00,1310.97
5,11462409509.122,3289.58,1357.17
5,11462409512.147,3276.22,1404.99
5,11462409515.059,3263.45,1454.95
5,11462409517.966,3250.71,1506.66
5,11462409520.831,3237.77,1559.99
5,11462409523.684,3224.73,1615.08
5,11462409526.524,3211.58,1671.95
5,11462409529.348,3198.56,1730.90
5,11462409532.176,3185.45,1791.77
5,11462409535.009,3172.28,1854.67
5,11462409537.852,3159.27,1919.88
5,11462409540.726,3146.03,1987.04
5,11462409543.633,3132.76,2056.46
5,11462409546.566,3119.53,2128.27
5,11462409549.598,3105.82,2201.81
5,11462409552.650,3092.26,2278.03
5,11462409555.787,3079.34,2357.80
5,11462409559.032,3065.69,2439.05
5,11462409562.391,3051.81,2522.64
5,11462409565.875,3038.26,2609.57
5,11462409569.587,3024.14,2698.27
5,11462409573.390,3009.95,2789.72
5,11462409577.467,2995.97,2884.57
5,11462409581.813,2981.53,2981.42
5,11462409586.498,2967.05,3081.28
5,11462409591.535,2952.65,3184.51
5,11462409597.159,2937.86,3289.98
5,11462409603.492,2923.01,3398.54
5,11462409610.456,2908.12,3510.31
5,11462409618.346,2893.14,3625.24
5,11462409627.416,2877.84,3742.59
5,11462409637.908,2862.69,3863.98
5,11462409650.078,2847.71,3989.63
5,11462409664.139,2832.57,4118.46
5,11462409680.252,2817.04,4249.47
5,11462409699.032,2801.67,4385.00
5,11462409721.683,2786.57,4525.72
5,11462409748.916,2771.49,4670.63
5,11462409783.128,2756.51,4820.31
5,11462409829.440,2741.48,4974.05
5,11462409907.431,2726.39,5132.01
5,11462410129.426,2729.18,5080.62
5,11462410215.703,2743.42,4920.02
5,11462410276.464,2757.97,4765.65
5,11462410320.505,2772.69,4616.67
5,11462410349.492,2787.52,4472.69
5,11462410367.255,2802.29,4332.88
5,11462410377.999,2817.11,4197.10
5,11462410386.555,2831.96,4065.17
5,11462410394.479,2846.95,3937.54
5,11462410402.170,2862.40,3815.29
5,11462410409.912,2877.73,3696.13
5,11462410417.838,2892.72,3579.25
5,11462410426.051,2907.50,3465.19
5,11462410434.615,2922.83,3356.34
5,11462410443.578,2937.30,3248.15
5,11462410452.935,2952.14,3144.28
5,11462410462.704,2966.64,3042.67
5,11462410472.959,2981.26,2944.44
5,11462410483.375,2995.58,2848.52
5,11462410494.214,3009.51,2754.76
5,11462410505.518,3023.81,2664.71
5,11462410517.368,3038.04,2577.37
5,11462410529.800,3051.87,2492.00
5,11462410543.165,3065.57,2409.15
5,11462410557.742,3079.42,2329.24
