Phase,Time (years),Teff (K),Luminosity (Lsun)
0,41873472.330,5707.06,0.75
0,43201081.044,5705.09,0.75
0,44566013.912,5703.68,0.75
0,45958008.955,5702.66,0.75
0,47423535.782,5702.19,0.75
0,48902382.992,5701.79,0.75
0,50463916.078,5701.73,0.75
0,52027580.602,5701.69,0.75
0,53700074.687,5701.93,0.75
0,55372568.771,5702.17,0.75
0,57135786.674,5702.55,0.75
0,58941428.670,5702.99,0.75
0,60760305.073,5703.44,0.75
0,62725692.395,5704.05,0.75
0,64691079.716,5704.66,0.76
0,66698258.026,5705.31,0.76
0,68855294.583,5706.09,0.76
0,71012331.139,5706.86,0.76
0,73189089.153,5707.65,0.76
0,75576104.743,5708.52,0.76
0,77963120.333,5709.39,0.76
0,80350135.923,5710.26,0.76
0,82927322.221,5711.16,0.76
0,85590296.617,5712.06,0.76
0,88253271.014,5712.96,0.76
0,90928019.863,5713.87,0.76
0,93922121.986,5714.76,0.77
0,96916224.108,5715.65,0.77
0,99910326.231,5716.54,0.77
0,102958531.956,5717.42,0.77
0,106350019.904,5718.19,0.77
0,109741507.851,5718.97,0.77
0,113132995.799,5719.74,0.77
0,116526933.140,5720.52,0.77
0,120395258.117,5721.15,0.77
0,124263583.093,5721.77,0.77
0,128131908.070,5722.40,0.77
0,132000233.047,5723.03,0.77
0,136245609.374,5723.55,0.77
0,140686105.481,5724.02,0.77
0,145126601.589,5724.49,0.77
0,149567097.697,5724.95,0.78
0,154086970.326,5725.41,0.78
0,159214011.312,5725.75,0.78
0,164341052.298,5726.09,0.78
0,169468093.284,5726.44,0.78
0,174595134.270,5726.78,0.78
0,180046457.590,5727.09,0.78
0,185997298.026,5727.36,0.78
0,191948138.462,5727.62,0.78
0,197898978.898,5727.89,0.78
0,203849819.334,5728.15,0.78
0,210306466.485,5728.41,0.78
0,217245806.644,5728.65,0.78
0,224185146.803,5728.89,0.78
0,231124486.962,5729.13,0.78
0,238063827.120,5729.37,0.78
0,245581845.428,5729.61,0.78
0,253707334.581,5729.86,0.78
0,261832823.735,5730.10,0.78
0,269958312.888,5730.35,0.78
0,278083802.041,5730.60,0.79
0,286692250.063,5730.85,0.79
0,296241071.034,5731.12,0.79
0,305789892.004,5731.39,0.79
0,315338712.975,5731.66,0.79
0,324887533.946,5731.93,0.79
0,334576364.498,5732.21,0.79
0,345833035.771,5732.54,0.79
0,357089707.044,5732.87,0.79
0,368346378.317,5733.20,0.79
0,379603049.591,5733.53,0.79
0,390859720.864,5733.86,0.79
0,403613104.805,5734.24,0.79
0,416919107.118,5734.63,0.79
0,430225109.431,5735.03,0.79
0,443531111.744,5735.42,0.80
0,456837114.057,5735.81,0.80
0,470874583.376,5736.23,0.80
0,486639637.351,5736.69,0.80
0,502404691.326,5737.15,0.80
0,518169745.301,5737.61,0.80
0,533934799.276,5738.07,0.80
0,549699853.251,5738.53,0.80
0,567810271.297,5739.06,0.80
0,586525794.332,5739.60,0.80
0,605241317.367,5740.15,0.81
0,623956840.402,5740.70,0.81
0,642672363.437,5741.25,0.81
0,662212047.921,5741.82,0.81
0,684467535.269,5742.47,0.81
0,706723022.617,5743.13,0.81
0,728978509.964,5743.78,0.81
0,751233997.312,5744.43,0.81
0,773489484.660,5745.09,0.82
0,798377817.657,5745.82,0.82
0,824880162.504,5746.61,0.82
0,851382507.351,5747.40,0.82
0,877884852.198,5748.19,0.82
0,904387197.046,5748.98,0.82
0,930889541.893,5749.76,0.82
0,962302109.340,5750.69,0.83
0,993898938.147,5751.63,0.83
0,1025495766.954,5752.56,0.83
0,1057092595.761,5753.50,0.83
0,1088689424.568,5754.43,0.83
0,1121941062.228,5755.41,0.84
0,1159647855.586,5756.53,0.84
0,1197354648.943,5757.64,0.84
0,1235061442.301,5758.75,0.84
0,1272768235.658,5759.86,0.85
0,1310475029.016,5760.97,0.85
0,1352008212.388,5762.19,0.85
0,1396720111.660,5763.50,0.85
0,1441432010.932,5764.81,0.86
0,1486143910.204,5766.12,0.86
0,1530855809.476,5767.43,0.86
0,1577392587.161,5768.79,0.86
0,1629587338.000,5770.31,0.87
0,1681782088.839,5771.83,0.87
0,1733976839.677,5773.35,0.87
0,1786171590.516,5774.87,0.88
0,1842323572.826,5776.50,0.88
0,1902187434.434,5778.24,0.89
0,1962051296.043,5779.97,0.89
0,2021915157.652,5781.71,0.89
0,2084436702.955,5783.51,0.90
0,2151981670.244,5785.46,0.90
0,2219526637.532,5787.40,0.91
0,2287071604.821,5789.34,0.91
0,2359679357.622,5791.42,0.92
0,2434816159.980,5793.57,0.92
0,2509952962.338,5795.72,0.93
0,2588118684.331,5797.93,0.93
0,2670699793.749,5800.24,0.94
0,2753280903.167,5802.55,0.95
0,2839475460.186,5804.94,0.95
0,2929320903.522,5807.42,0.96
0,3019166346.859,5809.91,0.97
0,3115258238.018,5812.51,0.97
0,3212165410.839,5815.12,0.98
0,3312664469.102,5817.80,0.99
0,3416417510.735,5820.53,1.00
0,3522688164.374,5823.29,1.01
0,3633065203.671,5826.11,1.02
0,3746145152.838,5828.98,1.03
0,3862919266.496,5831.90,1.04
0,3983563880.792,5834.84,1.05
0,4106524833.409,5837.79,1.06
0,4235257163.194,5840.79,1.07
0,4366661676.379,5843.80,1.09
0,4501356395.729,5846.82,1.10
0,4541585742.722,5847.68,1.10
0,4581815089.715,5848.55,1.11
0,4622044436.707,5849.41,1.11
0,4662273783.700,5850.27,1.12
0,4703041293.915,5851.12,1.12
0,4744803826.701,5851.97,1.12
0,4786566359.488,5852.82,1.13
0,4828328892.275,5853.67,1.13
0,4870094427.673,5854.51,1.14
0,4913328756.890,5855.37,1.14
0,4956563086.106,5856.23,1.15
0,4999797415.322,5857.08,1.15
0,5043031744.538,5857.94,1.16
0,5087580535.598,5858.77,1.16
0,5132228079.164,5859.60,1.17
0,5176875622.730,5860.42,1.17
0,5221665258.730,5861.25,1.18
0,5267666211.445,5862.07,1.18
0,5313667164.159,5862.90,1.19
0,5359668116.873,5863.73,1.19
0,5406318055.994,5864.55,1.20
