Wavelength (nm), Intensity (J/m2/s/nm)
2240,4389.249
2245,4350.26
2250,4305.731
2255,4262.499
2260,4230.039
2265,4201.13
2270,4170.497
2275,4137.972
2280,4101.189
2285,4064.433
2290,4031.441
2295,4000.964
2300,3973.854
2305,3946.228
2310,3912.708
2315,3879.627
2320,3849.995
2325,3820.671
2330,3788.571
2335,3756.517
2340,3728.935
2345,3702.036
2350,3672.532
2355,3643.214
2360,3615.47
2365,3586.54
2370,3553.838
2375,3521.085
2380,3492.673
2385,3466.92
2390,3443.376
2395,3419.49
2400,3392.116
2405,3364.01
2410,3335.714
2415,3308.687
2420,3284.636
2425,3260.693
2430,3234.243
2435,3207.878
2440,3184.695
2445,3161.162
2450,3132.255
2455,3103.993
2460,3084.251
2465,3065.217
2470,3040.931
2475,3014.952
2480,2987.536
2485,2961.72
2490,2940.984
2495,2922.251
2500,2904.586
2505,2886.287
2510,2865.569
2515,2843.28
2520,2820.014
2525,2797.511
2530,2777.911
2535,2759.121
2540,2738.452
2545,2716.671
2550,2694.585
2555,2671.013
2560,2644.944
2565,2621.755
2570,2608.508
2575,2597.416
2580,2577.939
2585,2556.349
2590,2540.427
2595,2524.991
2600,2503.305
2605,2475.487
2610,2440.712
2615,2389.947
2620,2315.347
2625,2259.545
2630,2281.369
2635,2334.207
2640,2348.539
2645,2340.891
2650,2329.867
2655,2313.321
2660,2292.254
2665,2266.417
2670,2237.082
2675,2213.673
2680,2210.558
2685,2214.807
2690,2209.011
2695,2197.763
2700,2184.694
2705,2170.443
2710,2155.963
2715,2141.364
2720,2126.784
2725,2111.878
2730,2096.553
2735,2080.332
2740,2064.081
2745,2040.136
2750,2002.275
2755,1968.461
2760,1959.277
2765,1963.302
2770,1964.155
2775,1962.456
2780,1955.09
2785,1944.085
2790,1932.79
2795,1920.691
2800,1907.88
2805,1894.981
2810,1882.367
2815,1869.81
2820,1857.09
2825,1844.544
2830,1832.486
2835,1820.211
2840,1806.484
2845,1792.19
2850,1779.025
2855,1763.3
2860,1743.726
2865,1716.792
2870,1680.532
2875,1658.667
2880,1665.427
2885,1682.749
2890,1684.171
2895,1676.466
2900,1668.123
2905,1658
2910,1646.864
2915,1635.47
2920,1624.205
2925,1613.69
2930,1604.197
2935,1594.953
2940,1584.602
2945,1574.027
2950,1564.234
2955,1554.621
2960,1544.934
2965,1535.114
2970,1525.206
2975,1515.35
2980,1505.811
2985,1496.204
2990,1486.063
2995,1476.033
