wavelength, flux 
421.1,1.003
421.2,1.002
421.3,1.001
421.4,1
421.5,0.999
421.6,0.995
421.7,0.998
421.8,1.001
421.9,1
422,1.002
422.1,1.001
422.2,1
422.3,0.998
422.4,1.001
422.5,0.996
422.6,1.001
422.7,0.993
422.8,1
422.9,1.001
423,1
423.1,0.998
423.2,1.001
423.3,0.929
423.4,1
423.5,0.997
423.6,0.993
423.7,0.998
423.8,0.997
423.9,0.99
424,0.999
424.1,1
424.2,0.968
424.3,0.994
424.4,1
424.5,0.997
424.6,0.999
424.7,0.983
424.8,1
424.9,1
425,0.993
425.1,0.995
425.2,0.997
425.3,0.99
425.4,0.997
425.5,0.995
425.6,0.998
425.7,0.999
425.8,0.989
425.9,0.992
426,0.994
426.1,0.996
426.2,0.987
426.3,0.998
426.4,0.994
426.5,0.999
426.6,0.997
426.7,0.954
426.8,0.994
426.9,0.994
427,0.996
427.1,0.995
427.2,0.982
427.3,0.982
427.4,0.999
427.5,0.997
427.6,0.991
427.7,0.998
427.8,0.991
427.9,0.995
428,0.998
428.1,0.997
428.2,0.996
428.3,0.996
428.4,0.991
428.5,0.996
428.6,0.991
428.7,0.997
428.8,0.993
428.9,0.996
429,0.975
429.1,0.995
429.2,0.995
429.3,0.995
429.4,0.971
429.5,0.994
429.6,0.992
429.7,0.98
429.8,0.993
429.9,0.99
430,0.958
430.1,0.991
430.2,0.981
430.3,0.948
430.4,0.989
430.5,0.988
430.6,0.987
430.7,0.983
430.8,0.957
430.9,0.984
431,0.982
431.1,0.98
431.2,0.979
431.3,0.961
431.4,0.958
431.5,0.957
431.6,0.969
431.7,0.964
431.8,0.96
431.9,0.953
432,0.949
432.1,0.938
432.2,0.94
432.3,0.932
432.4,0.923
432.5,0.906
432.6,0.886
432.7,0.884
432.8,0.871
432.9,0.852
433,0.829
433.1,0.804
433.2,0.773
433.3,0.741
433.4,0.702
433.5,0.658
433.6,0.609
433.7,0.554
433.8,0.493
433.9,0.43
434,0.333
434.1,0.343
434.2,0.436
434.3,0.5
434.4,0.558
434.5,0.615
434.6,0.664
434.7,0.709
434.8,0.747
434.9,0.781
435,0.811
435.1,0.836
435.2,0.818
435.3,0.876
435.4,0.887
435.5,0.907
435.6,0.919
435.7,0.928
435.8,0.927
435.9,0.945
436,0.951
436.1,0.951
436.2,0.958
436.3,0.965
436.4,0.971
436.5,0.974
436.6,0.977
436.7,0.98
436.8,0.967
436.9,0.982
437,0.986
437.1,0.987
437.2,0.989
437.3,0.992
437.4,0.991
437.5,0.991
437.6,0.996
437.7,0.988
437.8,0.997
437.9,0.999
438,0.998
438.1,1
438.2,1.001
438.3,0.996
438.4,0.974
438.5,0.925
438.6,1.001
438.7,0.997
438.8,1.002
438.9,1.003
439,0.99
439.1,0.955
439.2,1.003
439.3,1.003
439.4,1.002
439.5,0.969
439.6,0.997
439.7,1.004
439.8,1.002
439.9,1.004
440,0.99
440.1,1.004
440.2,1.004
440.3,0.997
440.4,1.004
440.5,0.999
440.6,1.005
440.7,1.003
440.8,1.004
440.9,1.003
441,1.004
441.1,0.999
441.2,1.003
441.3,1.005
441.4,0.999
441.5,1.001
441.6,1.003
441.7,0.964
441.8,0.991
441.9,1.001
442,1
442.1,1.004
442.2,1.001
442.3,1.004
442.4,1.004
442.5,1.004
442.6,1.003
442.7,1.004
442.8,0.982
442.9,1.004
443,1.003
443.1,1.001
443.2,1
443.3,1.003
443.4,0.969
443.5,1.001
443.6,0.994
443.7,0.991
443.8,1.003
443.9,1.003
444,1.003
444.1,1.002
444.2,1.002
444.3,1.002
444.4,0.974
444.5,0.998
444.6,0.996
444.7,1.002
444.8,1
444.9,1.001
445,0.993
445.1,0.997
445.2,0.99
445.3,1
445.4,1.002
445.5,0.99
445.6,1.001
445.7,1.001
445.8,1.002
445.9,1.001
446,1.001
446.1,0.998
446.2,0.992
446.3,1.001
446.4,0.996
446.5,1
446.6,0.999
446.7,1
446.8,0.986
446.9,0.984
447,0.998
447.1,0.945
447.2,0.948
447.3,0.998
447.4,0.998
447.5,0.999
447.6,0.998
447.7,1
447.8,1
447.9,0.997
448,0.995
448.1,0.734
448.2,0.984
448.3,0.998
448.4,0.999
448.5,1
448.6,0.999
448.7,0.997
448.8,0.993
448.9,0.991
449,1
449.1,0.966
449.2,0.998
449.3,0.998
449.4,0.996
449.5,0.999
449.6,1
449.7,1
449.8,0.999
449.9,0.998
450,0.996
450.1,0.973
450.2,1
450.3,1
450.4,0.999
450.5,1
450.6,1
450.7,0.996
450.8,0.952
450.9,0.998
451,0.999
451.1,0.998
451.2,0.996
451.3,0.999
451.4,0.999
451.5,0.956
451.6,0.997
451.7,0.999
451.8,0.999
451.9,0.998
452,0.981
452.1,0.999
452.2,0.999
452.3,0.947
452.4,0.998
452.5,0.984
452.6,0.998
452.7,0.998
452.8,0.999
452.9,0.994
453,0.997
453.1,0.999
453.2,0.998
453.3,0.998
453.4,0.938
453.5,0.998
453.6,0.999
453.7,0.999
453.8,0.999
453.9,0.999
454,0.999
454.1,0.987
454.2,0.979
454.3,0.999
454.4,0.999
454.5,0.998
454.6,0.999
454.7,0.998
454.8,0.999
454.9,0.933
455,0.941
455.1,0.999
455.2,0.996
455.3,0.995
455.4,0.999
455.5,0.983
455.6,0.949
455.7,0.999
455.8,0.999
455.9,0.954
456,0.999
456.1,0.999
456.2,0.999
456.3,0.998
456.4,0.978
456.5,0.999
456.6,0.998
456.7,0.999
456.8,0.996
456.9,0.999
457,0.999
457.1,0.999
457.2,0.965
457.3,0.999
457.4,0.999
457.5,0.998
457.6,0.967
457.7,0.999
457.8,0.999
457.9,0.996
458,0.986
458.1,0.999
458.2,0.999
458.3,0.975
458.4,0.935
458.5,0.999
458.6,0.998
458.7,0.999
458.8,0.96
458.9,0.998
459,0.992
459.1,0.998
459.2,0.982
459.3,0.999
459.4,0.997
459.5,0.999
459.6,0.982
459.7,1
459.8,0.996
459.9,0.995
460,0.999
460.1,0.997
460.2,0.997
460.3,0.999
460.4,1
460.5,0.997
460.6,0.999
460.7,0.999
460.8,0.999
460.9,0.999
461,0.999
461.1,0.998
461.2,0.999
461.3,0.999
461.4,0.998
461.5,0.998
461.6,0.997
461.7,0.985
461.8,0.998
461.9,0.967
462,0.988
462.1,0.974
462.2,0.982
462.3,0.999
462.4,0.999
462.5,0.998
462.6,0.99
462.7,0.998
462.8,0.999
462.9,0.945
463,0.998
463.1,0.998
463.2,0.996
463.3,0.999
463.4,0.974
463.5,0.966
463.6,0.998
463.7,0.999
463.8,0.992
463.9,0.999
464,0.998
464.1,0.996
464.2,0.998
464.3,0.998
464.4,0.999
464.5,0.998
464.6,0.999
464.7,0.999
464.8,0.998
464.9,0.996
465,0.999
465.1,0.999
465.2,0.998
465.3,0.999
465.4,0.999
465.5,0.998
465.6,0.999
465.7,0.984
465.8,0.999
465.9,0.999
466,0.999
466.1,0.998
466.2,0.999
466.3,0.968
466.4,0.997
466.5,0.998
466.6,0.997
466.7,0.978
466.8,0.999
466.9,0.998
467,0.992
467.1,0.998
467.2,0.999
467.3,0.986
467.4,0.997
467.5,0.999
467.6,0.999
467.7,0.999
467.8,0.999
467.9,0.996
468,0.999
468.1,0.999
468.2,0.999
468.3,0.999
468.4,0.999
468.5,0.999
468.6,0.999
468.7,0.999
468.8,0.999
468.9,0.999
469,0.999
469.1,0.998
469.2,0.999
469.3,0.999
469.4,0.999
469.5,0.999
469.6,0.999
469.7,1
469.8,0.998
469.9,0.999
470,0.999
470.1,1
470.2,0.999
470.3,0.996
470.4,0.999
470.5,0.999
470.6,1
470.7,0.999
470.8,0.999
470.9,0.998
471,1
471.1,1
471.2,1
471.3,0.964
471.4,0.999
471.5,1
471.6,0.994
471.7,0.997
471.8,1.001
471.9,1.001
472,0.999
472.1,0.996
472.2,1.001
472.3,1.001
472.4,1.001
472.5,1.001
472.6,1.001
472.7,1
472.8,1
472.9,1.001
473,1
473.1,0.984
473.2,0.996
473.3,1.002
473.4,1.001
473.5,0.993
473.6,0.996
473.7,1.001
473.8,0.984
473.9,0.998
474,0.977
474.1,1.002
474.2,1.002
474.3,1.002
474.4,1.003
474.5,0.975
474.6,1.003
474.7,0.986
474.8,1.003
474.9,1.003
475,1.003
475.1,1.003
475.2,1.003
475.3,1.003
475.4,1.004
475.5,1.004
475.6,0.999
475.7,1.004
475.8,1.004
475.9,1.004
476,1.003
476.1,1.004
476.2,1.004
476.3,1.003
476.4,1.004
476.5,1.001
476.6,1.005
476.7,1.004
476.8,1.004
476.9,1.004
477,1.004
477.1,1.005
477.2,1.004
477.3,1.005
477.4,1.005
477.5,1.005
477.6,1.003
477.7,1.006
477.8,1.006
477.9,1.005
478,1.001
478.1,1.005
478.2,1.006
478.3,1.006
478.4,1.006
478.5,1.005
478.6,1.006
478.7,1.006
478.8,1.006
478.9,1.006
479,1.006
479.1,1.006
479.2,1.002
479.3,1.006
479.4,1.005
479.5,1.006
479.6,1.006
479.7,1.006
479.8,1.006
479.9,1.005
480,1.002
480.1,1.005
480.2,1.004
480.3,1.004
480.4,1.006
480.5,0.997
480.6,1.005
480.7,1.003
480.8,1.005
480.9,1.005
481,1.004
481.1,1.003
481.2,1
481.3,1.004
481.4,1.004
481.5,1
481.6,0.995
481.7,1.003
481.8,1.002
481.9,1.001
482,1
482.1,0.998
482.2,1
482.3,0.999
482.4,0.969
482.5,0.996
482.6,0.994
482.7,0.99
482.8,0.993
482.9,0.991
483,0.989
483.1,0.986
483.2,0.985
483.3,0.982
483.4,0.98
483.5,0.976
483.6,0.968
483.7,0.97
483.8,0.966
483.9,0.962
484,0.956
484.1,0.952
484.2,0.945
484.3,0.937
484.4,0.93
484.5,0.92
484.6,0.91
484.7,0.898
484.8,0.868
484.9,0.868
485,0.85
485.1,0.819
485.2,0.805
485.3,0.778
485.4,0.747
485.5,0.713
485.6,0.673
485.7,0.632
485.8,0.585
485.9,0.535
486,0.478
486.1,0.367
486.2,0.415
486.3,0.5
486.4,0.552
486.5,0.602
486.6,0.647
486.7,0.689
486.8,0.726
486.9,0.759
487,0.788
487.1,0.812
487.2,0.836
487.3,0.857
487.4,0.872
487.5,0.889
487.6,0.889
487.7,0.911
487.8,0.922
487.9,0.931
488,0.939
488.1,0.945
488.2,0.951
488.3,0.953
488.4,0.96
488.5,0.962
488.6,0.966
488.7,0.971
488.8,0.974
488.9,0.976
489,0.979
489.1,0.975
489.2,0.98
489.3,0.984
489.4,0.983
489.5,0.987
489.6,0.988
489.7,0.989
489.8,0.99
489.9,0.989
490,0.991
490.1,0.99
490.2,0.989
490.3,0.992
490.4,0.993
490.5,0.995
490.6,0.995
490.7,0.995
490.8,0.99
490.9,0.997
491,0.995
491.1,0.991
491.2,0.995
491.3,0.985
491.4,0.998
491.5,0.997
491.6,0.998
491.7,0.995
491.8,0.995
491.9,0.997
492,0.993
492.1,0.994
492.2,0.948
492.3,0.997
492.4,0.922
492.5,0.991
492.6,0.998
492.7,0.998
492.8,1
492.9,0.999
493,0.999
493.1,0.999
493.2,0.997
493.3,0.998
493.4,0.998
493.5,0.999
493.6,0.999
493.7,0.996
493.8,1
493.9,0.999
494,0.999
494.1,0.999
494.2,0.997
494.3,0.998
494.4,0.999
494.5,0.999
494.6,0.999
494.7,0.998
494.8,0.994
494.9,0.989
495,0.999
495.1,0.998
495.2,0.987
495.3,0.996
495.4,0.996
495.5,0.999
495.6,0.998
495.7,0.998
495.8,0.991
495.9,0.996
496,0.999
496.1,1
496.2,1
496.3,0.999
496.4,1
496.5,1
496.6,1
496.7,0.998
496.8,0.999
496.9,0.997
497,0.998
497.1,0.997
497.2,0.999
497.3,1
497.4,0.997
497.5,0.998
497.6,0.999
497.7,0.988
497.8,0.997
497.9,0.999
498,0.999
498.1,0.998
498.2,0.999
498.3,0.998
498.4,0.992
498.5,0.994
498.6,1
498.7,0.998
498.8,0.999
498.9,0.999
499,0.992
499.1,0.986
499.2,0.989
499.3,0.989
499.4,0.999
499.5,0.999
499.6,0.999
499.7,0.999
499.8,1
499.9,0.994
