wavelength, flux, error 
380,0.464,0.023
380.1,0.496,0.025
380.2,0.505,0.025
380.3,0.607,0.03
380.4,0.692,0.035
380.5,0.744,0.037
380.6,0.736,0.037
380.7,0.839,0.042
380.8,0.877,0.044
380.9,0.937,0.047
381,0.998,0.05
381.1,0.969,0.048
381.2,0.96,0.048
381.3,0.94,0.047
381.4,1.027,0.051
381.5,0.954,0.048
381.6,0.985,0.049
381.7,1.041,0.052
381.8,0.984,0.049
381.9,1.016,0.051
382,0.942,0.047
382.1,0.934,0.047
382.2,0.92,0.046
382.3,0.931,0.047
382.4,0.846,0.042
382.5,0.774,0.039
382.6,0.723,0.036
382.7,0.715,0.036
382.8,0.662,0.033
382.9,0.609,0.03
383,0.563,0.028
383.1,0.561,0.028
383.2,0.39,0.019
383.3,0.354,0.018
383.4,0.337,0.017
383.5,0.246,0.012
383.6,0.275,0.014
383.7,0.385,0.019
383.8,0.329,0.016
383.9,0.496,0.025
384,0.475,0.024
384.1,0.536,0.027
384.2,0.632,0.032
384.3,0.721,0.036
384.4,0.704,0.035
384.5,0.768,0.038
384.6,0.791,0.04
384.7,0.841,0.042
384.8,0.867,0.043
384.9,0.88,0.044
385,0.828,0.041
385.1,0.914,0.046
385.2,0.978,0.049
385.3,0.953,0.048
385.4,0.919,0.046
385.5,0.99,0.049
385.6,0.849,0.042
385.7,1.057,0.053
385.8,0.997,0.05
385.9,0.941,0.047
386,0.965,0.048
386.1,0.978,0.049
386.2,1.018,0.051
386.3,0.921,0.046
386.4,0.971,0.049
386.5,0.965,0.048
386.6,1,0.05
386.7,0.904,0.045
386.8,0.953,0.048
386.9,0.902,0.045
387,0.929,0.046
387.1,0.887,0.044
387.2,0.919,0.046
387.3,0.861,0.043
387.4,0.875,0.044
387.5,0.867,0.043
387.6,0.797,0.04
387.7,0.803,0.04
387.8,0.712,0.036
387.9,0.64,0.032
388,0.685,0.034
388.1,0.687,0.034
388.2,0.611,0.031
388.3,0.577,0.029
388.4,0.494,0.025
388.5,0.459,0.023
388.6,0.397,0.02
388.7,0.347,0.017
388.8,0.27,0.014
388.9,0.189,0.009
389,0.244,0.012
389.1,0.389,0.019
389.2,0.416,0.021
389.3,0.476,0.024
389.4,0.492,0.025
389.5,0.533,0.027
389.6,0.56,0.028
389.7,0.596,0.03
389.8,0.651,0.033
389.9,0.723,0.036
390,0.73,0.036
390.1,0.725,0.036
390.2,0.78,0.039
390.3,0.815,0.041
390.4,0.793,0.04
390.5,0.915,0.046
390.6,0.795,0.04
390.7,0.877,0.044
390.8,0.941,0.047
390.9,0.915,0.046
391,0.903,0.045
391.1,0.953,0.048
391.2,0.944,0.047
391.3,0.951,0.048
391.4,0.893,0.045
391.5,0.934,0.047
391.6,1.023,0.051
391.7,1.003,0.05
391.8,0.974,0.049
391.9,0.928,0.046
392,0.941,0.047
392.1,0.95,0.047
392.2,1.015,0.051
392.3,0.933,0.047
392.4,0.976,0.049
392.5,1.02,0.051
392.6,1.001,0.05
392.7,0.97,0.049
392.8,0.957,0.048
392.9,1.003,0.05
393,0.884,0.044
393.1,0.971,0.049
393.2,0.98,0.049
393.3,0.952,0.048
393.4,0.813,0.041
393.5,0.935,0.047
393.6,0.923,0.046
393.7,1.011,0.051
393.8,0.876,0.044
393.9,0.95,0.047
394,1.042,0.052
394.1,0.968,0.048
394.2,1.031,0.052
394.3,0.962,0.048
394.4,0.917,0.046
394.5,0.893,0.045
394.6,0.963,0.048
394.7,0.888,0.044
394.8,0.907,0.045
394.9,0.947,0.047
395,0.904,0.045
395.1,0.865,0.043
395.2,0.928,0.046
395.3,0.871,0.044
395.4,0.821,0.041
395.5,0.833,0.042
395.6,0.788,0.039
395.7,0.732,0.037
395.8,0.703,0.035
395.9,0.694,0.035
396,0.644,0.032
396.1,0.598,0.03
396.2,0.558,0.028
396.3,0.574,0.029
396.4,0.522,0.026
396.5,0.486,0.024
396.6,0.394,0.02
396.7,0.371,0.019
396.8,0.281,0.014
396.9,0.27,0.014
397,0.231,0.012
397.1,0.266,0.013
397.2,0.335,0.017
397.3,0.378,0.019
397.4,0.43,0.022
397.5,0.452,0.023
397.6,0.509,0.025
397.7,0.527,0.026
397.8,0.626,0.031
397.9,0.598,0.03
398,0.673,0.034
398.1,0.741,0.037
398.2,0.725,0.036
398.3,0.763,0.038
398.4,0.759,0.038
398.5,0.831,0.042
398.6,0.875,0.044
398.7,0.837,0.042
398.8,0.81,0.04
398.9,0.891,0.045
399,0.941,0.047
399.1,0.902,0.045
399.2,0.92,0.046
399.3,0.917,0.046
399.4,0.905,0.045
399.5,0.953,0.048
399.6,0.976,0.049
399.7,0.937,0.047
399.8,0.989,0.049
399.9,0.984,0.049
400,0.996,0.05
400.1,0.965,0.048
400.2,0.961,0.048
400.3,0.957,0.048
400.4,0.963,0.048
400.5,0.934,0.047
400.6,0.978,0.049
400.7,0.976,0.049
400.8,1.011,0.051
400.9,0.984,0.049
401,0.919,0.046
401.1,1.016,0.051
401.2,0.93,0.047
401.3,0.977,0.049
401.4,1.012,0.051
401.5,1.068,0.053
401.6,0.975,0.049
401.7,0.977,0.049
401.8,1.02,0.051
401.9,0.996,0.05
402,0.983,0.049
402.1,1.014,0.051
402.2,0.99,0.049
402.3,0.945,0.047
402.4,0.948,0.047
402.5,0.94,0.047
402.6,0.999,0.05
402.7,1.024,0.051
402.8,0.99,0.05
402.9,0.997,0.05
403,0.977,0.049
403.1,0.974,0.049
403.2,1.029,0.051
403.3,0.945,0.047
403.4,1.026,0.051
403.5,1.023,0.051
403.6,0.934,0.047
403.7,1.019,0.051
403.8,0.977,0.049
403.9,0.96,0.048
404,0.959,0.048
404.1,1.025,0.051
404.2,1.007,0.05
404.3,0.976,0.049
404.4,1.001,0.05
404.5,0.985,0.049
404.6,0.905,0.045
404.7,0.958,0.048
404.8,1.015,0.051
404.9,0.946,0.047
405,1.002,0.05
405.1,0.955,0.048
405.2,1.014,0.051
405.3,0.967,0.048
405.4,0.945,0.047
405.5,0.903,0.045
405.6,0.993,0.05
405.7,1.005,0.05
405.8,0.933,0.047
405.9,0.938,0.047
406,1.036,0.052
406.1,0.911,0.046
406.2,0.954,0.048
406.3,0.924,0.046
406.4,0.945,0.047
406.5,1.002,0.05
406.6,0.959,0.048
406.7,0.871,0.044
406.8,0.941,0.047
