wavelength, flux 
420.9,0.696
421,0.445
421.1,0.61
421.2,0.653
421.3,0.541
421.4,0.54
421.5,0.539
421.6,0.316
421.7,0.547
421.8,0.605
421.9,0.57
422,0.651
422.1,0.789
422.2,0.572
422.3,0.629
422.4,0.497
422.5,0.411
422.6,0.215
422.7,0.119
422.8,0.393
422.9,0.61
423,0.59
423.1,0.745
423.2,0.646
423.3,0.54
423.4,0.564
423.5,0.674
423.6,0.355
423.7,0.531
423.8,0.631
423.9,0.483
424,0.466
424.1,0.635
424.2,0.588
424.3,0.517
424.4,0.684
424.5,0.66
424.6,0.744
424.7,0.507
424.8,0.491
424.9,0.543
425,0.336
425.1,0.301
425.2,0.642
425.3,0.611
425.4,0.317
425.5,0.419
425.6,0.52
425.7,0.825
425.8,0.626
425.9,0.548
426,0.363
426.1,0.41
426.2,0.542
426.3,0.566
426.4,0.562
426.5,0.615
426.6,0.685
426.7,0.596
426.8,0.51
426.9,0.563
427,0.351
427.1,0.283
427.2,0.155
427.3,0.421
427.4,0.385
427.5,0.231
427.6,0.547
427.7,0.552
427.8,0.684
427.9,0.685
428,0.393
428.1,0.469
428.2,0.528
428.3,0.449
428.4,0.67
428.5,0.471
428.6,0.422
428.7,0.536
428.8,0.6
428.9,0.385
429,0.247
429.1,0.417
429.2,0.488
429.3,0.604
429.4,0.443
429.5,0.427
429.6,0.596
429.7,0.387
429.8,0.466
429.9,0.251
430,0.294
430.1,0.308
430.2,0.36
430.3,0.292
430.4,0.384
430.5,0.316
430.6,0.363
430.7,0.28
430.8,0.132
430.9,0.262
431,0.278
431.1,0.303
431.2,0.346
431.3,0.421
431.4,0.495
431.5,0.448
431.6,0.858
431.7,0.767
431.8,0.851
431.9,0.664
432,0.744
432.1,0.576
432.2,0.764
432.3,0.494
432.4,0.317
432.5,0.317
432.6,0.185
432.7,0.454
432.8,0.641
432.9,0.685
433,0.63
433.1,0.623
433.2,0.778
433.3,0.633
433.4,0.671
433.5,0.701
433.6,0.901
433.7,0.567
433.8,0.508
433.9,0.515
434,0.466
434.1,0.471
434.2,0.654
434.3,0.652
434.4,0.535
434.5,0.688
434.6,0.741
434.7,0.636
434.8,0.497
434.9,0.67
435,0.644
435.1,0.545
435.2,0.332
435.3,0.501
435.4,0.711
435.5,0.585
435.6,0.578
435.7,0.745
435.8,0.753
435.9,0.544
436,0.532
436.1,0.697
436.2,0.78
436.3,0.551
436.4,0.672
436.5,0.802
436.6,0.747
436.7,0.635
436.8,0.503
436.9,0.828
437,0.575
437.1,0.538
437.2,0.729
437.3,0.684
437.4,0.516
437.5,0.621
437.6,0.565
437.7,0.589
437.8,0.698
437.9,0.659
438,0.709
438.1,0.613
438.2,0.62
438.3,0.219
438.4,0.227
438.5,0.328
438.6,0.667
438.7,0.59
438.8,0.52
438.9,0.669
439,0.468
439.1,0.586
439.2,0.568
439.3,0.678
439.4,0.577
439.5,0.512
439.6,0.647
439.7,0.638
439.8,0.684
439.9,0.695
440,0.483
440.1,0.524
440.2,0.743
440.3,0.628
440.4,0.499
440.5,0.278
440.6,0.65
440.7,0.674
440.8,0.442
440.9,0.635
441,0.686
441.1,0.746
441.2,0.713
441.3,0.801
441.4,0.634
441.5,0.386
441.6,0.695
441.7,0.59
441.8,0.685
441.9,0.788
442,0.734
442.1,0.744
442.2,0.56
442.3,0.631
442.4,0.648
442.5,0.702
442.6,0.62
442.7,0.665
442.8,0.796
442.9,0.802
443,0.578
443.1,0.71
443.2,0.803
443.3,0.66
443.4,0.702
443.5,0.485
443.6,0.573
443.7,0.808
443.8,0.707
443.9,0.85
444,0.709
444.1,0.66
444.2,0.573
444.3,0.576
444.4,0.582
444.5,0.833
444.6,0.785
444.7,0.688
444.8,0.719
444.9,0.756
445,0.669
445.1,0.75
445.2,0.771
445.3,0.62
445.4,0.68
445.5,0.381
445.6,0.547
445.7,0.653
445.8,0.625
445.9,0.591
446,0.673
446.1,0.597
446.2,0.507
446.3,0.776
446.4,0.816
446.5,0.655
446.6,0.725
446.7,0.642
446.8,0.758
446.9,0.605
447,0.604
447.1,0.705
447.2,0.792
447.3,0.74
447.4,0.786
447.5,0.803
447.6,0.648
447.7,0.869
447.8,0.847
447.9,0.881
448,0.606
448.1,0.757
448.2,0.632
448.3,0.682
448.4,0.664
448.5,0.853
448.6,0.81
448.7,0.749
448.8,0.734
448.9,0.729
449,0.725
449.1,0.712
449.2,0.856
449.3,0.795
